epoch,train_loss,val_loss,val_r2
1,0.03532566817114462,0.004747581969345401,0.5407315492630005
2,0.0033661877767382146,0.0021536815802287363,0.7916586399078369
3,0.0017607239894076032,0.001623510400941758,0.84294593334198
4,0.0014095494227701368,0.0013674479804063051,0.8677167296409607
5,0.001258065245488631,0.001198620356040655,0.8840487003326416
6,0.0011268035387800176,0.0012605181983261914,0.8780608177185059
7,0.001053750987641751,0.0009458523870512273,0.9085007905960083
8,0.0010383872803100007,0.000976682878290615,0.9055182933807373
9,0.0009669613931625586,0.000963393722493198,0.9068038463592529
10,0.000937737213987772,0.0008859282831620833,0.9142976999282837
11,0.0009159546120520358,0.0008201119108283737,0.9206645488739014
12,0.0008945884777979893,0.0011855583097362139,0.8853122591972351
13,0.0008823794519055451,0.0008053757555633919,0.9220901131629944
14,0.0008464191976498386,0.0007856357460441198,0.9239996671676636
15,0.000849668522150041,0.0009572003344251721,0.9074029922485352
16,0.0008442591386031629,0.000758946668766825,0.9265815019607544
17,0.0008176669205577469,0.001008200730795673,0.9024693369865417
18,0.0008260022127262344,0.0008212171973802851,0.9205576181411743
19,0.0008085342815759389,0.0009563462335113783,0.9074856042861938
20,0.0008033146423614826,0.0007604438040532047,0.926436722278595
