round,selected_clients,avg_local_train_loss,avg_local_val_loss,regional_val_loss,regional_val_MAE,regional_val_RMSE,regional_val_MAPE_percent,regional_val_R2,avg_client_val_MAE,avg_client_val_RMSE,avg_client_val_R2
1,9,0.0014693751516147385,0.0012511274324495,0.0019763026129508967,9.181190490722656,12.776465977951108,12.785176932811737,0.8133684396743774,1.4625810517205133,1.9583176599398011,0.712300353580051
2,9,0.0010760358077100752,0.0009196562911587054,0.000951040498443635,4.474610328674316,6.586370451646214,5.548777803778648,0.9504029750823975,0.9875387416945564,1.3510796720734288,0.8558494713571336
3,9,0.0009542531335735209,0.0008642823664001785,0.0008568591727590428,4.043076038360596,5.802401722836314,4.972275719046593,0.9615072011947632,0.9345258805486891,1.2769255814031313,0.8683967325422499
4,9,0.0009086094473804942,0.0008168901555299351,0.0007788902237301603,3.76731538772583,5.173517525300821,4.9203623086214066,0.9693990349769592,0.9225809044308133,1.2220311753551925,0.880851129690806
5,9,0.0008797663442799757,0.0007399588007305384,0.0007625674523564541,3.7459821701049805,5.088555618730339,4.951157420873642,0.9703958630561829,0.9143334759606255,1.2088429691818658,0.8832539651128981
6,9,0.0008612495423422032,0.0007727594025908248,0.0007494944064368042,3.481245279312134,4.857586006977699,4.412120953202248,0.9730223417282104,0.8828107251061333,1.19348993767221,0.8844220373365614
7,9,0.0008522211992846845,0.0007261959304392517,0.0007319473149827325,3.4923527240753174,4.777543569832253,4.542282596230507,0.9739040732383728,0.8876232902208964,1.1824595640449542,0.8874600794580247
8,9,0.0008470034505246423,0.0007253096668606385,0.0007233395801252476,3.4458043575286865,4.695090290212953,4.49460856616497,0.9747970700263977,0.883197287718455,1.1755970064932675,0.8886230521731906
9,9,0.0008382224654415735,0.0006997653976110484,0.0007194934960059041,3.437690496444702,4.632784915732594,4.509321972727776,0.975461483001709,0.8801133301522996,1.1712842284752218,0.8893288638856676
10,9,0.0008309875036910347,0.0007106740699313665,0.0007118988898021767,3.3685262203216553,4.555558450175868,4.426313936710358,0.9762727618217468,0.8791857096883986,1.1659849937171596,0.890534069803026
