epoch,train_loss,val_loss,val_MAE,val_MSE,val_RMSE,val_MAPE_percent,val_R2,best_val_RMSE
1,0.013073341085707242,0.002931795409735635,0.5849500894546509,1.2355753183364868,1.1115643563629083,326099450.0,0.9617734551429749,1.1115643563629083
2,0.0022878859272271504,0.002723012632554362,0.5555766820907593,1.1475859880447388,1.0712543993117316,324841425.0,0.9644956588745117,1.0712543993117316
3,0.0020930765587201337,0.0035074677538520613,0.6641279458999634,1.4781866073608398,1.2158069778385219,183140125.0,0.9542674422264099,1.0712543993117316
4,0.002163823584675604,0.002409152095560846,0.491743266582489,1.0153125524520874,1.0076271892183575,109525550.0,0.9685879945755005,1.0076271892183575
5,0.0020101062586000526,0.002542795495138522,0.5367825031280518,1.071635365486145,1.035198225213966,255057125.0,0.9668454527854919,1.0076271892183575
6,0.0020190128661187997,0.002455716620525908,0.5083733797073364,1.034936785697937,1.017318428859881,111693175.0,0.9679808616638184,1.0076271892183575
7,0.0019778490098530553,0.002293122158156334,0.4669063985347748,0.9664130806922913,0.9830631112458097,179286075.0,0.9701008200645447,0.9830631112458097
8,0.0019788568441297776,0.0023047168457384125,0.46750324964523315,0.9712995290756226,0.9855452952937387,182418962.5,0.9699496626853943,0.9830631112458097
9,0.0019715479040946734,0.002386600647027481,0.4871327877044678,1.0058085918426514,1.0029000906584122,108805812.5,0.9688820242881775,0.9830631112458097
10,0.001932660313509746,0.0023066547579394564,0.46588802337646484,0.9721161723136902,0.9859595185978429,110956212.5,0.9699243903160095,0.9830631112458097
