receiver_id,num_events,num_rollback_to_local,num_selected_local_continue,num_selected_teacher_guided,num_selected_same_origin_merge,rollback_rate,same_origin_merge_accept_rate,teacher_guided_accept_rate,local_continue_accept_rate,best_val_loss,final_selected_val_loss,mean_selected_val_loss,mean_delta_teacher_guided_vs_local_continue,mean_delta_same_origin_merge_vs_local_continue,mean_delta_same_origin_merge_vs_teacher_guided
1,20,13,0,1,6,0.65,0.3,0.05,0.0,0.00179592452555408,0.00179592452555408,0.001819870238986979,-3.189986549083532e-05,-0.00012650115983813573,-9.460129434730041e-05
2,20,10,0,1,9,0.5,0.45,0.05,0.0,0.001817371560717468,0.001817371560717468,0.001869184858074823,-5.449442824986311e-05,-0.00014243763171345843,-8.794320346359533e-05
3,20,14,0,0,6,0.7,0.3,0.0,0.0,0.0022551892609897566,0.0022551892609897566,0.002276966362998182,-6.490160711757509e-05,-0.0001464706844855472,-8.156907736797211e-05
4,20,13,1,0,6,0.65,0.3,0.0,0.05,0.0028530085294301375,0.0028530085294301375,0.0029083690890606088,1.7236409877482096e-05,-0.00015010518372445632,-0.0001673415936019384
5,20,11,0,0,9,0.55,0.45,0.0,0.0,0.0025259480489776428,0.0025259480489776428,0.0025779851653844237,6.217327963677346e-05,-0.00011445463710224875,-0.0001766279167390222
6,20,12,0,2,6,0.6,0.3,0.1,0.0,0.0026781421183422424,0.0026781421183422424,0.002740530203049385,-0.00012782532059367883,-0.00023185772882251533,-0.0001040324082288365
7,20,10,1,0,9,0.5,0.45,0.0,0.05,0.0023863308608861335,0.0023863308608861335,0.0024253572075635067,5.468635512248718e-05,-0.0001272516902171783,-0.00018193804533966549
8,20,13,2,0,5,0.65,0.25,0.0,0.1,0.0021810209621171135,0.0021810209621171135,0.0022419543615003054,-9.239782369065598e-06,-0.00013313040921234548,-0.0001238906268432799
