round,selected_clients,avg_local_train_loss,avg_local_val_loss,avg_local_train_task_loss,avg_local_train_rc_loss,avg_local_train_weighted_rc_loss,avg_local_train_total_loss,avg_local_train_rc_to_task_ratio,round_rc_to_task_ratio,global_rc_norm,avg_personalized_head_ratio,avg_num_personalized_head_params,avg_num_head_params,avg_head_importance_mean,regional_val_loss,regional_val_MAE,regional_val_MSE,regional_val_RMSE,regional_val_MAPE_percent,regional_val_R2,avg_client_val_MAE,avg_client_val_MSE,avg_client_val_RMSE,avg_client_val_R2,regional_val_samples
1,9,0.0014511463067348467,0.0012269364444623258,0.0014511463067348467,0.0,0.0,0.0014511463067348467,0.0,0.0,1.2998167276382446,0.0,0.0,353.0,0.0,0.0023019842887636644,12.153603553771973,220.89340209960938,14.862483039506197,17.75350272655487,0.747450590133667,1.6874852710300021,4.814566585752699,2.1156410936320182,0.6645978093147278,5211
2,9,0.0010798032058422435,0.0009079091277866165,0.0010798032058422435,0.0,0.0,0.0010798032058422435,0.0,0.0,1.1152136325836182,0.0,0.0,353.0,0.0,0.000938728313463441,4.687593460083008,43.66960144042969,6.608297923098632,6.059083342552185,0.950072169303894,1.0028641091452704,1.8925181296136644,1.3457260052293571,0.8582395646307204,5211
3,9,0.0009514703468638958,0.0007749045230950108,0.0009514703468638958,0.0,0.0,0.0009514703468638958,0.0,0.0,0.98820561170578,0.0,0.0,353.0,0.0,0.0007968535783270657,3.7762694358825684,26.99382972717285,5.195558654001786,4.887316003441811,0.9691377282142639,0.9258426030476888,1.577068289120992,1.2347429127423337,0.8776727451218499,5211
4,9,0.0009017925268309809,0.0007933141774485892,0.0009017925268309809,0.0,0.0,0.0009017925268309809,0.0,0.0,0.9148959517478943,0.0,0.0,353.0,0.0,0.0007699989420134641,3.8119423389434814,26.382112503051758,5.136352061828682,5.035881698131561,0.9698370695114136,0.9215035570992364,1.5293369624349806,1.2150888598253315,0.8822026451428732,5211
5,9,0.0008753261338373295,0.0007893847386103319,0.0008753261338373295,0.0,0.0,0.0008753261338373295,0.0,0.0,0.8581510782241821,0.0,0.0,353.0,0.0,0.0007474465895852118,3.5014517307281494,23.51816177368164,4.849552739550488,4.519733786582947,0.9731114506721497,0.8976112537913852,1.4765026635593839,1.195396707912485,0.8853478895293342,5211
6,9,0.0008602454889823119,0.0007201801514967046,0.0008602454889823119,0.0,0.0,0.0008602454889823119,0.0,0.0,0.8083585500717163,0.0,0.0,353.0,0.0,0.0007382319448723539,3.4133293628692627,22.3575496673584,4.728377064845653,4.3637968599796295,0.9744384288787842,0.8861976861953735,1.4520666864183214,1.1864598786520921,0.8864074084493849,5211
7,9,0.0008516969585386019,0.0007306535846596231,0.0008516969585386019,0.0,0.0,0.0008516969585386019,0.0,0.0,0.770933985710144,0.0,0.0,353.0,0.0,0.000726297923227236,3.4286694526672363,22.10630989074707,4.701734774606822,4.455779120326042,0.9747256636619568,0.8836862179968092,1.4326649109522502,1.177857574614504,0.8882649540901184,5211
8,9,0.0008444376461747853,0.0006765708508229998,0.0008444376461747853,0.0,0.0,0.0008444376461747853,0.0,0.0,0.722221851348877,0.0,0.0,353.0,0.0,0.000719185178192047,3.3620352745056152,21.266454696655273,4.6115566457168535,4.383764415979385,0.9756858944892883,0.8787353303697374,1.4152891768349543,1.1712961416473615,0.8891939719518026,5211
9,9,0.0008338154038055683,0.0006835608776516262,0.0008338154038055683,0.0,0.0,0.0008338154038055683,0.0,0.0,0.6823520660400391,0.0,0.0,353.0,0.0,0.0007210393071890167,3.275141477584839,20.708480834960938,4.550657187150109,4.1410911828279495,0.9763237833976746,0.8689517974853516,1.4104132188691034,1.1705268319729363,0.8888017071617974,5211
10,9,0.0008360470587675073,0.0007009921799819589,0.0008360470587675073,0.0,0.0,0.0008360470587675073,0.0,0.0,0.6453783512115479,0.0,0.0,353.0,0.0,0.0007107850393784951,3.256725549697876,19.943355560302734,4.46579842360834,4.184982925653458,0.977198600769043,0.8671726120842828,1.3928278088569641,1.1629096265014747,0.8903350631395975,5211
11,9,0.0008257326530341541,0.0006848649048701112,0.0008257326530341541,0.0,0.0,0.0008257326530341541,0.0,0.0,0.6257415413856506,0.0,0.0,353.0,0.0,0.0007020873989548849,3.197321891784668,19.163976669311523,4.377667948726985,4.1481781750917435,0.9780896306037903,0.8687918782234192,1.379437698258294,1.1569280724101008,0.8918773995505439,5211
12,9,0.0008177262450503263,0.0007407725370324507,0.0008177262450503263,0.0,0.0,0.0008177262450503263,0.0,0.0,0.609880805015564,0.0,0.0,353.0,0.0,0.0007366199928140183,3.726973295211792,25.71974754333496,5.07146404338382,4.841669276356697,0.9705944061279297,0.8979085750050015,1.457891258928511,1.1874650714507533,0.8865305450227525,5211
13,9,0.0008134829499481832,0.0006653807614643769,0.0008134829499481832,0.0,0.0,0.0008134829499481832,0.0,0.0,0.5759676098823547,0.0,0.0,353.0,0.0,0.0006975518703303586,3.1880030632019043,19.231063842773438,4.385323687343209,4.116995632648468,0.9780129790306091,0.864140960905287,1.3712621331214905,1.1533243888490308,0.8922805587450663,5211
14,9,0.0008107681412583632,0.0006835489183577921,0.0008107681412583632,0.0,0.0,0.0008107681412583632,0.0,0.0,0.5546190738677979,0.0,0.0,353.0,0.0,0.0007086794500594465,3.3929994106292725,21.101707458496094,4.593659484386723,4.4610075652599335,0.9758742451667786,0.8789564039972093,1.3972294131914775,1.1635107652655812,0.8907322221332126,5211
15,9,0.000809799748371907,0.00070557948522565,0.000809799748371907,0.0,0.0,0.000809799748371907,0.0,0.0,0.5331355333328247,0.0,0.0,353.0,0.0,0.0007038852510845657,3.3730435371398926,20.719804763793945,4.551901225179864,4.42589558660984,0.9763108491897583,0.8750995728704665,1.3872146672672696,1.1593999277827898,0.8915320701069303,5211
