experiment,save_dir,checkpoint_dir,regional_MAE,regional_MSE,regional_RMSE,regional_MAPE_percent,regional_R2,avg_client_MAE,avg_client_MSE,avg_client_RMSE,avg_client_MAPE_percent,avg_client_R2
fedavg_gc_baseline,runs/gc_rc_compare\results\fedavg_gc_baseline,runs/gc_rc_compare\checkpoints\fedavg_gc_baseline,3.632718086242676,23.199792861938477,4.816616329119279,4.636155068874359,0.976077675819397,1.017788741323683,1.8380273580551147,1.337973688985628,12.124248014556038,0.8689770698547363
fedavg_gc_rc_lambda1p0,runs/gc_rc_compare\results\fedavg_gc_rc_lambda1p0,runs/gc_rc_compare\checkpoints\fedavg_gc_rc_lambda1p0,3.4904537200927734,21.546833038330078,4.641856636985903,4.439925029873848,0.977782130241394,0.9876306255658468,1.750907129711575,1.3085430325006198,11.662540336449942,0.8755401968955994
