round,client_id,client_name,num_samples,local_rc_norm,global_rc_norm,rc_rg_l2_norm,rc_rg_mean_abs,use_rc_regularization,rc_lambda
1,1,client_1,42023,0.6341565251350403,1.181305170059204,0.7607523798942566,0.12678959965705872,True,1.0
1,2,client_2,42023,1.458450436592102,1.181305170059204,0.29618197679519653,0.05317649990320206,True,1.0
1,3,client_3,42023,1.3864058256149292,1.181305170059204,0.2401011884212494,0.03987988084554672,True,1.0
1,4,client_4,42023,1.395935297012329,1.181305170059204,0.2571045458316803,0.04901718348264694,True,1.0
1,5,client_5,42023,1.0421587228775024,1.181305170059204,0.26997241377830505,0.044728342443704605,True,1.0
1,6,client_6,42023,1.23125422000885,1.181305170059204,0.23843401670455933,0.042789261788129807,True,1.0
1,7,client_7,42023,1.2077150344848633,1.181305170059204,0.16549302637577057,0.028893616050481796,True,1.0
1,8,client_8,42023,1.415244460105896,1.181305170059204,0.271353155374527,0.04907148331403732,True,1.0
1,9,client_9,42023,1.0742838382720947,1.181305170059204,0.19323009252548218,0.03433914855122566,True,1.0
2,1,client_1,42023,1.1857233047485352,1.1807018518447876,0.015187266282737255,0.002845661249011755,True,1.0
2,2,client_2,42023,1.1772029399871826,1.1807018518447876,0.024532172828912735,0.004439022392034531,True,1.0
2,3,client_3,42023,1.1791244745254517,1.1807018518447876,0.023722326382994652,0.004283434711396694,True,1.0
2,4,client_4,42023,1.1764411926269531,1.1807018518447876,0.011808449402451515,0.0020066401921212673,True,1.0
2,5,client_5,42023,1.1905770301818848,1.1807018518447876,0.016501575708389282,0.0031983577646315098,True,1.0
2,6,client_6,42023,1.1831433773040771,1.1807018518447876,0.010484486818313599,0.0018866390455514193,True,1.0
2,7,client_7,42023,1.1716080904006958,1.1807018518447876,0.05091047286987305,0.009287520311772823,True,1.0
2,8,client_8,42023,1.1854263544082642,1.1807018518447876,0.017863884568214417,0.0034503794740885496,True,1.0
2,9,client_9,42023,1.1790310144424438,1.1807018518447876,0.008549943566322327,0.0015292397001758218,True,1.0
3,1,client_1,42023,1.170921802520752,1.1775864362716675,0.01166644785553217,0.0021720370277762413,True,1.0
3,2,client_2,42023,1.1893703937530518,1.1775864362716675,0.04243551939725876,0.008015399798750877,True,1.0
3,3,client_3,42023,1.1703001260757446,1.1775864362716675,0.013792036101222038,0.002782804425805807,True,1.0
3,4,client_4,42023,1.1814407110214233,1.1775864362716675,0.00917613971978426,0.0015584768261760473,True,1.0
3,5,client_5,42023,1.1764253377914429,1.1775864362716675,0.048185162246227264,0.008992752060294151,True,1.0
3,6,client_6,42023,1.1840919256210327,1.1775864362716675,0.029751213267445564,0.005651347804814577,True,1.0
3,7,client_7,42023,1.1840604543685913,1.1775864362716675,0.011910682544112206,0.0021952420938760042,True,1.0
3,8,client_8,42023,1.1667982339859009,1.1775864362716675,0.03005801886320114,0.005833684466779232,True,1.0
3,9,client_9,42023,1.1774823665618896,1.1775864362716675,0.011990846134722233,0.0021106747444719076,True,1.0
4,1,client_1,42023,1.1814560890197754,1.1782275438308716,0.014380455017089844,0.002613662974908948,True,1.0
4,2,client_2,42023,1.177811861038208,1.1782275438308716,0.03106245957314968,0.005104205571115017,True,1.0
4,3,client_3,42023,1.1751625537872314,1.1782275438308716,0.01977020502090454,0.003595131915062666,True,1.0
4,4,client_4,42023,1.172417163848877,1.1782275438308716,0.017041202634572983,0.0033250818960368633,True,1.0
4,5,client_5,42023,1.1824815273284912,1.1782275438308716,0.011599724180996418,0.001921457820571959,True,1.0
4,6,client_6,42023,1.1730097532272339,1.1782275438308716,0.008701695129275322,0.0015431176871061325,True,1.0
4,7,client_7,42023,1.1866579055786133,1.1782275438308716,0.012732193805277348,0.0023932885378599167,True,1.0
4,8,client_8,42023,1.1771801710128784,1.1782275438308716,0.010548267513513565,0.0019338661804795265,True,1.0
4,9,client_9,42023,1.1788270473480225,1.1782275438308716,0.009532058611512184,0.0015489436918869615,True,1.0
5,1,client_1,42023,1.1787208318710327,1.1757011413574219,0.0106893265619874,0.002110713627189398,True,1.0
5,2,client_2,42023,1.1792352199554443,1.1757011413574219,0.0096182432025671,0.0017095260554924607,True,1.0
5,3,client_3,42023,1.1818846464157104,1.1757011413574219,0.007508093491196632,0.0012304887641221285,True,1.0
5,4,client_4,42023,1.1766502857208252,1.1757011413574219,0.02124507911503315,0.0038742818869650364,True,1.0
5,5,client_5,42023,1.1676236391067505,1.1757011413574219,0.023530984297394753,0.004213525447994471,True,1.0
5,6,client_6,42023,1.169876217842102,1.1757011413574219,0.015534089878201485,0.0030321816448122263,True,1.0
5,7,client_7,42023,1.174445629119873,1.1757011413574219,0.02499585784971714,0.004495182074606419,True,1.0
5,8,client_8,42023,1.1752227544784546,1.1757011413574219,0.013126782141625881,0.0024669133126735687,True,1.0
5,9,client_9,42023,1.1786080598831177,1.1757011413574219,0.010736552998423576,0.0020916792564094067,True,1.0
6,1,client_1,42023,1.1779265403747559,1.1748818159103394,0.01654309220612049,0.0031678956001996994,True,1.0
6,2,client_2,42023,1.1775456666946411,1.1748818159103394,0.017003187909722328,0.002604846842586994,True,1.0
6,3,client_3,42023,1.177943229675293,1.1748818159103394,0.010728707537055016,0.0020618729759007692,True,1.0
6,4,client_4,42023,1.1767133474349976,1.1748818159103394,0.012629915960133076,0.0022865927312523127,True,1.0
6,5,client_5,42023,1.1702772378921509,1.1748818159103394,0.00939008966088295,0.0018025828758254647,True,1.0
6,6,client_6,42023,1.1780747175216675,1.1748818159103394,0.02179243415594101,0.004261685535311699,True,1.0
6,7,client_7,42023,1.1693973541259766,1.1748818159103394,0.008344930596649647,0.0014505803119391203,True,1.0
6,8,client_8,42023,1.176133155822754,1.1748818159103394,0.019939107820391655,0.003413946833461523,True,1.0
6,9,client_9,42023,1.1708083152770996,1.1748818159103394,0.017800141125917435,0.0034854370169341564,True,1.0
7,1,client_1,42023,1.1778697967529297,1.1737178564071655,0.025534510612487793,0.004737197421491146,True,1.0
7,2,client_2,42023,1.1691632270812988,1.1737178564071655,0.019582267850637436,0.003913748078048229,True,1.0
7,3,client_3,42023,1.1725975275039673,1.1737178564071655,0.01834794133901596,0.003527044551447034,True,1.0
7,4,client_4,42023,1.1761645078659058,1.1737178564071655,0.01345850434154272,0.002620251150801778,True,1.0
7,5,client_5,42023,1.1758891344070435,1.1737178564071655,0.006388743408024311,0.0012383300345391035,True,1.0
7,6,client_6,42023,1.1755526065826416,1.1737178564071655,0.005950453691184521,0.0010830595856532454,True,1.0
7,7,client_7,42023,1.1721117496490479,1.1737178564071655,0.004266887903213501,0.000833954953122884,True,1.0
7,8,client_8,42023,1.1684147119522095,1.1737178564071655,0.012865515425801277,0.002396028023213148,True,1.0
