round,client_id,client_name,tau,layer_name,num_layer_params,num_selected_params,selected_ratio,mask_jaccard_with_prev_round_layer,mask_hamming_change_rate_layer,selected_importance_mean,unselected_importance_mean,selected_importance_median,unselected_importance_median,selected_importance_min,selected_importance_max,unselected_importance_min,unselected_importance_max,importance_gap_mean_ratio,importance_gap_boundary_ratio,importance_selected_share,use_head_importance_ema,head_importance_ema_beta
6,1,client_1,0.1,fc1,336,34,0.10119047619047619,,,1.0019673020585341e-05,8.890952051765836e-08,2.9289448093550163e-06,4.6636410662090344e-11,7.862389566071215e-07,0.00014788334374316037,0.0,7.77108994043374e-07,112.69389676551664,1.0117473235883232,0.9269408247554182,True,0.3
6,2,client_2,0.1,fc1,336,34,0.10119047619047619,,,3.0229674974477533e-06,6.56129602643264e-09,4.179420614036644e-07,2.2911030169402158e-12,6.525258555711844e-08,7.646075391676277e-05,0.0,5.931087088129061e-08,460.6569842737013,1.1001606354268918,0.9810856518639923,True,0.3
6,3,client_3,0.1,fc1,336,34,0.10119047619047619,,,5.341081219131304e-06,5.1548942781052385e-08,8.010935346192127e-07,1.8500182635827755e-10,4.2340170125498844e-07,0.00013826304348185658,0.0,4.2006942635453015e-07,103.60983797433938,1.007930277142735,0.9210416740079165,True,0.3
6,4,client_4,0.1,fc1,336,34,0.10119047619047619,,,4.7718793150111466e-06,1.239004016542746e-08,1.1451449495325505e-06,6.370022564983202e-12,1.956601067831798e-07,8.803262608125806e-05,0.0,1.873551411790686e-07,385.1072429193864,1.0443218223424795,0.9774571345887333,True,0.3
6,5,client_5,0.1,fc1,336,34,0.10119047619047619,,,5.035581033459547e-06,6.99523534727272e-08,1.1616714914453041e-06,6.948933008871228e-11,5.870289214726654e-07,8.129280467983335e-05,0.0,5.614647875518131e-07,71.98484109018128,1.0455292815477084,0.8901626300433222,True,0.3
6,6,client_6,0.1,fc1,336,34,0.10119047619047619,,,1.7833528866450411e-06,2.735868731180204e-08,6.480265426489495e-07,5.1610375695343436e-11,2.384731487836689e-07,2.440888601995539e-05,0.0,2.2244192621201364e-07,65.18177149911224,1.0720644294904509,0.880075966432259,True,0.3
6,7,client_7,0.1,fc1,336,34,0.10119047619047619,,,4.258419700838257e-06,1.2892998046932236e-08,5.197573500481667e-07,9.515158626294262e-12,1.585673743420557e-07,0.00010262656724080443,0.0,1.573340995264516e-07,330.26371536107285,1.007832167261552,0.9738116283106448,True,0.3
6,8,client_8,0.1,fc1,336,34,0.10119047619047619,,,2.2021042733613555e-06,2.5780565523170732e-08,3.596529865035336e-07,1.1540260413944736e-10,2.180061642320652e-07,5.5321299441857263e-05,0.0,1.9901327164006943e-07,85.41390829747141,1.0954298022723912,0.9058070503027325,True,0.3
6,9,client_9,0.1,fc1,336,34,0.10119047619047619,,,6.470433239555592e-06,2.0423510871340252e-08,8.721379458620504e-07,1.1215337686332205e-11,2.48657528345575e-07,5.6722445151535794e-05,0.0,2.406912926744553e-07,316.7974636119647,1.0330930233893818,0.9727280255498224,True,0.3
7,1,client_1,0.1,fc1,336,34,0.10119047619047619,0.8888888888888888,0.011904762126505375,1.3230035437693326e-05,8.289390701853493e-08,4.610398264048854e-06,2.477764521335857e-10,8.627091006019327e-07,0.00016103686357382685,0.0,8.463282483717194e-07,159.6000998557746,1.0193539952231676,0.9472808502867244,True,0.3
7,2,client_2,0.1,fc1,336,34,0.10119047619047619,0.7894736842105263,0.02380952425301075,3.378997327901596e-06,9.820138483307529e-09,5.975729777674132e-07,9.393488157455332e-12,1.0945906581127929e-07,6.80153607390821e-05,0.0,1.0558760976664416e-07,344.05352634470023,1.0366559996687996,0.9748354447571141,True,0.3
7,3,client_3,0.1,fc1,336,34,0.10119047619047619,0.7894736842105263,0.02380952425301075,4.0744097965310124e-06,4.594911677828624e-08,6.252255388972117e-07,1.7837940846643363e-10,3.9441894728042826e-07,0.00010613445192575455,0.0,3.814611204688845e-07,88.67028164891146,1.0339662213265568,0.9089498952132985,True,0.3
7,4,client_4,0.1,fc1,336,34,0.10119047619047619,0.8888888888888888,0.011904762126505375,3.1065759274310145e-06,1.128623440849798e-08,9.983224060761131e-07,1.1766598546208984e-11,1.4272671933213132e-07,3.3730135328369215e-05,0.0,1.378167411303366e-07,275.2291495862018,1.035619348869985,0.9687390550334604,True,0.3
7,5,client_5,0.1,fc1,336,34,0.10119047619047619,0.8888888888888888,0.011904762126505375,3.4622880993056777e-06,5.058161681222521e-08,7.580039209642564e-07,1.4778816365135228e-10,4.0424845337838633e-07,5.352603693609126e-05,0.0,4.037615042307152e-07,68.44818076847467,1.0012035519459566,0.8851398350367489,True,0.3
7,6,client_6,0.1,fc1,336,34,0.10119047619047619,0.7894736842105263,0.02380952425301075,1.7705696284806168e-06,3.3561674288665574e-08,6.080110210859857e-07,1.1273110223086746e-10,2.538318710776366e-07,2.7202690034755506e-05,0.0,2.535248029289505e-07,52.75412838834939,1.001207246541181,0.8558949688603713,True,0.3
7,7,client_7,0.1,fc1,336,34,0.10119047619047619,0.7435897435897436,0.02976190485060215,2.934742520424419e-06,1.6657443787961482e-08,7.548540565949224e-07,5.0119228212075484e-11,1.930934274696483e-07,5.60081098228693e-05,0.0,1.9163525166732143e-07,176.17146942292786,1.0076038629938167,0.9520039760339932,True,0.3
7,8,client_8,0.1,fc1,336,34,0.10119047619047619,0.7435897435897436,0.02976190485060215,3.0470104047206885e-06,2.3460278196084116e-08,5.974107466499845e-07,1.1541891054012154e-10,2.0636475994706416e-07,7.059515337459743e-05,0.0,2.0372542053337384e-07,129.87401535647192,1.0129504038149932,0.9359885262756438,True,0.3
7,9,client_9,0.1,fc1,336,34,0.10119047619047619,0.7,0.0357142873108387,3.050422980563513e-06,2.2275835815558253e-08,6.224624371498066e-07,4.976366888009842e-11,2.333830764200684e-07,3.090094469371252e-05,0.0,2.2684690748064895e-07,136.93250719355225,1.0288085925587693,0.9390872778208182,True,0.3
8,1,client_1,0.1,fc1,336,34,0.10119047619047619,0.7435897435897436,0.02976190485060215,8.778372947450835e-06,7.231718279546832e-08,3.3634515830271994e-06,2.2860740384045286e-10,6.343885843307362e-07,8.847096614772454e-05,0.0,5.917507337471761e-07,121.38541938032374,1.072051923386128,0.9318155242633167,True,0.3
8,2,client_2,0.1,fc1,336,34,0.10119047619047619,0.8378378378378378,0.01785714365541935,1.6346030438749976e-06,1.0273403147308944e-08,3.8164097304616007e-07,2.393765220765065e-11,1.1179385950299547e-07,3.221010774723254e-05,0.0,1.0384899695736749e-07,159.09469586105646,1.0764936232871447,0.9471264801445484,True,0.3
8,3,client_3,0.1,fc1,336,34,0.10119047619047619,0.7,0.0357142873108387,2.543367081804771e-06,4.4125890376697216e-08,5.599556516244775e-07,1.6741567160361015e-10,3.2764336310719955e-07,3.616843605414033e-05,0.0,3.274371920269914e-07,57.63757790528306,1.0006265948359232,0.8664734128943633,True,0.3
8,4,client_4,0.1,fc1,336,34,0.10119047619047619,0.8378378378378378,0.01785714365541935,1.994049368605869e-06,1.1761664023383796e-08,9.358826105199114e-07,2.3766093260046972e-11,1.1360751983602313e-07,1.9989489373983815e-05,0.0,1.1281554179731756e-07,169.52361851377913,1.0070111884844566,0.9502166992399896,True,0.3
8,5,client_5,0.1,fc1,336,34,0.10119047619047619,0.7435897435897436,0.02976190485060215,2.1705607956752883e-06,4.273494430233166e-08,5.77134215973274e-07,1.3144253394048455e-10,3.312453031867335e-07,3.503924381220713e-05,0.0,3.268734189987299e-07,50.79005111762238,1.0133717535969697,0.8511510160702358,True,0.3
8,6,client_6,0.1,fc1,336,34,0.10119047619047619,0.7,0.0357142873108387,2.1532861826672695e-06,5.6523071581153814e-08,9.426604492546176e-07,1.8958851155659318e-10,4.420645325353689e-07,2.3854783648857847e-05,0.0,4.3813147954097076e-07,38.09502964724883,1.008974575449229,0.810925488203266,True,0.3
8,7,client_7,0.1,fc1,336,34,0.10119047619047619,0.7435897435897436,0.02976190485060215,1.3872509574539168e-06,1.406073926090778e-08,4.0327563510800246e-07,3.574629828251297e-11,1.5408467390898295e-07,2.0605913960025646e-05,0.0,1.4634393608048413e-07,98.65429387604506,1.052886953493507,0.9174069959704233,True,0.3
8,8,client_8,0.1,fc1,336,34,0.10119047619047619,0.8378378378378378,0.01785714365541935,1.7712154357575535e-06,2.065049387063929e-08,4.00725170379701e-07,8.431327858104964e-11,2.0022554281240446e-07,3.743200431927107e-05,0.0,2.0001559164484206e-07,85.76694000213378,1.0010446691739123,0.9061592089789896,True,0.3
8,9,client_9,0.1,fc1,336,34,0.10119047619047619,0.7894736842105263,0.02380952425301075,2.0099713855656504e-06,1.657036444694844e-08,5.383645884649013e-07,3.6942687624275106e-11,1.8015244052094204e-07,2.0530258552753367e-05,0.0,1.7151327824649343e-07,121.29184606375485,1.0503641000782116,0.9317694656561374,True,0.3
9,1,client_1,0.1,fc1,336,34,0.10119047619047619,0.8888888888888888,0.011904762126505375,4.270831649431356e-06,5.512266401749353e-08,1.6589693245805393e-06,2.0806006917339914e-10,3.6798715541408455e-07,4.3957414163742214e-05,0.0,3.6467571362663875e-07,77.47728177277921,1.0090777438310337,0.8971486130286868,True,0.3
9,2,client_2,0.1,fc1,336,34,0.10119047619047619,0.8888888888888888,0.011904762126505375,1.1767775230081872e-06,1.1109774714054251e-08,4.294399076343325e-07,2.7241263064747834e-11,1.2708323993138038e-07,1.4459477824857458e-05,0.0,1.2234312407599646e-07,105.91318367023109,1.038735949855999,0.9226309747760821,True,0.3
9,3,client_3,0.1,fc1,336,34,0.10119047619047619,0.7894736842105263,0.02380952425301075,1.7805361790458526e-06,4.488675140782219e-08,8.230528294461692e-07,1.311452335617247e-10,3.7547988540609367e-07,1.0858117093448527e-05,0.0,3.699518913435895e-07,39.66641507321248,1.0149397239265554,0.8170459774473814,True,0.3
9,4,client_4,0.1,fc1,336,34,0.10119047619047619,0.7,0.0357142873108387,2.60824583452792e-06,1.3924591120630062e-08,1.0154401479667285e-06,3.356839112234056e-11,2.376128804826294e-07,1.6733689335524105e-05,0.0,2.0066377715011186e-07,187.29875176816984,1.184128494583171,0.9547268028534461,True,0.3
9,5,client_5,0.1,fc1,336,34,0.10119047619047619,0.7894736842105263,0.02380952425301075,1.285566591324074e-06,3.814728107186633e-08,6.013197548782045e-07,5.4849245804955427e-11,3.1218232265928236e-07,1.2693275493802503e-05,0.0,3.0400661898966064e-07,33.69920099157905,1.0268897986727752,0.7914080580031697,True,0.3
9,6,client_6,0.1,fc1,336,34,0.10119047619047619,0.7894736842105263,0.02380952425301075,1.8394183531627812e-06,4.3793897282372606e-08,9.792636888050765e-07,1.564766649586602e-10,3.841806801574421e-07,1.3516964827431366e-05,0.0,3.4899514389508113e-07,42.00074591573811,1.1008164040716122,0.8254393612444515,True,0.3
9,7,client_7,0.1,fc1,336,34,0.10119047619047619,0.7,0.0357142873108387,7.337875846293601e-07,1.0806618191179384e-08,2.4720603164496424e-07,5.398632582642726e-11,1.27879530964492e-07,7.074749191815499e-06,0.0,1.2206149335725058e-07,67.89540226617548,1.0476562246702286,0.8843202899086682,True,0.3
9,8,client_8,0.1,fc1,336,34,0.10119047619047619,0.6585365853658537,0.0416666679084301,1.1387173966635173e-06,2.5531507861874055e-08,3.9435892063011124e-07,1.1849853737144755e-10,2.3566283857689996e-07,1.8437971448292956e-05,0.0,2.2136121913263196e-07,44.59872891545785,1.0646028012381805,0.8339213984602153,True,0.3
9,9,client_9,0.1,fc1,336,34,0.10119047619047619,0.7435897435897436,0.02976190485060215,1.0311294469247781e-06,1.3373366528921435e-08,3.671469812616124e-07,3.027817579992487e-11,1.3769894735560229e-07,7.321289558603894e-06,0.0,1.3622110373034957e-07,77.09744193827869,1.0108414389795075,0.8966994577079467,True,0.3
10,1,client_1,0.1,fc1,336,34,0.10119047619047619,0.7894736842105263,0.02380952425301075,4.421298576610698e-06,6.66771990788961e-08,9.432024796751648e-07,1.7916759742497845e-10,5.005558705306612e-07,8.916460501495749e-05,0.0,4.990725415154884e-07,66.30800827987652,1.0029701614929767,0.8818700163744366,True,0.3
10,2,client_2,0.1,fc1,336,34,0.10119047619047619,0.6585365853658537,0.0416666679084301,1.352917077923621e-06,6.920613367833078e-09,2.528650213662331e-07,1.118204443970039e-11,1.1372997477110403e-07,2.804427276714705e-05,0.0,1.122194532854337e-07,195.46267698381618,1.0134513935871463,0.9565385580840511,True,0.3
10,3,client_3,0.1,fc1,336,34,0.10119047619047619,0.7894736842105263,0.02380952425301075,1.3286216107430579e-06,2.094563846754553e-08,3.2210110134656134e-07,8.276409765861636e-11,1.71805552895421e-07,1.690771387075074e-05,0.0,1.6892892062969622e-07,63.428870116873796,1.0170226343267414,0.8771700649805376,True,0.3
