client_id,client_name,num_aligned_samples,MAE_all_client_disjoint_bidirectional,MAE_fedavg_same_setting,MAE_diff_all_minus_fedavg,MAE_relative_improvement_percent,MAE_winner,MSE_all_client_disjoint_bidirectional,MSE_fedavg_same_setting,MSE_diff_all_minus_fedavg,MSE_relative_improvement_percent,MSE_winner,RMSE_all_client_disjoint_bidirectional,RMSE_fedavg_same_setting,RMSE_diff_all_minus_fedavg,RMSE_relative_improvement_percent,RMSE_winner,MAPE_percent_all_client_disjoint_bidirectional,MAPE_percent_fedavg_same_setting,MAPE_percent_diff_all_minus_fedavg,MAPE_percent_relative_improvement_percent,MAPE_percent_winner,R2_all_client_disjoint_bidirectional,R2_fedavg_same_setting,R2_diff_all_minus_fedavg,R2_relative_improvement_percent,R2_winner
1,client_1,5209,1.063819232168065,1.1511734492911114,-0.08735421712304636,7.588275874225451,All-client Disjoint Bidirectional,2.0997024590089985,2.2516045009149677,-0.15190204190596912,6.746390933409567,All-client Disjoint Bidirectional,1.4490350095870694,1.5005347383232976,-0.05149972873622821,3.432091735095329,All-client Disjoint Bidirectional,58.93505594147604,71.03703029368461,-12.101974352208572,17.036149036884037,All-client Disjoint Bidirectional,0.9508811506144119,0.9473276693941786,0.0035534812202333566,0.375105819774675,All-client Disjoint Bidirectional
2,client_2,5209,1.0825920275590066,1.0920960728943558,-0.00950404533534921,0.8702572576935349,All-client Disjoint Bidirectional,2.2382538743610025,2.2269188791297108,0.011334995231291778,-0.5089990182184607,FedAvg Same Setting,1.496079501350447,1.4922864601442012,0.0037930412062459062,-0.25417648069254617,FedAvg Same Setting,55.678990017122175,63.17993945888291,-7.5009494417607385,11.87235933747975,All-client Disjoint Bidirectional,0.9461978799977796,0.9464703454991578,-0.0002724655013781607,-0.02878753705003462,FedAvg Same Setting
3,client_3,5209,1.0770643314402015,1.0980165851667307,-0.020952253726529202,1.9081910063633203,All-client Disjoint Bidirectional,2.0806229849120577,2.2407226456633214,-0.1600996607512637,7.145001237039285,All-client Disjoint Bidirectional,1.4424364751738836,1.4969043542134952,-0.05446787903961159,3.6387013563221373,All-client Disjoint Bidirectional,63.79946227056295,70.72694893532248,-6.927486664759535,9.794691795760196,All-client Disjoint Bidirectional,0.9305482839871063,0.9252041175014994,0.005344166485606872,0.5776202661136784,All-client Disjoint Bidirectional
4,client_4,5209,1.2376129302827292,1.2362214445685353,0.0013914857141938963,-0.11255958390849231,FedAvg Same Setting,2.8211458293957477,2.8146292411704117,0.006516588225335962,-0.23152563506467935,FedAvg Same Setting,1.6796266934636839,1.6776856800874267,0.0019410133762571835,-0.11569588983772183,FedAvg Same Setting,49.89892831478501,53.40535002798382,-3.5064217131988116,6.565674995785038,All-client Disjoint Bidirectional,0.9275884058638477,0.9277556701875719,-0.0001672643237241589,-0.018028919585082324,FedAvg Same Setting
5,client_5,5209,1.2323253076276737,1.2744427488704742,-0.04211744124280048,3.3047731080998926,All-client Disjoint Bidirectional,2.9266836166859953,3.0520860869572792,-0.12540247027128393,4.108746172238595,All-client Disjoint Bidirectional,1.7107552766792786,1.7470220625273394,-0.036266785848060756,2.075920311824523,All-client Disjoint Bidirectional,181.45669367187932,177.27078418504934,4.185909486829985,-2.3613081569382577,FedAvg Same Setting,0.9594948425082437,0.9577592785139667,0.0017355639942769896,0.1812108776403444,All-client Disjoint Bidirectional
6,client_6,5209,0.9047942045163015,0.852930699129257,0.05186350538704454,-6.080623600486082,FedAvg Same Setting,1.457374850412485,1.4066941398777668,0.05068071053471823,-3.602823748105048,FedAvg Same Setting,1.2072178139890435,1.186041373594432,0.02117644039461153,-1.7854723170772653,FedAvg Same Setting,59.09796212048786,59.8959765542347,-0.7980144337468431,1.3323339557278204,All-client Disjoint Bidirectional,0.9484007803566195,0.9501951610542484,-0.001794380697628939,-0.1888433840936488,FedAvg Same Setting
7,client_7,5209,0.8279084478047825,0.8257335972947207,0.002174850510061721,-0.2633840402264114,FedAvg Same Setting,1.308677062477426,1.253404285068957,0.05527277740846892,-4.409812385907715,FedAvg Same Setting,1.1439742403032622,1.119555396159099,0.024418844144163288,-2.1811197755767995,FedAvg Same Setting,1225454.6058596906,1229904.0963714032,-4449.490511712618,0.3617754038579096,All-client Disjoint Bidirectional,0.9449833389691031,0.9473070016512168,-0.002323662682113703,-0.24529140796630974,FedAvg Same Setting
8,client_8,5209,1.0031855052832264,1.009316891994164,-0.006131386710937603,0.60747885620179,All-client Disjoint Bidirectional,1.9118254404409258,1.9888088255628538,-0.07698338512192793,3.870828816346429,All-client Disjoint Bidirectional,1.3826877595614007,1.4102513341822633,-0.027563574620862674,1.954515053647899,All-client Disjoint Bidirectional,4180286.7071106373,3546752.751184031,633533.9559266064,-17.862365954748622,FedAvg Same Setting,0.9475818517822161,0.9454711326977225,0.002110719084493562,0.22324521727818655,All-client Disjoint Bidirectional
