epoch,train_loss,train_gg_loss,train_gc_reconstruction_loss,val_loss,val_gg_loss,val_gc_reconstruction_loss,val_gg_MAE,val_gg_MSE,val_gg_RMSE,val_gg_MAPE_percent,val_gg_R2,val_gc_MAE,val_gc_MSE,val_gc_RMSE,val_gc_MAPE_percent,val_gc_R2,best_val_gg_RMSE
1,26.733397918550573,26.733397918550573,26.733397720751203,6.646027214149909,6.646027214149909,6.646027448539909,1.5230765342712402,6.646027565002441,2.57798905447685,603435750.0,0.9051569104194641,1.5230765342712402,6.646026611328125,2.5779888695120707,16.77487939596176,0.7716161608695984,2.57798905447685
2,4.656991235457151,4.656991235457151,4.656991241307339,5.122669062489921,5.122669062489921,5.122669027331421,1.2415474653244019,5.122668743133545,2.263331337461121,297883025.0,0.9268962144851685,1.2415474653244019,5.122668743133545,2.263331337461121,13.395793735980988,0.8239647746086121,2.263331337461121
3,3.913847396602931,3.913847396602931,3.91384740386954,6.304651799472979,6.304651799472979,6.30465201042398,1.3849064111709595,6.304651260375977,2.510906461892991,209346337.5,0.9100285172462463,1.384906530380249,6.304651260375977,2.510906461892991,14.040198922157288,0.7833471894264221,2.263331337461121
4,3.5289712845264374,3.5289712845264374,3.5289712765331673,4.941042372707947,4.941042372707947,4.941042365383259,1.170056939125061,4.941042423248291,2.222845568915729,172423437.5,0.9294881224632263,1.170056939125061,4.941042423248291,2.222845568915729,11.818484961986542,0.8302061557769775,2.222845568915729
5,3.4546568535973856,3.4546568535973856,3.4546568566147315,4.960045123063657,4.960045123063657,4.960045065198626,1.2013570070266724,4.960044860839844,2.2271158166650973,193122512.5,0.9292169809341431,1.2013570070266724,4.960044860839844,2.2271158166650973,13.196872174739838,0.8295531868934631,2.222845568915729
6,3.2845770095244364,3.2845770095244364,3.2845770183550695,4.243387951096448,4.243387951096448,4.243387939376948,1.077636480331421,4.2433881759643555,2.0599485857575077,141389187.5,0.9394441246986389,1.077636480331421,4.2433881759643555,2.0599485857575077,11.106187105178833,0.8541803359985352,2.0599485857575077
7,3.1263715011930397,3.1263715011930397,3.126371513830127,4.201730824102821,4.201730824102821,4.201730888560071,1.0921516418457031,4.201731204986572,2.0498124804446314,133127712.5,0.9400385618209839,1.0921516418457031,4.201731204986572,2.0498124804446314,11.243843287229538,0.8556118607521057,2.0498124804446314
8,3.178883118604136,3.178883118604136,3.1788831398987067,4.2547451611121865,4.2547451611121865,4.254745196270687,1.0899336338043213,4.254745006561279,2.0627033249018822,121912550.0,0.9392820596694946,1.0899336338043213,4.2547454833984375,2.062703440487371,11.67440190911293,0.8537900447845459,2.0498124804446314
9,3.068941444596396,3.068941444596396,3.0689414730099727,5.648979458025157,5.648979458025157,5.64897959133447,1.2766735553741455,5.648979187011719,2.3767581254750594,108910787.5,0.9193854331970215,1.2766735553741455,5.648979187011719,2.3767581254750594,12.906831502914429,0.8058786392211914,2.0498124804446314
10,2.994170105042598,2.994170105042598,2.9941701195758164,6.7165050411370855,6.7165050411370855,6.716504865344585,1.4264806509017944,6.71650505065918,2.5916220887041344,150490387.5,0.9041511416435242,1.4264806509017944,6.7165045738220215,2.5916219967082434,15.621072053909302,0.7691943049430847,2.0498124804446314
