round,selected_clients,avg_local_train_loss,avg_local_val_loss,avg_local_train_task_loss,avg_local_train_rc_loss,avg_local_train_weighted_rc_loss,avg_local_train_total_loss,avg_local_train_rc_to_task_ratio,round_rc_to_task_ratio,global_rc_norm,avg_client_rc_rg_l2_norm,min_client_rc_rg_l2_norm,max_client_rc_rg_l2_norm,avg_personalized_head_ratio,avg_num_personalized_head_params,avg_num_head_params,avg_head_importance_mean,head_personalization_enabled_this_round,head_personalization_warmup_rounds,head_mask_update_interval,head_mask_updated_this_round,head_param_prefixes,head_personalization_tau,regional_val_loss,regional_val_MAE,regional_val_MSE,regional_val_RMSE,regional_val_MAPE_percent,regional_val_R2,avg_client_val_MAE,avg_client_val_MSE,avg_client_val_RMSE,avg_client_val_R2,regional_val_samples,head_mask_jaccard_mean,head_mask_hamming_change_rate_mean,head_selected_importance_mean_avg,head_unselected_importance_mean_avg,head_importance_gap_mean_ratio_avg,head_importance_gap_boundary_ratio_avg,head_importance_selected_share_avg
1,9,0.004114646563133605,0.0015285902219400144,0.004114646563133605,0.0,0.0,0.004114646563133605,0.0,0.0,1.1822160482406616,0.30078532298405963,0.16055776178836823,0.7570757269859314,0.0,0.0,336.0,0.0,False,5,1,False,fc1,0.1,0.002373273376357495,10.365950584411621,212.6492462158203,14.582497941567498,12.155523151159286,0.7568762302398682,1.5100442038642035,4.65650921397739,2.118017707404479,0.641070564587911,5211,,,,,,,
2,9,0.001535819878397265,0.0010607170571699713,0.001535819878397265,0.00012961794496140226,0.00012961794496140226,0.0016654378233737549,0.08486129619895984,0.08439657976837169,1.1815321445465088,0.02062674094405439,0.009669755585491657,0.05078365281224251,0.0,0.0,336.0,0.0,False,5,1,False,fc1,0.1,0.0010328110675752343,5.0793633460998535,49.973915100097656,7.069223090276445,6.68046772480011,0.9428643584251404,1.0579581525590684,2.082787209086948,1.4111531150534191,0.8437317543559604,5211,,,,,,,
3,9,0.0012611433622784622,0.0009906649300038027,0.0012611433622784622,8.661173101628218e-05,8.661173101628218e-05,0.0013477550921025263,0.0683947212134385,0.06867714927439077,1.1784437894821167,0.023196982840696972,0.009061379358172417,0.04763650894165039,0.0,0.0,336.0,0.0,False,5,1,False,fc1,0.1,0.0008939555722662457,4.215676784515381,34.70195388793945,5.890836433643312,5.448879301548004,0.9603249430656433,0.9727434184816148,1.7715455955929227,1.3076851182840477,0.8634718391630385,5211,,,,,,,
4,9,0.0011729185560970955,0.000851249677695908,0.0011729185560970955,7.172383899430676e-05,7.172383899430676e-05,0.0012446423961982778,0.06142515841398356,0.06114988850702392,1.1789190769195557,0.015057097603049543,0.008872892707586288,0.03242509812116623,0.0,0.0,336.0,0.0,False,5,1,False,fc1,0.1,0.0008516941926832476,3.995292901992798,31.002490997314453,5.567988056498905,5.180540308356285,0.9645545482635498,0.9539958768420749,1.6833204825719197,1.2758646827817781,0.8693740566571554,5211,,,,,,,
5,9,0.0011112918454013953,0.0008784675738842026,0.0011112918454013953,6.278932026322287e-05,6.278932026322287e-05,0.0011740811652677678,0.05549827090489287,0.05650119765257735,1.1761077642440796,0.015042494516819715,0.007485580164939165,0.02463291957974434,0.0,0.0,336.0,0.0,False,5,1,False,fc1,0.1,0.0008624118537283008,4.134885311126709,32.91512680053711,5.7371706267582026,5.270132049918175,0.962367832660675,0.9495099915398492,1.691545353995429,1.280469457798295,0.8672994375228882,5211,,,,,,,
6,9,0.0010790992094171722,0.0008489972288131885,0.0010790992094171722,5.6118992908847495e-05,5.6118992908847495e-05,0.0011352182021944705,0.05238707333233106,0.05200540633066749,1.1754791736602783,0.014187201236685118,0.00870460458099842,0.02052241563796997,0.10119047619047618,34.0,336.0,2.534602382790278e-07,True,5,1,True,fc1,0.1,0.0008239001377590037,4.427426815032959,33.83487319946289,5.816775154625017,5.951284244656563,0.9613162875175476,0.9618367221620348,1.6253740787506104,1.2543991544163988,0.8736107548077902,5211,,,2.0452353532070497e-06,5.1737202973705666e-08,46.65385154111171,1.0370427290550548,0.8113876069890188
7,9,0.0009954163781661785,0.0007849143238816183,0.0009954163781661785,3.9385100313858447e-05,3.9385100313858447e-05,0.0010348014786264056,0.04052594306435053,0.03956645795486087,1.174578070640564,0.015501011835618151,0.005609902087599039,0.023691564798355103,0.10119047619047618,34.0,336.0,2.3582068564564906e-07,True,5,1,True,fc1,0.1,0.000776011217039504,3.826198101043701,26.9704532623291,5.193308508294987,5.068909376859665,0.9691644310951233,0.9192165732383728,1.5254298912154303,1.2157852225637686,0.881491071648068,5211,0.6047723753918728,0.050925927236676216,1.9515556044557257e-06,4.265847831610399e-08,61.68594144523058,1.0191525458467812,0.8328711565622888
8,9,0.0009994020128436208,0.0007773300182215618,0.0009994020128436208,4.025586914132216e-05,4.025586914132216e-05,0.001039657881585659,0.04084544283584436,0.04027995599738816,1.1766135692596436,0.018161840012503996,0.008124577812850475,0.03143126890063286,0.10119047619047618,34.0,336.0,2.1149599799880687e-07,True,5,1,True,fc1,0.1,0.0007562044415974467,3.671515464782715,25.32549476623535,5.032444213921835,4.800514504313469,0.9710451364517212,0.9016366468535529,1.4855766892433167,1.1998197092795193,0.8836101293563843,5211,0.6197418589660075,0.0482804241279761,1.7265913482213046e-06,4.0922345241686606e-08,60.666785399128145,1.0386430358470833,0.8271414715155234
9,9,0.0009675652764753154,0.0008194362465273847,0.0009675652764753154,3.2638450597126494e-05,3.2638450597126494e-05,0.0010002037268984467,0.034575231004595475,0.03373255671419975,1.1781309843063354,0.014582724000016848,0.0060142409056425095,0.035855576395988464,0.10119047619047618,34.0,336.0,1.733039706803336e-07,True,5,1,True,fc1,0.1,0.0007821627578367223,3.9485597610473633,27.415616989135742,5.235992455030445,5.313468351960182,0.9686554670333862,0.9272129336992899,1.5177113281355963,1.214799069960061,0.8790139423476325,5211,0.5413959773919983,0.06216931405166785,1.3653776170513663e-06,3.9097001599430354e-08,43.66289414606744,1.0450742829983595,0.8006241491351399
10,9,0.0009505301085550931,0.0007725631940673406,0.0009505301085550931,3.212461000191556e-05,3.212461000191556e-05,0.0009826547187440947,0.03494488753203781,0.03379652015121527,1.1776314973831177,0.012676562182605267,0.004533648956567049,0.025102155283093452,0.10119047619047618,34.0,336.0,1.7241285692964286e-07,True,5,1,True,fc1,0.1,0.0007491887662491963,3.544761896133423,23.648962020874023,4.863019845823583,4.623037576675415,0.9729619026184082,0.8952076898680793,1.462973952293396,1.1914986495024409,0.8842284149593778,5211,0.5504301786354724,0.0595238111499283,1.4035797220253254e-06,3.380466228364556e-08,55.939500751496126,1.0279500089494797,0.8315968387786994
