round,client_id,client_name,tau,head_prefixes,num_head_params,num_selected_params,selected_ratio,mask_jaccard_with_prev_round,mask_hamming_change_rate,selected_importance_mean,unselected_importance_mean,selected_importance_median,unselected_importance_median,selected_importance_min,selected_importance_max,unselected_importance_min,unselected_importance_max,importance_threshold,importance_gap_mean_ratio,importance_gap_median_ratio,importance_gap_boundary_ratio,importance_selected_total,importance_unselected_total,importance_selected_share,importance_top10_mean,importance_bottom10_mean
6,1,client_1,0.1,fc1,336,34,0.10119047619047619,,,4.929614543497712e-06,8.899980269827346e-08,2.8807389753637835e-06,0.0,7.201430776149209e-07,2.585902802820783e-05,0.0,7.022973136372457e-07,7.201430776149209e-07,55.38842790227264,2880738.9753637835,1.0254090941572336,0.0001676069077802822,2.6877940399572253e-05,0.8617993046095007,4.92961453346652e-06,0.0
6,2,client_2,0.1,fc1,336,34,0.10119047619047619,,,1.1778826355586769e-06,2.3489491312361955e-08,6.078834928757715e-07,0.0,2.328214492308689e-07,5.784665063401917e-06,0.0,2.2894356277447514e-07,2.328214492308689e-07,50.1429544361557,607883.4928757715,1.0169337345661829,4.004800575785339e-05,7.093826297932537e-06,0.8495216066473706,1.177882609226799e-06,0.0
6,3,client_3,0.1,fc1,336,34,0.10119047619047619,,,1.6113859243539671e-06,9.678450490976815e-08,1.2039008652209304e-06,0.0,8.856649742483569e-07,4.675780928664608e-06,0.0,8.727026852284325e-07,8.856649742483569e-07,16.649041877254668,1203900.8652209304,1.0148518784087999,5.4787124099675566e-05,2.9228918720036745e-05,0.6521031175574243,1.6113858691824134e-06,0.0
6,4,client_4,0.1,fc1,336,34,0.10119047619047619,,,1.4439103825271986e-06,1.697551355776221e-08,5.578554862495366e-07,0.0,2.218833401457232e-07,1.3439265785564203e-05,0.0,2.030307371114759e-07,2.218833401457232e-07,85.05341085578765,557855.4862495366,1.0928505232849222,4.9092952394858e-05,5.1266051741549745e-06,0.9054472904343253,1.4439103779295692e-06,0.0
6,5,client_5,0.1,fc1,336,34,0.10119047619047619,,,3.2492543432320362e-06,6.319215354648231e-08,1.1832806876554969e-06,0.0,4.580471681947529e-07,5.4369560530176386e-05,0.0,4.524512746684195e-07,4.580471681947529e-07,51.41782235700608,1183280.6876554969,1.0123657097987486,0.00011047464795410633,1.9084029190707952e-05,0.8526997151871466,3.2492546324647265e-06,0.0
6,6,client_6,0.1,fc1,336,34,0.10119047619047619,,,2.21038514864096e-06,9.343022316633882e-08,1.2557645163724374e-06,0.0,7.629660672137106e-07,1.811343099689111e-05,0.0,7.282452543222462e-07,7.629660672137106e-07,23.65788516656509,1255764.5163724374,1.0476759237488655,7.51531042624265e-05,2.8215927159180865e-05,0.7270369326463498,2.210385218859301e-06,0.0
6,7,client_7,0.1,fc1,336,34,0.10119047619047619,,,5.454176818422157e-07,1.8445131438416176e-08,2.9553694957940024e-07,0.0,1.6003887992610544e-07,3.0671917556901462e-06,0.0,1.5774188000250433e-07,1.6003887992610544e-07,29.568133766320294,295536.94957940024,1.014555331584948,1.8544200429460034e-05,5.570429948420497e-06,0.7690020278091396,5.454176630337315e-07,0.0
6,8,client_8,0.1,fc1,336,34,0.10119047619047619,,,1.2812938286836417e-06,3.7946027706224896e-08,9.236507025889296e-07,0.0,3.459684307927091e-07,4.4075904952478595e-06,0.0,3.323492023810104e-07,3.459684307927091e-07,33.76532777752857,923650.7025889296,1.0409755381947583,4.356398858362809e-05,1.1459700544946827e-05,0.7917314975028261,1.2812937484341091e-06,0.0
6,9,client_9,0.1,fc1,336,34,0.10119047619047619,,,1.9579736905270423e-06,2.6371978427723034e-08,8.389989147872257e-07,0.0,2.2208833172498998e-07,1.8230732166557573e-05,0.0,2.079922865050321e-07,2.2208833172498998e-07,74.24165973111472,838998.9147872257,1.0677668277510335,6.657110498053953e-05,7.964336873556022e-06,0.8931469705070868,1.957973609023611e-06,0.0
7,1,client_1,0.1,fc1,336,34,0.10119047619047619,0.7435897435897436,0.02976190485060215,5.899393593555193e-06,1.4429707778708933e-07,3.493217036520946e-06,0.0,1.0863682291528676e-06,2.553318154241424e-05,0.0,1.0749259899967e-06,1.0863682291528676e-06,40.88338309162858,3493217.036520946,1.0106437360515086,0.0002005793940043077,4.357771831564605e-05,0.8215177156909618,5.899393727304414e-06,0.0
7,2,client_2,0.1,fc1,336,34,0.10119047619047619,0.5454545454545454,0.0595238097012043,7.941200508679793e-07,8.13162044823595e-09,3.6936823732958146e-07,0.0,1.3069892190742394e-07,6.38927667750977e-06,0.0,1.3022642519899819e-07,1.3069892190742394e-07,97.64626984900448,369368.23732958146,1.003620563853622,2.7000083719030954e-05,2.455749381624628e-06,0.9166294061396153,7.941200124150782e-07,0.0
7,3,client_3,0.1,fc1,336,34,0.10119047619047619,0.4166666666666667,0.0833333358168602,1.17950093300244e-06,4.918996477465171e-08,8.282311512175511e-07,0.0,4.458216835701023e-07,8.084654837148264e-06,0.0,4.4178383973303426e-07,4.458216835701023e-07,23.97799958601831,828231.1512175511,1.0091375789162604,4.010303018731065e-05,1.485536813561339e-05,0.7296979293678778,1.1795009413617663e-06,0.0
7,4,client_4,0.1,fc1,336,34,0.10119047619047619,0.6585365853658537,0.0416666679084301,1.90970206236831e-06,1.2569633726823447e-08,6.141222286260017e-07,0.0,2.1453435294915835e-07,8.974900083558168e-06,0.0,2.054591590194832e-07,2.1453435294915835e-07,151.91772378932282,614122.2286260017,1.0441652239197121,6.492987449746579e-05,3.7960294321237598e-06,0.9447656537078292,1.909702177727013e-06,0.0
7,5,client_5,0.1,fc1,336,34,0.10119047619047619,0.7,0.0357142873108387,2.325527064198575e-06,7.221448244767015e-08,1.134623175857996e-06,0.0,5.37934283784125e-07,1.8201390048488975e-05,0.0,5.300118459672376e-07,5.37934283784125e-07,32.20261065047558,1134623.175857996,1.0149457468383267,7.906791870482266e-05,2.1808773453813046e-05,0.783807599447008,2.3255270207300782e-06,0.0
7,6,client_6,0.1,fc1,336,34,0.10119047619047619,0.4782608695652174,0.0714285746216774,8.617083354318524e-07,2.7096700288224402e-08,5.582110702562204e-07,0.0,2.8034548904543044e-07,3.359113861733931e-06,0.0,2.7216955800213327e-07,2.8034548904543044e-07,31.80005411035995,558211.0702562204,1.0300360593860896,2.929808215412777e-05,8.18320313555887e-06,0.7816722704681945,8.617083153694693e-07,0.0
7,7,client_7,0.1,fc1,336,34,0.10119047619047619,0.5813953488372093,0.0535714291036129,9.820357270902657e-07,2.6432900318107237e-08,4.531625421577701e-07,0.0,2.1912056524797663e-07,6.538627076224657e-06,0.0,2.147543511910044e-07,2.1912056524797663e-07,37.15061777764103,453162.5421577701,1.020326450692676,3.3389213058399037e-05,7.982735951372888e-06,0.807049535990269,9.820357718126616e-07,0.0
7,8,client_8,0.1,fc1,336,34,0.10119047619047619,0.7,0.0357142873108387,4.826736343943594e-07,1.4657341429583287e-08,3.4065766385538154e-07,0.0,1.3802112164285063e-07,1.9948229237343185e-06,0.0,1.373027913587066e-07,1.3802112164285063e-07,32.928257041429895,340657.66385538154,1.0052244025969392,1.641090420889668e-05,4.426517079991754e-06,0.7875688259985884,4.826736699214962e-07,0.0
7,9,client_9,0.1,fc1,336,34,0.10119047619047619,0.6190476190476191,0.0476190485060215,3.1293390391925536e-06,2.9336583624550412e-08,9.86444888440019e-07,0.0,2.4495156480952573e-07,2.9851307772332802e-05,0.0,2.3683350036662887e-07,2.4495156480952573e-07,106.66655711119458,986444.888440019,1.0342731503658942,0.00010639752144925296,8.859648005454801e-06,0.9231314722502549,3.129338892904343e-06,0.0
8,1,client_1,0.1,fc1,336,34,0.10119047619047619,0.7435897435897436,0.02976190485060215,3.2233099218234096e-06,9.837709092150508e-08,2.2206660332813044e-06,0.0,7.413946150336415e-07,1.5885583707131445e-05,0.0,7.183253956100089e-07,7.413946150336415e-07,32.76450977682884,2220666.0332813044,1.0321138406782935,0.00010959253268083557,2.9709881346207112e-05,0.7867238529896302,3.2233097044809256e-06,0.0
8,2,client_2,0.1,fc1,336,34,0.10119047619047619,0.7,0.0357142873108387,5.568821321463367e-07,5.922335494340708e-09,3.0411700890908833e-07,0.0,9.93818218830711e-08,4.6666186790389474e-06,0.0,9.563091651898503e-08,9.93818218830711e-08,94.01495705897375,304117.0089090883,1.0392118604393088,1.8933991668745875e-05,1.7885453189592226e-06,0.913690768957915,5.568821279666736e-07,0.0
8,3,client_3,0.1,fc1,336,34,0.10119047619047619,0.5813953488372093,0.0535714291036129,1.3517127098673562e-06,7.457301175289224e-08,1.0304551665285544e-06,0.0,5.970367169538804e-07,3.4443555705365725e-06,0.0,5.864882837158802e-07,5.970367169538804e-07,18.125787765668004,1030455.1665285544,1.017984016981817,4.5958229748066515e-05,2.252105150546413e-05,0.6711260433179702,1.3517127399609308e-06,0.0
