round,client_id,client_name,tau,layer_name,num_layer_params,num_selected_params,selected_ratio,mask_jaccard_with_prev_round_layer,mask_hamming_change_rate_layer,selected_importance_mean,unselected_importance_mean,selected_importance_median,unselected_importance_median,selected_importance_min,selected_importance_max,unselected_importance_min,unselected_importance_max,importance_gap_mean_ratio,importance_gap_boundary_ratio,importance_selected_share
6,1,client_1,0.1,fc1,336,34,0.10119047619047619,,,4.929614543497712e-06,8.899980269827346e-08,2.8807389753637835e-06,0.0,7.201430776149209e-07,2.585902802820783e-05,0.0,7.022973136372457e-07,55.38842790227264,1.0254090941572336,0.8617993046095007
6,2,client_2,0.1,fc1,336,34,0.10119047619047619,,,1.1778826355586769e-06,2.3489491312361955e-08,6.078834928757715e-07,0.0,2.328214492308689e-07,5.784665063401917e-06,0.0,2.2894356277447514e-07,50.1429544361557,1.0169337345661829,0.8495216066473706
6,3,client_3,0.1,fc1,336,34,0.10119047619047619,,,1.6113859243539671e-06,9.678450490976815e-08,1.2039008652209304e-06,0.0,8.856649742483569e-07,4.675780928664608e-06,0.0,8.727026852284325e-07,16.649041877254668,1.0148518784087999,0.6521031175574243
6,4,client_4,0.1,fc1,336,34,0.10119047619047619,,,1.4439103825271986e-06,1.697551355776221e-08,5.578554862495366e-07,0.0,2.218833401457232e-07,1.3439265785564203e-05,0.0,2.030307371114759e-07,85.05341085578765,1.0928505232849222,0.9054472904343253
6,5,client_5,0.1,fc1,336,34,0.10119047619047619,,,3.2492543432320362e-06,6.319215354648231e-08,1.1832806876554969e-06,0.0,4.580471681947529e-07,5.4369560530176386e-05,0.0,4.524512746684195e-07,51.41782235700608,1.0123657097987486,0.8526997151871466
6,6,client_6,0.1,fc1,336,34,0.10119047619047619,,,2.21038514864096e-06,9.343022316633882e-08,1.2557645163724374e-06,0.0,7.629660672137106e-07,1.811343099689111e-05,0.0,7.282452543222462e-07,23.65788516656509,1.0476759237488655,0.7270369326463498
6,7,client_7,0.1,fc1,336,34,0.10119047619047619,,,5.454176818422157e-07,1.8445131438416176e-08,2.9553694957940024e-07,0.0,1.6003887992610544e-07,3.0671917556901462e-06,0.0,1.5774188000250433e-07,29.568133766320294,1.014555331584948,0.7690020278091396
6,8,client_8,0.1,fc1,336,34,0.10119047619047619,,,1.2812938286836417e-06,3.7946027706224896e-08,9.236507025889296e-07,0.0,3.459684307927091e-07,4.4075904952478595e-06,0.0,3.323492023810104e-07,33.76532777752857,1.0409755381947583,0.7917314975028261
6,9,client_9,0.1,fc1,336,34,0.10119047619047619,,,1.9579736905270423e-06,2.6371978427723034e-08,8.389989147872257e-07,0.0,2.2208833172498998e-07,1.8230732166557573e-05,0.0,2.079922865050321e-07,74.24165973111472,1.0677668277510335,0.8931469705070868
7,1,client_1,0.1,fc1,336,34,0.10119047619047619,0.7435897435897436,0.02976190485060215,5.899393593555193e-06,1.4429707778708933e-07,3.493217036520946e-06,0.0,1.0863682291528676e-06,2.553318154241424e-05,0.0,1.0749259899967e-06,40.88338309162858,1.0106437360515086,0.8215177156909618
7,2,client_2,0.1,fc1,336,34,0.10119047619047619,0.5454545454545454,0.0595238097012043,7.941200508679793e-07,8.13162044823595e-09,3.6936823732958146e-07,0.0,1.3069892190742394e-07,6.38927667750977e-06,0.0,1.3022642519899819e-07,97.64626984900448,1.003620563853622,0.9166294061396153
7,3,client_3,0.1,fc1,336,34,0.10119047619047619,0.4166666666666667,0.0833333358168602,1.17950093300244e-06,4.918996477465171e-08,8.282311512175511e-07,0.0,4.458216835701023e-07,8.084654837148264e-06,0.0,4.4178383973303426e-07,23.97799958601831,1.0091375789162604,0.7296979293678778
7,4,client_4,0.1,fc1,336,34,0.10119047619047619,0.6585365853658537,0.0416666679084301,1.90970206236831e-06,1.2569633726823447e-08,6.141222286260017e-07,0.0,2.1453435294915835e-07,8.974900083558168e-06,0.0,2.054591590194832e-07,151.91772378932282,1.0441652239197121,0.9447656537078292
7,5,client_5,0.1,fc1,336,34,0.10119047619047619,0.7,0.0357142873108387,2.325527064198575e-06,7.221448244767015e-08,1.134623175857996e-06,0.0,5.37934283784125e-07,1.8201390048488975e-05,0.0,5.300118459672376e-07,32.20261065047558,1.0149457468383267,0.783807599447008
7,6,client_6,0.1,fc1,336,34,0.10119047619047619,0.4782608695652174,0.0714285746216774,8.617083354318524e-07,2.7096700288224402e-08,5.582110702562204e-07,0.0,2.8034548904543044e-07,3.359113861733931e-06,0.0,2.7216955800213327e-07,31.80005411035995,1.0300360593860896,0.7816722704681945
7,7,client_7,0.1,fc1,336,34,0.10119047619047619,0.5813953488372093,0.0535714291036129,9.820357270902657e-07,2.6432900318107237e-08,4.531625421577701e-07,0.0,2.1912056524797663e-07,6.538627076224657e-06,0.0,2.147543511910044e-07,37.15061777764103,1.020326450692676,0.807049535990269
7,8,client_8,0.1,fc1,336,34,0.10119047619047619,0.7,0.0357142873108387,4.826736343943594e-07,1.4657341429583287e-08,3.4065766385538154e-07,0.0,1.3802112164285063e-07,1.9948229237343185e-06,0.0,1.373027913587066e-07,32.928257041429895,1.0052244025969392,0.7875688259985884
7,9,client_9,0.1,fc1,336,34,0.10119047619047619,0.6190476190476191,0.0476190485060215,3.1293390391925536e-06,2.9336583624550412e-08,9.86444888440019e-07,0.0,2.4495156480952573e-07,2.9851307772332802e-05,0.0,2.3683350036662887e-07,106.66655711119458,1.0342731503658942,0.9231314722502549
8,1,client_1,0.1,fc1,336,34,0.10119047619047619,0.7435897435897436,0.02976190485060215,3.2233099218234096e-06,9.837709092150508e-08,2.2206660332813044e-06,0.0,7.413946150336415e-07,1.5885583707131445e-05,0.0,7.183253956100089e-07,32.76450977682884,1.0321138406782935,0.7867238529896302
8,2,client_2,0.1,fc1,336,34,0.10119047619047619,0.7,0.0357142873108387,5.568821321463367e-07,5.922335494340708e-09,3.0411700890908833e-07,0.0,9.93818218830711e-08,4.6666186790389474e-06,0.0,9.563091651898503e-08,94.01495705897375,1.0392118604393088,0.913690768957915
8,3,client_3,0.1,fc1,336,34,0.10119047619047619,0.5813953488372093,0.0535714291036129,1.3517127098673562e-06,7.457301175289224e-08,1.0304551665285544e-06,0.0,5.970367169538804e-07,3.4443555705365725e-06,0.0,5.864882837158802e-07,18.125787765668004,1.017984016981817,0.6711260433179702
8,4,client_4,0.1,fc1,336,34,0.10119047619047619,0.6585365853658537,0.0416666679084301,1.203856670716665e-06,7.08304564975258e-09,5.505557965079788e-07,0.0,1.1847768632833322e-07,6.928448783583008e-06,0.0,1.11944899572336e-07,169.93914639140013,1.0583477088571394,0.9503350241190583
8,5,client_5,0.1,fc1,336,34,0.10119047619047619,0.7435897435897436,0.02976190485060215,4.916134153464715e-06,7.653811584153416e-08,2.597204797893937e-06,0.0,5.823856668030203e-07,4.2069616029039025e-05,0.0,5.415991495283379e-07,64.2303494025595,1.0753055871757073,0.8785128950402945
8,6,client_6,0.1,fc1,336,34,0.10119047619047619,0.4782608695652174,0.0714285746216774,8.827322809967132e-07,3.540277227004929e-08,6.130585177288594e-07,0.0,3.246953497182403e-07,5.921507636230672e-06,0.0,3.14108604015928e-07,24.933283218056477,1.0337008024172847,0.737335438656323
8,7,client_7,0.1,fc1,336,34,0.10119047619047619,0.5454545454545454,0.0595238097012043,8.898316516044414e-07,1.7638396489390748e-08,4.798424129148771e-07,0.0,2.0231966857409134e-07,3.924752036255086e-06,0.0,1.9259859129761026e-07,50.44569705883262,1.0504677980414887,0.8502912900136983
8,8,client_8,0.1,fc1,336,34,0.10119047619047619,0.5813953488372093,0.0535714291036129,1.7724504066804644e-06,3.028162584470486e-08,8.440530336883967e-07,0.0,3.4743965215966455e-07,8.32363912195433e-06,0.0,3.439951399286656e-07,58.53027461257592,1.0100103223010382,0.8682427941562356
8,9,client_9,0.1,fc1,336,34,0.10119047619047619,0.5454545454545454,0.0595238097012043,7.424122066916371e-07,2.2484712911009753e-08,4.89047749852034e-07,0.0,1.7791694517654832e-07,2.315086476301076e-06,0.0,1.7262573237530887e-07,33.01706330725798,1.030645385731672,0.788015136388587
9,1,client_1,0.1,fc1,336,34,0.10119047619047619,0.7894736842105263,0.02380952425301075,2.0360297144982134e-06,8.389565909130156e-08,1.3770821851721848e-06,0.0,6.31132650141808e-07,8.817870366328862e-06,0.0,6.087640258556348e-07,24.268305038016823,1.0367426237319315,0.73206336949179
9,2,client_2,0.1,fc1,336,34,0.10119047619047619,0.6585365853658537,0.0416666679084301,6.146823454939215e-07,1.05317537402369e-08,3.9047706934525195e-07,0.0,1.1649287046111567e-07,2.3762472665112e-06,0.0,1.0578154530094253e-07,58.35913006735656,1.1012485106092236,0.8679145270247964
9,3,client_3,0.1,fc1,336,34,0.10119047619047619,0.5111111111111111,0.065476194024086,1.3145067286172087e-06,5.426353746545603e-08,8.515094123140443e-07,0.0,4.585659212352766e-07,1.0648142961144913e-05,0.0,4.554644306153932e-07,24.224047416860476,1.006807301743393,0.7317064654419322
