epoch,train_loss,val_loss,val_r2
1,0.025545703719842987,0.0029293069758223175,0.7389070987701416
2,0.0027908270295184216,0.0018640615329433413,0.8338538408279419
3,0.00199079180372827,0.0015162847456462415,0.8648515939712524
4,0.00163730721686596,0.001473494824809327,0.8686655163764954
5,0.0014041820981830575,0.0010210109799073566,0.9089959859848022
6,0.0012779551239348822,0.0013107771541688443,0.8831687569618225
7,0.0012178085054776067,0.0009876873193251877,0.9119661450386047
8,0.001143396924685548,0.0010470619758584264,0.9066740274429321
9,0.001133744223138731,0.0010930980041260667,0.9025707840919495
10,0.001115186815960665,0.001071223336077313,0.9045205116271973
11,0.0011119984574134813,0.0010965510485375686,0.9022629857063293
12,0.0010770942399515994,0.0009421111588227641,0.9160284399986267
13,0.0010605940593390955,0.0009272041772426103,0.9173570871353149
14,0.001066039326380427,0.000830020774094196,0.9260191917419434
15,0.001060713528076105,0.000815240709912039,0.927336573600769
16,0.0010489427042025832,0.0009344388180738699,0.9167122840881348
17,0.0010482247359409082,0.0008017868819722315,0.9285356998443604
18,0.0010284178565439733,0.0009169019678276232,0.9182753562927246
19,0.0010441097764309756,0.000823812440843408,0.9265725612640381
20,0.0010369319359884181,0.0008000329377252457,0.9286920428276062
