epoch,train_loss,train_loss_next,train_weighted_loss_next,train_loss_ste,train_loss_seq,train_loss_weighted_seq,train_loss_fourier,train_weighted_loss_ste,train_loss_trend_smooth,train_weighted_loss_trend_smooth,train_loss_ae_y,train_weighted_loss_ae_y,train_loss_ae_resid,train_weighted_loss_ae_resid,train_loss_ru_mean,train_weighted_loss_ru_mean,train_loss_rw_ae,train_weighted_loss_rw_ae,val_loss,val_loss_next,val_weighted_loss_next,val_loss_ste,val_loss_seq,val_loss_weighted_seq,val_loss_fourier,val_weighted_loss_ste,val_loss_trend_smooth,val_weighted_loss_trend_smooth,val_loss_ae_y,val_weighted_loss_ae_y,val_loss_ae_resid,val_weighted_loss_ae_resid,val_loss_ru_mean,val_weighted_loss_ru_mean,val_loss_rw_ae,val_weighted_loss_rw_ae,val_MAE,val_MSE,val_RMSE,val_MAPE_percent,val_R2,best_val_RMSE,val_share_S_abs,val_share_S_dyn_abs,val_share_S_energy,val_share_Rw_abs,val_share_Rw_dyn_abs,val_share_Rw_energy,val_share_Ru_abs,val_share_Ru_dyn_abs,val_share_Ru_energy
1,25.489412171013466,4.087524413738909,4.087524413738909,21.401887781180566,4.079148323430269,4.079148323430269,177.30654094801503,21.401887781180566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.019013993751068,2.0581864569044335,2.0581864569044335,10.960827456824424,2.100892702005975,2.100892702005975,90.70023934266167,10.960827456824424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.312323937731726,5464.550377168985,73.92259720254006,2995.4656090856442,-144.1178425109828,73.92259720254006,0.9787030083052886,0.9802462780490988,0.9993780793954078,0.021296991694695403,0.01975372195088461,0.0006219206045920346,0.0,0.0,0.0
2,5.943939780585496,0.9403446015522012,0.9403446015522012,5.003595170865278,0.9645691372706617,0.9645691372706617,41.35482924147515,5.003595170865278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7987541400708728,0.1348189146654214,0.1348189146654214,0.6639352261379201,0.13754171879243923,0.13754171879243923,5.401476669604511,0.6639352261379201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.112782088831944,357.9484912831623,18.919526719322615,667.8626313552704,-8.505761535679135,18.919526719322615,0.9175171801083111,0.8790577391146032,0.9864331084025786,0.08248281989164619,0.12094226088533919,0.013566891597419849,0.0,0.0,0.0
3,0.0835408572273751,0.015267166984742652,0.015267166984742652,0.06827369062654216,0.016084474120286095,0.016084474120286095,0.5379766396029726,0.06827369062654216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003524591955291923,0.0013128715335175441,0.0013128715335175441,0.0022117204180190455,0.0007853979090501922,0.0007853979090501922,0.015048623102189209,0.0022117204180190455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.340676990996444,3.4857155813928267,1.8670071187311597,80.58077413237689,0.9074325443330065,1.8670071187311597,0.9286439534726554,0.6952466021223593,0.9847611102589615,0.07135604652729113,0.3047533978774458,0.015238889741035396,0.0,0.0,0.0
4,0.003821092961316748,0.0012979021466845504,0.0012979021466845504,0.0025231908114208457,0.0010330817718087763,0.0010330817718087763,0.015934172233089284,0.0025231908114208457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002649976480280131,0.001081732486570669,0.001081732486570669,0.0015682440022930801,0.0006172494830838341,0.0006172494830838341,0.010127194796598727,0.0015682440022930801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.231504811972451,2.8720340479827873,1.6947076585602565,80.25465732476597,0.9237296106917273,1.6947076585602565,0.9348532011783304,0.7326305131813287,0.9868777236829365,0.06514679882161478,0.26736948681847583,0.013122276317060269,0.0,0.0,0.0
5,0.00313869612460325,0.0011798038951123244,0.0011798038951123244,0.0019588922326842593,0.0008152024404287902,0.0008152024404287902,0.012252100384591154,0.0019588922326842593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003027094362129081,0.0015874803883485645,0.0015874803883485645,0.0014396139757475957,0.0005501754369662529,0.0005501754369662529,0.009444560827015,0.0014396139757475957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5579047793971539,4.214810795494197,2.053000437285437,110.13963494674677,0.88807052602359,1.6947076585602565,0.9402463641368183,0.762411385057916,0.9890251500255344,0.059753635863127035,0.23758861494188716,0.010974849974462447,0.0,0.0,0.0
6,0.0028132924786024296,0.0011420810431019609,0.0011420810431019609,0.0016712114376293582,0.0006839502408374293,0.0006839502408374293,0.010556562233076784,0.0016712114376293582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002127672604803059,0.0009662841552919987,0.0009662841552919987,0.0011613884552334722,0.0004484025928150353,0.0004484025928150353,0.007578261193752106,0.0011613884552334722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1549797575607161,2.5655150822428037,1.6017225359726959,77.40427327674078,0.9318695980514795,1.6017225359726959,0.9419864228756631,0.7834248915451733,0.9886163447496621,0.05801357712428051,0.2165751084546276,0.011383655250334626,0.0,0.0,0.0
7,0.0025514645937750463,0.0011072748041768008,0.0011072748041768008,0.0014441897906626905,0.0005821104465257125,0.0005821104465257125,0.00920290387167657,0.0014441897906626905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020005262867059735,0.0009905228573870424,0.0009905228573870424,0.0010100034350413434,0.0003900345363554054,0.0003900345363554054,0.0065897235592481,0.0010100034350413434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1801280271663275,2.6298696174945624,1.621687274875943,79.00091754527588,0.9301605843784515,1.6017225359726959,0.9473171581197382,0.8055871554719599,0.9903702374068365,0.05268284188020529,0.19441284452783875,0.00962976259316033,0.0,0.0,0.0
8,0.0023574573429820784,0.001078177134335073,0.001078177134335073,0.0012792802015507076,0.0005081605052297083,0.0005081605052297083,0.008219357444107853,0.0012792802015507076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018535736324508801,0.0009495211814704727,0.0009495211814704727,0.0009040524528580739,0.000351196445498584,0.000351196445498584,0.005879756505279222,0.0009040524528580739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1459354818650966,2.5210088617333195,1.587768516419607,80.21261107690644,0.933051515364501,1.587768516419607,0.9469136891701101,0.8052509114729928,0.9900040192632192,0.05308631082983255,0.1947490885268081,0.0099959807367775,0.0,0.0,0.0
9,0.002241879577418078,0.0010801019231318086,0.0010801019231318086,0.001161777650383306,0.00045650454720447394,0.00045650454720447394,0.007509235563230557,0.001161777650383306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017465047023978698,0.0009314358243704438,0.0009314358243704438,0.0008150688713214742,0.00031481758557609104,0.00031481758557609104,0.005317330401900086,0.0008150688713214742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1244530713392424,2.472991691172113,1.5725748602760101,71.18237990749205,0.9343266702655222,1.5725748602760101,0.9470446544142556,0.8136255103134501,0.9904136469682652,0.05295534558568665,0.18637448968634945,0.009586353031731495,0.0,0.0,0.0
10,0.0021238119090534564,0.001050423982913299,0.001050423982913299,0.0010733879236564533,0.00041756709058518945,0.00041756709058518945,0.0069757753434817925,0.0010733879236564533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001707145068351002,0.0009222159444886659,0.0009222159444886659,0.00078492912100113,0.0002975029710461364,0.0002975029710461364,0.005171764394505874,0.00078492912100113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1202007779132934,2.4485126012411063,1.5647723800096633,75.28484058404918,0.9349767425445266,1.5647723800096633,0.946288022232807,0.8063429365592678,0.9893043106843317,0.05371197776713565,0.19365706344053474,0.01069568931566495,0.0,0.0,0.0
11,0.002044074628000622,0.0010454738885093853,0.0010454738885093853,0.0009986007394912366,0.00038587762922796055,0.00038587762922796055,0.006513108708433929,0.0009986007394912366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016208131044399216,0.0009044152168598535,0.0009044152168598535,0.0007163978971472259,0.0002742435685419742,0.0002742435685419742,0.004695786862775752,0.0007163978971472259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1095849750039657,2.401251098378159,1.5495970761388778,75.69796329502877,0.9362318297623061,1.5495970761388778,0.9454447521853239,0.8048424588585011,0.9891924454369401,0.054555247814618374,0.1951575411413017,0.010807554563056538,0.0,0.0,0.0
