epoch,split,component,mean,mean_abs,rms,std,min,max,share_abs,share_energy,dyn_mean,dyn_mean_abs,dyn_rms,dyn_std,share_dyn_abs
1,val,S_dev,18.72683110068272,61.02956211365414,76.11000962931877,73.77017935928784,-255.9876559977531,253.45166466045376,0.9787030083052886,0.9993780793954078,2.0956099119191895e-15,59.228305840814315,73.77017935928784,73.77017935928785,0.9802462780490988
1,val,Rw_dev,-1.328029102225828,1.328029102225828,1.8986474921923242,1.3569086200807565,-4.718518823623657,0.0,0.021296991694695403,0.0006219206045920346,6.548780974747467e-17,1.193556671829361,1.3569086200807565,1.3569086200807565,0.01975372195088461
1,val,Ru_dev,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,train,S_dev,17.37174340751301,60.42149643688039,75.66781867465394,73.64673321990485,-265.3031950531006,330.07236221075055,0.9807956721640347,0.9994533943399906,-4.98092200413776e-16,58.871911505413074,73.64673321990485,73.64673321990485,0.9804319645413325
1,train,Rw_dev,-1.183074374045983,1.183074374045983,1.7695669687521014,1.315941595350723,-4.68833804821223,0.0,0.019204327835948987,0.0005466056600092503,-3.6883186036074445e-17,1.1750000953869444,1.315941595350723,1.315941595350723,0.0195680354586508
1,train,Ru_dev,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,test,S_dev,10.660353843802975,58.99412449230361,74.33406074703014,73.56568115003138,-294.95794237232207,313.84132969236373,0.9830992720190802,0.9995506502012775,3.4926831865319825e-16,58.370626477136184,73.56568115003138,73.56568115003138,0.9815308941945469
1,test,Rw_dev,-1.01418410011457,1.01418410011457,1.5760780874405065,1.2064214639937922,-4.010059336468577,0.0,0.01690072798090315,0.00044934979872234644,-1.0914634957912445e-16,1.0983386083027902,1.2064214639937922,1.2064214639937922,0.018469105805436335
1,test,Ru_dev,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,val,S_dev,17.771633796851518,21.416372056143917,26.01566058521053,18.99956914973288,-40.441408278584476,96.9746416646242,0.9175171801083111,0.9864331084025786,1.397073274612793e-15,15.211156452926183,18.99956914973288,18.99956914973288,0.8790577391146032
2,val,Rw_dev,-1.906974026872456,1.925285757407696,3.050993027637284,2.381597891232937,-7.541016187041997,1.3223007173687218,0.08248281989164619,0.013566891597419849,2.9469514386363603e-16,2.092776811168794,2.381597891232937,2.381597891232937,0.12094226088533919
2,val,Ru_dev,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,train,S_dev,19.429461385968867,22.27225499553872,26.941016406204135,18.663182881022866,-53.57487780821323,93.99927751243114,0.931237145170078,0.9896879541325524,4.3312365253371825e-17,14.91127317102901,18.663182881022866,18.663182881022866,0.8877395623474775
