epoch,split,timestamp,y_true,y_pred,S_real,Rw_real,Ru_real,S_dev,Rw_dev,Ru_dev,P_future,T_future
1,val,2012-11-24 13:30:00,-0.7339996335059396,-23.012192285478115,-20.088271546185013,-2.923920739293098,0.0,-8.694271546185016,-2.923920739293098,0.0,-65.5137667940855,24.29627858161926
1,val,2012-11-24 14:00:00,0.5310000322014101,-62.1646221254468,-59.061939365386955,-3.102683527871966,0.0,-47.66793936538696,-3.102683527871966,0.0,-179.19948940753935,23.963504196375606
1,val,2012-11-24 14:30:00,-1.7400001427531233,64.37098628449439,67.6280146394968,-3.257031426250934,0.0,79.02201463949679,-3.257031426250934,0.0,190.30621746134756,25.079290323436258
1,val,2012-11-24 15:00:00,0.16799995453655803,2.8288122068345554,6.194315524339675,-3.3655037014111873,0.0,17.588315524339674,-3.3655037014111873,0.0,12.616484728723764,23.46829761880636
1,val,2012-11-24 15:30:00,0.17399963854253375,-34.919101896017786,-31.411419734627003,-3.507682545296847,0.0,-20.017419734627005,-3.507682545296847,0.0,-99.51476075994967,24.89783788895607
1,val,2012-11-24 16:00:00,1.170999853968621,-71.39656486701965,-67.89021255624294,-3.506349239528179,0.0,-56.49621255624294,-3.506349239528179,0.0,-208.54856150293347,26.473440596759318
1,val,2012-11-24 16:30:00,2.5209993940293796,32.96132755446434,36.61368394917249,-3.652357162520289,0.0,48.00768394917249,-3.652357162520289,0.0,96.80094413268564,26.997122255086897
1,val,2012-11-24 17:00:00,5.1010001871585855,-23.15362558378279,-19.8219942985177,-3.331631285265088,0.0,-8.427994298517703,-3.331631285265088,0.0,-67.2894951274395,26.133057193279264
1,val,2012-11-24 17:30:00,9.322999474465847,-88.50813662433625,-85.48332537078858,-3.024811253547668,0.0,-74.08932537078857,-3.024811253547668,0.0,-263.54806251239773,28.96853825986385
1,val,2012-11-24 18:00:00,9.278999232381583,-34.3571878003478,-31.742977905452246,-2.6142098948955534,0.0,-20.348977905452248,-2.6142098948955534,0.0,-107.55878449583052,29.981303961813445
1,val,2012-11-24 18:30:00,10.654000271111727,6.460302539020777,8.644643597602844,-2.184341058582067,0.0,20.038643597602842,-2.184341058582067,0.0,11.438058952242134,29.473297955989835
1,val,2012-11-24 19:00:00,11.177000112265349,-93.76290772652625,-91.9419521872997,-1.820954771414399,0.0,-80.54795218729971,-1.820954771414399,0.0,-280.4252120118141,27.50284632325172
1,val,2012-11-24 19:30:00,13.903000382453202,-78.6340971660614,-77.23339284837246,-1.4007066211253403,0.0,-65.83939284837246,-1.4007066211253403,0.0,-239.07431490564343,28.745184781670567
1,val,2012-11-24 20:00:00,11.928999922037125,-53.59295789188146,-52.41037978738546,-1.182578104496002,0.0,-41.01637978738546,-1.182578104496002,0.0,-166.97176792478558,29.176983897686
1,val,2012-11-24 20:30:00,11.108999598532915,70.9840354771614,71.89429825937748,-0.9102643178403377,0.0,83.28829825937747,-0.9102643178403377,0.0,197.6733933033943,28.765043474674222
1,val,2012-11-24 21:00:00,12.731999349296093,118.46443212223052,118.4644321222305,0.0,0.0,129.8584321222305,0.0,0.0,334.75471401166914,28.273775773346422
1,val,2012-11-24 21:30:00,11.680999674379827,-23.17854953342676,-23.17854953342676,0.0,0.0,-11.78454953342676,0.0,0.0,-81.09696243226527,28.991096580326555
1,val,2012-11-24 22:00:00,8.697000706940889,-159.37123826289175,-159.37123826289175,0.0,0.0,-147.97723826289175,0.0,0.0,-481.8372730073928,30.32065235453844
1,val,2012-11-24 22:30:00,7.242999477863313,14.399969856679439,14.399969856679437,0.0,0.0,25.793969856679436,0.0,0.0,30.111481902062888,28.16750443166494
1,val,2012-11-24 23:00:00,9.869999587267637,102.7572808933258,102.7572808933258,0.0,0.0,114.15128089332579,0.0,0.0,288.9828406395912,28.106804275691506
1,val,2012-11-24 23:30:00,8.693000405728817,10.045572116434574,10.045572116434574,0.0,0.0,21.439572116434572,0.0,0.0,15.653433556467293,29.392628542065616
1,val,2012-11-25 00:00:00,7.392999256134034,73.19811697089672,73.1981169708967,0.0,0.0,84.59211697089671,0.0,0.0,200.66943310070036,29.356317170679567
1,val,2012-11-25 00:30:00,6.23900065484643,30.40353956633806,30.40353956633806,0.0,0.0,41.79753956633806,0.0,0.0,76.48877514088153,28.52331164526939
1,val,2012-11-25 01:00:00,5.386999457269908,21.699003907561302,21.6990039075613,0.0,0.0,33.0930039075613,0.0,0.0,51.05351789891719,28.48077178186178
1,val,2012-11-25 01:30:00,4.982999747335912,-0.676313140153884,-0.6763131401538853,0.0,0.0,10.717686859846113,0.0,0.0,-16.414679359942674,29.87066837596893
1,val,2012-11-25 02:00:00,5.588000388652087,-2.4724115293920033,-2.4724115293920033,0.0,0.0,8.921588470607995,0.0,0.0,-19.696910380393263,28.448818512141703
1,val,2012-11-25 02:30:00,4.902000174194575,-56.9306280195713,-56.930628019571294,0.0,0.0,-45.536628019571296,0.0,0.0,-177.16954154825208,26.99103811174631
1,val,2012-11-25 03:00:00,5.858999680936337,-52.74808199089765,-52.748081990897646,0.0,0.0,-41.35408199089765,0.0,0.0,-164.86786440086362,26.95398349821567
1,val,2012-11-25 03:30:00,6.526999307751656,-59.1478636855483,-59.1478636855483,0.0,0.0,-47.7538636855483,0.0,0.0,-185.61928335762022,28.396671783328053
1,val,2012-11-25 04:00:00,4.731000734090806,166.55988928318024,166.5598892831802,0.0,0.0,177.95388928318022,0.0,0.0,475.88617615318293,28.08242777609825
1,val,2012-11-25 04:30:00,4.947999799072743,-12.420958133365957,-12.420958133365957,0.0,0.0,-1.0269581333659588,0.0,0.0,-48.090469453334805,27.913785519242282
1,val,2012-11-25 05:00:00,5.5659994997978215,5.803887661665678,5.8038876616656765,0.0,0.0,17.197887661665675,0.0,0.0,6.583606668621301,26.98238947588205
1,val,2012-11-25 05:30:00,4.718999830454589,-20.749915224164724,-20.749915224164724,0.0,0.0,-9.355915224164724,0.0,0.0,-70.3061368598938,26.347869529306884
1,val,2012-11-25 06:00:00,4.415999664098025,-121.20932907176017,-121.20932907176015,0.0,0.0,-109.81532907176016,0.0,0.0,-363.43069127893443,25.551656025677918
1,val,2012-11-25 06:30:00,4.9870000485479835,140.06698004198074,141.5281203882694,-1.4611418819129465,0.0,152.9221203882694,-1.4611418819129465,0.0,405.2037990632057,26.19051103955507
1,val,2012-11-25 07:00:00,5.240000288814307,75.67143026816845,77.19610860407352,-1.524677568092942,0.0,88.59010860407352,-1.524677568092942,0.0,215.39331796979903,27.189876884162423
1,val,2012-11-25 07:30:00,3.878999536514283,-18.65378656589985,-17.16722549551725,-1.4865610703825949,0.0,-5.773225495517253,-1.4865610703825949,0.0,-64.46410004103183,29.69077920699119
1,val,2012-11-25 08:00:00,5.105000488370657,37.89565072739124,39.65437970012426,-1.7587305083572862,0.0,51.04837970012426,-1.7587305083572862,0.0,103.56746361446379,28.534669122338293
1,val,2012-11-25 08:30:00,2.7589996564686308,15.162422660827636,17.152751414060592,-1.990327985420823,0.0,28.54675141406059,-1.990327985420823,0.0,38.821118904650206,27.702422195315357
1,val,2012-11-25 09:00:00,3.1269997267425067,-108.7568106240034,-106.5116173826456,-2.245193241357803,0.0,-95.11761738264559,-2.245193241357803,0.0,-323.21667209911345,27.58825774490833
1,val,2012-11-25 09:30:00,2.5080003346204767,-69.62243972539902,-67.05843245899676,-2.56400880202651,0.0,-55.664432458996764,-2.56400880202651,0.0,-209.01146008157727,28.557067737877365
1,val,2012-11-25 10:00:00,-0.678999714806675,-69.95272179245949,-67.17932294368742,-2.773398080959916,0.0,-55.78532294368743,-2.773398080959916,0.0,-210.0270114059448,29.032490868031974
