round,direction,receiver_id,selected_sender_id,selected_model,receiver_local_update_executed,receiver_local_train_loss,receiver_local_val_loss,sender_local_train_loss,sender_local_val_loss,val_loss_receiver_loc,val_loss_local_continue,val_loss_teacher_guided,val_loss_same_origin_merge,selected_val_loss,best_alpha,delta_local_continue_vs_loc,delta_teacher_guided_vs_loc,delta_teacher_guided_vs_local_continue,delta_same_origin_merge_vs_loc,delta_same_origin_merge_vs_local_continue,delta_same_origin_merge_vs_teacher_guided,rollback_to_local,accept_local_continue,accept_teacher_guided,accept_same_origin_merge,teacher_guided_teacher_better_ratio_avg,teacher_guided_teacher_worse_ratio_avg,teacher_guided_positive_active_ratio_avg,teacher_guided_repulsion_active_ratio_avg,teacher_guided_positive_loss_avg,teacher_guided_repulsion_loss_avg,teacher_guided_total_loss_avg,sender_id,local_continue_pred_loss_avg,local_continue_total_loss_avg,local_continue_num_batches,teacher_guided_pred_loss_avg,teacher_guided_teacher_better_ratio_min,teacher_guided_teacher_better_ratio_max,teacher_guided_teacher_better_ratio_std,teacher_guided_teacher_worse_ratio_min,teacher_guided_teacher_worse_ratio_max,teacher_guided_teacher_worse_ratio_std,teacher_guided_positive_active_ratio_min,teacher_guided_positive_active_ratio_max,teacher_guided_positive_active_ratio_std,teacher_guided_repulsion_active_ratio_min,teacher_guided_repulsion_active_ratio_max,teacher_guided_repulsion_active_ratio_std,teacher_guided_positive_weight_mean_avg,teacher_guided_negative_weight_mean_avg,teacher_guided_num_batches
1,Client6 -> Client5,5,6,same_origin_merge,True,0.002206231299344848,0.0014084719902339117,0.0068426545151116566,0.0018750908522293145,0.0014084719902339117,0.0009820324578349278,0.0012233410108973195,0.0009796198803218015,0.0009796198803218015,0.1,-0.00042643953239898387,-0.00018513097933659222,0.00024130855306239165,-0.0004288521099121102,-2.412577513126327e-06,-0.00024372113057551797,False,False,False,True,0.25367334485054016,0.7463266849517822,0.2517261803150177,0.7440945506095886,0.0010306161331107744,0.0005545805412292564,0.0009506323904988857,6,0.0009359961940265102,0.0009359961940265102,329,0.0009169409974006285,0.1484375,0.890625,0.06996168941259384,0.109375,0.8515625,0.06996168941259384,0.1484375,0.890625,0.06965963542461395,0.109375,0.8515625,0.06998919695615768,0.21828369796276093,0.7177419662475586,329
2,Client7 -> Client5,5,7,same_origin_merge,False,,0.0009796198803218015,0.00550747657623445,0.0013530923594279932,0.0009796198803218015,0.0008561460076894013,0.0008409766326480153,0.0008407274729682508,0.0008407274729682508,0.9,-0.00012347387263240018,-0.00013864324767378625,-1.5169375041386066e-05,-0.00013889240735355068,-1.5418534721150503e-05,-2.491596797644371e-07,False,False,False,True,0.34689971804618835,0.653100311756134,0.3433140218257904,0.650013267993927,0.0006077535838737685,0.0008700773815069119,0.0008317157061846752,7,0.0007939830907727522,0.0007939830907727522,329,0.0008091327151292442,0.203125,0.9140625,0.07333817332983017,0.0859375,0.796875,0.07333817332983017,0.203125,0.9140625,0.07292144000530243,0.0859375,0.796875,0.07348955422639847,0.2930387556552887,0.6113640069961548,329
3,Client2 -> Client5,5,2,same_origin_merge,False,,0.0008407274729682508,0.019482001264880356,0.0024460389358941428,0.0008407274729682508,0.0009510846315122458,0.0008043757884518689,0.0007932305577352005,0.0007932305577352005,0.8,0.00011035715854399494,-3.635168451638195e-05,-0.00014670884306037689,-4.7496915233050324e-05,-0.00015785407377704526,-1.1145230716668375e-05,False,False,False,True,0.19595304131507874,0.8040469288825989,0.19436204433441162,0.8023846745491028,0.0012874765989010707,0.00029319252632807114,0.0007784723831902638,2,0.0007656174757675736,0.0007656174757675736,329,0.0007383821240317645,0.09375,0.5234375,0.04927315190434456,0.4765625,0.90625,0.04927315190434456,0.09375,0.5234375,0.04912674054503441,0.46875,0.90625,0.049565259367227554,0.16680075228214264,0.7812532186508179,329
4,Client6 -> Client5,5,6,same_origin_merge,False,,0.0007932305577352005,0.0018191561515666001,0.0012803394458237181,0.0007932305577352005,0.0007870163664100143,0.0008445541554492884,0.0007718987176774294,0.0007718987176774294,0.3,-6.214191325186209e-06,5.13235977140879e-05,5.7537789039274105e-05,-2.1331840057771043e-05,-1.5117648732584834e-05,-7.265543777185894e-05,False,False,False,True,0.27627912163734436,0.7237208485603333,0.27357205748558044,0.7211733460426331,0.000687799742117349,0.0007623499907943627,0.0006968457373468802,6,0.0007087167194111141,0.0007087167194111141,329,0.0006723999942317146,0.140625,0.5234375,0.047479111701250076,0.4765625,0.859375,0.047479111701250076,0.140625,0.515625,0.04731359705328941,0.4765625,0.8515625,0.04744016006588936,0.23583534359931946,0.6930078864097595,329
5,Client7 -> Client5,5,7,same_origin_merge,False,,0.0007718987176774294,0.0012890167988349774,0.0008546941475414606,0.0007718987176774294,0.000894070370390874,0.0007654600867545301,0.0007654600867545301,0.0007654600867545301,1.0,0.0001221716527134445,-6.438630922899315e-06,-0.00012861028363634383,-6.438630922899315e-06,-0.00012861028363634383,0.0,False,False,False,True,0.3844156563282013,0.6155843734741211,0.3799988627433777,0.6112150549888611,0.00038370799600593875,0.00114975215996445,0.0006793400514067945,7,0.0006528664257782644,0.0006528664257782644,329,0.0006620800536996607,0.234375,0.6484375,0.05662985518574715,0.3515625,0.765625,0.05662985518574715,0.234375,0.6484375,0.056260399520397186,0.3515625,0.765625,0.05655704438686371,0.3211747705936432,0.5662589073181152,329
6,Client2 -> Client5,5,2,same_origin_merge,False,,0.0007654600867545301,0.0022027027135276918,0.0019599476736592964,0.0007654600867545301,0.0007143146524698095,0.0007511772948642148,0.000704537890803466,0.000704537890803466,0.3,-5.114543428472065e-05,-1.4282791890315376e-05,3.6862642394405276e-05,-6.0922195951064115e-05,-9.776761666343463e-06,-4.663940406074874e-05,False,False,False,True,0.18176986277103424,0.818230152130127,0.18003638088703156,0.8164254426956177,0.001167027710246633,0.00030706012409817434,0.0006740442117432421,2,0.0006264139409123262,0.0006264139409123262,329,0.0006374980817727048,0.0703125,0.2890625,0.03769344463944435,0.7109375,0.9296875,0.03769344463944435,0.0703125,0.2890625,0.037884216755628586,0.7109375,0.9296875,0.03752061352133751,0.1560213416814804,0.796739399433136,329
7,Client6 -> Client5,5,6,same_origin_merge,False,,0.000704537890803466,0.0015659508964611661,0.0011221126526718553,0.000704537890803466,0.0007451316689931405,0.0007398422206266324,0.0006757847561308929,0.0006757847561308929,0.5,4.059377818967449e-05,3.530432982316639e-05,-5.289448366508102e-06,-2.8753134672573075e-05,-6.934691286224757e-05,-6.405746449573947e-05,False,False,False,True,0.264779269695282,0.735220730304718,0.2623808979988098,0.7329885959625244,0.0007053140301948035,0.0007376926395212865,0.0006538815443940721,6,0.0006190444865104087,0.0006190444865104087,329,0.0006290336617586118,0.125,0.5234375,0.04766802117228508,0.4765625,0.875,0.04766802117228508,0.125,0.515625,0.04766048491001129,0.4765625,0.875,0.047608621418476105,0.22641608119010925,0.7041750550270081,329
8,Client7 -> Client5,5,7,same_origin_merge,False,,0.0006757847561308929,0.0010933328372613002,0.0007773533664451459,0.0006757847561308929,0.0007293000904705326,0.0010341401230571554,0.0007293000904705326,0.0007293000904705326,0.0,5.3515334339639706e-05,0.00035835536692626247,0.00030484003258662276,5.3515334339639706e-05,0.0,-0.00030484003258662276,False,False,False,True,0.41416603326797485,0.5858339667320251,0.4090843200683594,0.5809422731399536,0.0003016651542816788,0.0012946054847422146,0.0006250336425645818,7,0.0006052625690348023,0.0006052625690348023,329,0.0006095106577386742,0.28125,0.546875,0.0526154562830925,0.453125,0.71875,0.0526154562830925,0.265625,0.5390625,0.05289410054683685,0.4453125,0.703125,0.05234247073531151,0.34199056029319763,0.5282068252563477,329
9,Client2 -> Client5,5,2,same_origin_merge,False,,0.0007293000904705326,0.0015840647084311317,0.001193410365135793,0.0007293000904705326,0.0006570189145262398,0.0006368208198918584,0.0006364040950171484,0.0006364040950171484,0.85,-7.228117594429288e-05,-9.247927057867429e-05,-2.0198094634381412e-05,-9.289599545338428e-05,-2.061481950909141e-05,-4.167248747099974e-07,False,False,False,True,0.2802076041698456,0.7197924256324768,0.2770664095878601,0.7172515988349915,0.0006979684545206807,0.0007365621985255322,0.0006198435991110148,2,0.0005920430522551374,0.0005920430522551374,329,0.0005952217350028099,0.171875,0.6484375,0.04802862927317619,0.3515625,0.828125,0.04802862927317619,0.171875,0.6484375,0.0479021780192852,0.34375,0.828125,0.04812655225396156,0.2388077974319458,0.6862132549285889,329
10,Client6 -> Client5,5,6,same_origin_merge,False,,0.0006364040950171484,0.0014610646065991893,0.001096709428712185,0.0006364040950171484,0.0006975850362187787,0.0006457484470391004,0.0006043863196102529,0.0006043863196102529,0.6,6.118094120163029e-05,9.344352021952058e-06,-5.183658917967823e-05,-3.2017775406895446e-05,-9.319871660852573e-05,-4.1362127428847505e-05,False,False,False,True,0.24899838864803314,0.7510015964508057,0.24647462368011475,0.7484844923019409,0.0006653836605329805,0.0006641804313732179,0.0006143592955893912,6,0.000585222637482919,0.000585222637482919,329,0.0005910768840922544,0.1328125,0.4765625,0.04559962823987007,0.5234375,0.8671875,0.04559962823987007,0.1328125,0.4765625,0.0453728623688221,0.5234375,0.859375,0.04529557377099991,0.2139461487531662,0.72188401222229,329
