selected_sender_id,num_selected,num_selected_receiver_loc,num_selected_local_continue,num_selected_teacher_guided,num_selected_same_origin_merge,rollback_rate,local_continue_accept_rate,teacher_guided_accept_rate,same_origin_merge_accept_rate,mean_best_alpha,mean_delta_local_continue_vs_loc,mean_delta_teacher_guided_vs_local_continue,mean_delta_teacher_guided_vs_loc,mean_delta_same_origin_merge_vs_teacher_guided,mean_delta_same_origin_merge_vs_loc,mean_teacher_better_ratio_avg,mean_teacher_worse_ratio_avg,mean_positive_active_ratio_avg,mean_repulsion_active_ratio_avg,mean_positive_loss_avg,mean_repulsion_loss_avg
2,6,0,0,0,6,0.0,0.0,0.0,1.0,0.5833333333333334,3.301590768415468e-05,-1.0697893306574162e-05,2.231801437758052e-05,-4.3047760204926586e-05,-2.0729745827346064e-05,0.2546307072043419,0.7453692952791849,0.2521311715245247,0.7429381608963013,0.000807192376246652,0.0006388899064002489
6,7,0,0,0,7,0.0,0.0,0.0,1.0,0.5,-4.728041570634674e-05,1.5951636463642088e-05,-3.132877924270465e-05,-6.942634281260791e-05,-0.00010075512205531257,0.263161301612854,0.7368386898721967,0.2608501889875957,0.7345019068036761,0.0006989595196775219,0.0007265845967606422
7,7,0,0,0,7,0.0,0.0,0.0,1.0,0.6,4.6333896732255723e-05,1.9993651656477467e-05,6.632754838873319e-05,-6.352850950294734e-05,2.799038885785842e-06,0.3830955369131906,0.6169044886316571,0.37878877350262236,0.6128361225128174,0.000360481663169028,0.0011780804746809685
