round,selected_clients,avg_local_train_loss,avg_local_val_loss,avg_local_train_task_loss,avg_local_train_rc_loss,avg_local_train_weighted_rc_loss,avg_local_train_total_loss,avg_local_train_rc_to_task_ratio,round_rc_to_task_ratio,global_rc_norm,avg_personalized_head_ratio,avg_num_personalized_head_params,avg_num_head_params,avg_head_importance_mean,regional_val_loss,regional_val_MAE,regional_val_RMSE,regional_val_MAPE_percent,regional_val_R2,avg_client_val_MAE,avg_client_val_RMSE,avg_client_val_R2,regional_val_samples
1,9,0.0014509797989226082,0.0012295791512370471,0.0014509797989226082,0.0,0.0,0.0014509797989226082,0.0,0.0,1.2996094226837158,0.3002832861189802,106.0,353.0,1.463676673867869e-05,0.002370805393355035,12.78925609588623,15.289983644645131,18.60731840133667,0.7327131032943726,1.732077293925815,2.1486284363900765,0.6507158875465393,5211
2,9,0.0013451310239459499,0.0011692518308213354,0.0013451310239459499,3.0604561611166555e-05,0.0003060456161116655,0.001651176636820788,0.22953701101086527,0.22752104474280715,1.298187494277954,0.3002832861189802,106.0,353.0,0.00010438207633948575,0.001525353459942306,5.677346706390381,8.625556375000995,6.9459035992622375,0.9149375557899475,1.2605560289488897,1.7189501283497082,0.7706918252838982,5211
3,9,0.0011455104572165977,0.0009188969941230336,0.0011455104572165977,1.784891684357178e-05,0.00017848916843571776,0.001323999624386488,0.15857626940199981,0.15581627138839121,1.2963767051696777,0.3002832861189802,106.0,353.0,6.47973421210837e-05,0.0012759105169307284,4.868599891662598,6.8329435407912325,5.959226191043854,0.9466199278831482,1.1814956996175978,1.5548006977613715,0.805914044380188,5211
4,9,0.0010114186511626525,0.0008481558963701941,0.0010114186511626525,1.1173415387645495e-05,0.00011173415387645498,0.0011231528049341782,0.11189528475423065,0.11047270449041148,1.2934449911117554,0.3002832861189802,106.0,353.0,3.0226783767122673e-05,0.0010695586093579217,3.905702829360962,5.452826986394735,4.952050745487213,0.9660056233406067,1.0835800833172269,1.4197693803135747,0.8346530993779501,5211
5,9,0.0009429844465906174,0.0008284861436925015,0.0009429844465906174,8.737270167038414e-06,8.737270167038413e-05,0.0010303571475387087,0.0940655022599347,0.09265550656071443,1.2946743965148926,0.3002832861189802,106.0,353.0,1.580954024878641e-05,0.0012757343448974031,3.6962270736694336,5.1554829344805055,4.725085571408272,0.9696120023727417,1.198313342200385,1.5263516926677942,0.7956132690111796,5211
6,9,0.0008962033952138323,0.0007525711465882746,0.0008962033952138323,6.739134096613196e-06,6.739134096613199e-05,0.0009635947357011958,0.07625549187253561,0.07519648023075841,1.2934386730194092,0.3002832861189802,106.0,353.0,1.4727902453159913e-05,0.001204126053898175,3.7667644023895264,5.270108360320175,4.679181054234505,0.9682456851005554,1.1751675340864394,1.5013647562858219,0.8162609073850844,5211
7,9,0.0008850408686479875,0.0007610108244972934,0.0008850408686479875,6.314954594678385e-06,6.314954594678385e-05,0.0009481904142758109,0.07281051233775009,0.0713521240797622,1.291259527206421,0.3002832861189802,106.0,353.0,1.164059368521622e-05,0.0013040500596570186,3.7989132404327393,5.172061052462114,4.825262725353241,0.9694162607192993,1.2369272973802354,1.5553424067673143,0.8062545855840048,5211
8,9,0.0008621098970779101,0.0007486467589633957,0.0008621098970779101,5.02186791063859e-06,5.02186791063859e-05,0.0009123285759835767,0.06005937049052553,0.058250901907459095,1.2916100025177002,0.3002832861189802,106.0,353.0,8.642637011588602e-06,0.0012399374961523644,3.484321117401123,4.743445441680881,4.493090510368347,0.9742752313613892,1.1835068729188707,1.4964408761303511,0.8064554929733276,5211
9,9,0.0008573723189546468,0.0007359186662317785,0.0008573723189546468,4.75277426240403e-06,4.752774262404031e-05,0.0009049000617201101,0.056855204386101844,0.05543419296129648,1.288040041923523,0.3002832861189802,106.0,353.0,7.421137575470817e-06,0.0011780126769524175,3.734459638595581,5.167182199332971,4.628394544124603,0.9694738984107971,1.1730285816722446,1.4881269072529941,0.8235700527826945,5211
10,9,0.0008483137839219093,0.0007622504506400989,0.0008483137839219093,4.194161652474602e-06,4.1941616524746014e-05,0.0008902554003272307,0.050584031129563126,0.049441158767220675,1.2904186248779297,0.3002832861189802,106.0,353.0,7.684473075642018e-06,0.0011697125323800492,3.329023838043213,4.5195806264858955,4.353832453489304,0.9766460657119751,1.158788628048367,1.4647332943198146,0.8203394545449151,5211
11,9,0.0008399096706879747,0.0007046375002335414,0.0008399096706879747,3.81911959797428e-06,3.8191195979742804e-05,0.0008781008667851681,0.04657239847891935,0.04547059912167648,1.2887357473373413,0.3002832861189802,106.0,353.0,6.317690122159547e-06,0.0012186300182167194,3.6094698905944824,4.883379068692092,4.5546166598796844,0.9727350473403931,1.1821459134419758,1.4975705260568573,0.8099894722302755,5211
12,9,0.000832610554141814,0.0007442678953540564,0.000832610554141814,3.559301166265821e-06,3.5593011662658215e-05,0.0008682035649184582,0.04394540094646421,0.04274869138140562,1.288794755935669,0.3002832861189802,106.0,353.0,6.606619535887148e-06,0.001291476947077713,3.233398914337158,4.424785182070504,4.175658151507378,0.977615475654602,1.1899952093760173,1.4954552334985605,0.7989929715792338,5211
13,9,0.000832226723055063,0.0007005104967378038,0.000832226723055063,3.3701303315655776e-06,3.3701303315655776e-05,0.0008659280250795097,0.04188783364211922,0.04049533900022415,1.2894279956817627,0.3002832861189802,106.0,353.0,5.294628105427061e-06,0.0009712807551243214,3.1699016094207764,4.34732172279658,4.060615226626396,0.9783923625946045,1.029667615890503,1.331892703643707,0.8584303326076932,5211
14,9,0.0008301589019705565,0.0006933410612194992,0.0008301589019705565,3.4333039671423108e-06,3.433303967142311e-05,0.0008644919413869232,0.04231784202755507,0.041357190230170676,1.2902321815490723,0.3002832861189802,106.0,353.0,6.339766059682006e-06,0.0010701240327247374,3.2687411308288574,4.387398073582919,4.247988760471344,0.9779921770095825,1.0856397615538702,1.3940103241187367,0.8277475701438056,5211
15,9,0.0008190822947879066,0.0006827359321998335,0.0008190822947879066,3.1778871939558226e-06,3.177887193955823e-05,0.0008508611665115282,0.03977866939575739,0.03879814287646019,1.288519024848938,0.3002832861189802,106.0,353.0,5.831898609661342e-06,0.001195702333720734,3.305128574371338,4.4368719811703965,4.267440736293793,0.9774929881095886,1.1668944358825684,1.4769754002313666,0.8254738516277738,5211
