round,h2a_alpha_mean,h2a_alpha_min,h2a_alpha_max,h2a_distance_mean,h2a_meta_loss_mean,avg_local_train_loss,avg_local_val_loss,avg_client_val_RMSE,regional_val_RMSE
1,0.5,0.5,0.5,0.0,1.9439548121558294,0.010983590703948644,0.0018007577373625847,2.279959348745549,15.956420199438679
2,0.8028013838662041,0.6924218535423279,0.8863472938537598,14.321014298511077,2.4266419410705566,0.0015715560905835127,0.0012027032236864136,1.5526203085651102,8.56935680419468
3,0.650643938117557,0.6050675511360168,0.7128560543060303,6.245428956464781,4.151705318027073,0.0012355106428805817,0.001027871875604417,1.4335834430617367,7.520889690607173
4,0.578800830576155,0.5655884146690369,0.59989333152771,3.180445920726116,4.654134935802883,0.0011014526790195892,0.0008918813666763756,1.3305293739437578,6.053057681345947
5,0.5541425546010336,0.5454730987548828,0.5622018575668335,2.174525491714869,3.8097095489501953,0.0010280792887589355,0.0008477806331652052,1.2874969250795314,5.6228550530085295
6,0.5514213509029813,0.5441980957984924,0.5580408573150635,2.0643263835195382,3.421916921933492,0.0009949666903670106,0.0008981081724521031,1.3021296693852389,5.984744068049911
7,0.545895622836219,0.5404597520828247,0.5545393228530884,1.8411406251609153,3.0460289584265814,0.0009643020910354404,0.0007604241942907691,1.2777545283630998,5.697288055428077
8,0.5450961059994168,0.53885418176651,0.5547834634780884,1.8089361341242491,2.9659236007266574,0.0009364801400674242,0.0008059226013791576,1.2839437241593896,5.777771599269074
9,0.5444924831390381,0.5413122177124023,0.5493386387825012,1.7844731465203543,2.8611378404829235,0.0009189746579447244,0.0007760709213679549,1.2702422679607872,5.110133496834378
10,0.5445348223050436,0.5398300886154175,0.5508748888969421,1.7862209894928027,2.9010711113611856,0.0009070100719937202,0.0007221315412764668,1.2584918413717316,5.3126473799065135
11,0.5459070801734924,0.54109126329422,0.5514259934425354,1.8415415391203471,2.7077922026316323,0.0009000559218143823,0.0007536360875988566,1.2877677554131859,5.453193205048928
12,0.5464867154757181,0.5431797504425049,0.5499157905578613,1.8648943869560348,2.5260229375627308,0.0008914887400723403,0.0007227808004724237,1.2791499281109802,5.0738238620762175
13,0.5505019625027975,0.5468707084655762,0.5541806221008301,2.0270354232142482,2.720766623814901,0.000883257361883451,0.0007758981805408956,1.3145268705945776,6.02568247875017
14,0.549546049700843,0.5460891723632812,0.5543830990791321,1.9884304347692199,2.3935846951272755,0.0008746018052895541,0.000758121339036368,1.3091192317975993,5.333774647732866
15,0.5524680018424988,0.5473450422286987,0.5611329078674316,2.106621647655427,2.5180206961101956,0.000869927796541118,0.0007138483320411538,1.2724849518026207,5.110556556268538
16,0.5547887418005202,0.5487360954284668,0.5611734390258789,2.2005475407135644,2.4501251445876226,0.0008695778024395851,0.0006872781070119193,1.3371856638820754,5.5606391451555925
