round,client_id,layer_name,ref_client_id,weight,self_weight,alpha
1,1,conv1,1,0.0957578793168068,0.0957578793168068,0.5
1,1,conv1,2,0.14458273351192474,0.0957578793168068,0.5
1,1,conv1,3,0.12015199661254883,0.0957578793168068,0.5
1,1,conv1,4,0.09432410448789597,0.0957578793168068,0.5
1,1,conv1,5,0.11556631326675415,0.0957578793168068,0.5
1,1,conv1,6,0.09808096289634705,0.0957578793168068,0.5
1,1,conv1,7,0.11585836112499237,0.0957578793168068,0.5
1,1,conv1,8,0.11667633056640625,0.0957578793168068,0.5
1,1,conv1,9,0.09900127351284027,0.0957578793168068,0.5
1,1,conv2,1,0.11970165371894836,0.11970165371894836,0.5
1,1,conv2,2,0.09953552484512329,0.11970165371894836,0.5
1,1,conv2,3,0.08962585777044296,0.11970165371894836,0.5
1,1,conv2,4,0.08008826524019241,0.11970165371894836,0.5
1,1,conv2,5,0.11341110616922379,0.11970165371894836,0.5
1,1,conv2,6,0.10774129629135132,0.11970165371894836,0.5
1,1,conv2,7,0.169416606426239,0.11970165371894836,0.5
1,1,conv2,8,0.11880780756473541,0.11970165371894836,0.5
1,1,conv2,9,0.10167183727025986,0.11970165371894836,0.5
1,1,lstm1,1,0.09915648400783539,0.09915648400783539,0.5
1,1,lstm1,2,0.09229393303394318,0.09915648400783539,0.5
1,1,lstm1,3,0.10328271239995956,0.09915648400783539,0.5
1,1,lstm1,4,0.14763695001602173,0.09915648400783539,0.5
1,1,lstm1,5,0.12612853944301605,0.09915648400783539,0.5
1,1,lstm1,6,0.14236027002334595,0.09915648400783539,0.5
1,1,lstm1,7,0.10047465562820435,0.09915648400783539,0.5
1,1,lstm1,8,0.08555044233798981,0.09915648400783539,0.5
1,1,lstm1,9,0.1031159982085228,0.09915648400783539,0.5
1,1,lstm2,1,0.09597741067409515,0.09597741067409515,0.5
1,1,lstm2,2,0.10191529244184494,0.09597741067409515,0.5
1,1,lstm2,3,0.08763869106769562,0.09597741067409515,0.5
1,1,lstm2,4,0.1129380464553833,0.09597741067409515,0.5
1,1,lstm2,5,0.099856436252594,0.09597741067409515,0.5
1,1,lstm2,6,0.10554683208465576,0.09597741067409515,0.5
1,1,lstm2,7,0.09725485742092133,0.09597741067409515,0.5
1,1,lstm2,8,0.10258574783802032,0.09597741067409515,0.5
1,1,lstm2,9,0.19628667831420898,0.09597741067409515,0.5
1,1,attention,1,0.09109164774417877,0.09109164774417877,0.5
1,1,attention,2,0.11805550754070282,0.09109164774417877,0.5
1,1,attention,3,0.11326992511749268,0.09109164774417877,0.5
1,1,attention,4,0.10009615123271942,0.09109164774417877,0.5
1,1,attention,5,0.1278148889541626,0.09109164774417877,0.5
1,1,attention,6,0.07954220473766327,0.09109164774417877,0.5
1,1,attention,7,0.1281796395778656,0.09109164774417877,0.5
1,1,attention,8,0.1283951997756958,0.09109164774417877,0.5
1,1,attention,9,0.11355477571487427,0.09109164774417877,0.5
1,1,fc1,1,0.12109668552875519,0.12109668552875519,0.5
1,1,fc1,2,0.099137082695961,0.12109668552875519,0.5
1,1,fc1,3,0.14368322491645813,0.12109668552875519,0.5
1,1,fc1,4,0.11652965843677521,0.12109668552875519,0.5
1,1,fc1,5,0.1070050448179245,0.12109668552875519,0.5
1,1,fc1,6,0.0704304575920105,0.12109668552875519,0.5
1,1,fc1,7,0.12917625904083252,0.12109668552875519,0.5
1,1,fc1,8,0.118361696600914,0.12109668552875519,0.5
1,1,fc1,9,0.09457989037036896,0.12109668552875519,0.5
1,2,conv1,2,0.13205495476722717,0.13205495476722717,0.5
1,2,conv1,1,0.09687265753746033,0.13205495476722717,0.5
1,2,conv1,3,0.11817960441112518,0.13205495476722717,0.5
1,2,conv1,4,0.08070007711648941,0.13205495476722717,0.5
1,2,conv1,5,0.14573447406291962,0.13205495476722717,0.5
1,2,conv1,6,0.07986052334308624,0.13205495476722717,0.5
1,2,conv1,7,0.11141853779554367,0.13205495476722717,0.5
1,2,conv1,8,0.1307900995016098,0.13205495476722717,0.5
1,2,conv1,9,0.10438910126686096,0.13205495476722717,0.5
1,2,conv2,2,0.10022690147161484,0.10022690147161484,0.5
1,2,conv2,1,0.12053702026605606,0.10022690147161484,0.5
1,2,conv2,3,0.11196226626634598,0.10022690147161484,0.5
1,2,conv2,4,0.07845999300479889,0.10022690147161484,0.5
1,2,conv2,5,0.10945683717727661,0.10022690147161484,0.5
1,2,conv2,6,0.11313986778259277,0.10022690147161484,0.5
1,2,conv2,7,0.13384704291820526,0.10022690147161484,0.5
1,2,conv2,8,0.13966041803359985,0.10022690147161484,0.5
1,2,conv2,9,0.09270960092544556,0.10022690147161484,0.5
1,2,lstm1,2,0.08648069947957993,0.08648069947957993,0.5
1,2,lstm1,1,0.09463551640510559,0.08648069947957993,0.5
1,2,lstm1,3,0.12752828001976013,0.08648069947957993,0.5
1,2,lstm1,4,0.14093704521656036,0.08648069947957993,0.5
1,2,lstm1,5,0.11898119002580643,0.08648069947957993,0.5
1,2,lstm1,6,0.153285950422287,0.08648069947957993,0.5
1,2,lstm1,7,0.10862427949905396,0.08648069947957993,0.5
1,2,lstm1,8,0.08688531816005707,0.08648069947957993,0.5
1,2,lstm1,9,0.08264173567295074,0.08648069947957993,0.5
1,2,lstm2,2,0.10251618921756744,0.10251618921756744,0.5
1,2,lstm2,1,0.1153591126203537,0.10251618921756744,0.5
1,2,lstm2,3,0.07542875409126282,0.10251618921756744,0.5
1,2,lstm2,4,0.10951139032840729,0.10251618921756744,0.5
1,2,lstm2,5,0.09719769656658173,0.10251618921756744,0.5
1,2,lstm2,6,0.10136805474758148,0.10251618921756744,0.5
1,2,lstm2,7,0.08579686284065247,0.10251618921756744,0.5
1,2,lstm2,8,0.12162967026233673,0.10251618921756744,0.5
1,2,lstm2,9,0.19119229912757874,0.10251618921756744,0.5
1,2,attention,2,0.12208518385887146,0.12208518385887146,0.5
1,2,attention,1,0.09428394585847855,0.12208518385887146,0.5
1,2,attention,3,0.08647413551807404,0.12208518385887146,0.5
1,2,attention,4,0.1130821481347084,0.12208518385887146,0.5
1,2,attention,5,0.11455928534269333,0.12208518385887146,0.5
1,2,attention,6,0.08244417607784271,0.12208518385887146,0.5
1,2,attention,7,0.1599547415971756,0.12208518385887146,0.5
1,2,attention,8,0.10310804843902588,0.12208518385887146,0.5
1,2,attention,9,0.12400835752487183,0.12208518385887146,0.5
1,2,fc1,2,0.08178383111953735,0.08178383111953735,0.5
1,2,fc1,1,0.10848718881607056,0.08178383111953735,0.5
1,2,fc1,3,0.11753426492214203,0.08178383111953735,0.5
1,2,fc1,4,0.13520756363868713,0.08178383111953735,0.5
1,2,fc1,5,0.11924350261688232,0.08178383111953735,0.5
1,2,fc1,6,0.06715037673711777,0.08178383111953735,0.5
1,2,fc1,7,0.12886057794094086,0.08178383111953735,0.5
1,2,fc1,8,0.14715750515460968,0.08178383111953735,0.5
1,2,fc1,9,0.09457524120807648,0.08178383111953735,0.5
1,3,conv1,3,0.09619840979576111,0.09619840979576111,0.5
1,3,conv1,1,0.1065007895231247,0.09619840979576111,0.5
1,3,conv1,2,0.10919493436813354,0.09619840979576111,0.5
1,3,conv1,4,0.07259806990623474,0.09619840979576111,0.5
1,3,conv1,5,0.1708734780550003,0.09619840979576111,0.5
1,3,conv1,6,0.10719873011112213,0.09619840979576111,0.5
1,3,conv1,7,0.08127538859844208,0.09619840979576111,0.5
1,3,conv1,8,0.11778908222913742,0.09619840979576111,0.5
1,3,conv1,9,0.138371080160141,0.09619840979576111,0.5
1,3,conv2,3,0.14390422403812408,0.14390422403812408,0.5
1,3,conv2,1,0.1164843738079071,0.14390422403812408,0.5
1,3,conv2,2,0.10969030857086182,0.14390422403812408,0.5
1,3,conv2,4,0.08892349898815155,0.14390422403812408,0.5
1,3,conv2,5,0.08792245388031006,0.14390422403812408,0.5
1,3,conv2,6,0.1141098141670227,0.14390422403812408,0.5
1,3,conv2,7,0.10615401715040207,0.14390422403812408,0.5
1,3,conv2,8,0.09868207573890686,0.14390422403812408,0.5
1,3,conv2,9,0.13412925601005554,0.14390422403812408,0.5
1,3,lstm1,3,0.16448402404785156,0.16448402404785156,0.5
1,3,lstm1,1,0.10255256295204163,0.16448402404785156,0.5
1,3,lstm1,2,0.09848247468471527,0.16448402404785156,0.5
1,3,lstm1,4,0.10270314663648605,0.16448402404785156,0.5
1,3,lstm1,5,0.13513456284999847,0.16448402404785156,0.5
1,3,lstm1,6,0.1185527890920639,0.16448402404785156,0.5
1,3,lstm1,7,0.09556092321872711,0.16448402404785156,0.5
1,3,lstm1,8,0.08495953679084778,0.16448402404785156,0.5
1,3,lstm1,9,0.09756994247436523,0.16448402404785156,0.5
1,3,lstm2,3,0.07970572263002396,0.07970572263002396,0.5
1,3,lstm2,1,0.12201469391584396,0.07970572263002396,0.5
1,3,lstm2,2,0.12193534523248672,0.07970572263002396,0.5
1,3,lstm2,4,0.10236514359712601,0.07970572263002396,0.5
1,3,lstm2,5,0.10543626546859741,0.07970572263002396,0.5
1,3,lstm2,6,0.1290818303823471,0.07970572263002396,0.5
1,3,lstm2,7,0.08050215244293213,0.07970572263002396,0.5
1,3,lstm2,8,0.1064147800207138,0.07970572263002396,0.5
1,3,lstm2,9,0.15254411101341248,0.07970572263002396,0.5
1,3,attention,3,0.10454711318016052,0.10454711318016052,0.5
1,3,attention,1,0.11096350848674774,0.10454711318016052,0.5
1,3,attention,2,0.12275174260139465,0.10454711318016052,0.5
1,3,attention,4,0.08814507722854614,0.10454711318016052,0.5
1,3,attention,5,0.16748303174972534,0.10454711318016052,0.5
1,3,attention,6,0.0904913917183876,0.10454711318016052,0.5
1,3,attention,7,0.0959940180182457,0.10454711318016052,0.5
1,3,attention,8,0.11283226311206818,0.10454711318016052,0.5
1,3,attention,9,0.10679183155298233,0.10454711318016052,0.5
1,3,fc1,3,0.14188410341739655,0.14188410341739655,0.5
1,3,fc1,1,0.13311225175857544,0.14188410341739655,0.5
1,3,fc1,2,0.08240094035863876,0.14188410341739655,0.5
1,3,fc1,4,0.10212454199790955,0.14188410341739655,0.5
1,3,fc1,5,0.09493768215179443,0.14188410341739655,0.5
1,3,fc1,6,0.09419649094343185,0.14188410341739655,0.5
1,3,fc1,7,0.11409361660480499,0.14188410341739655,0.5
1,3,fc1,8,0.1298055648803711,0.14188410341739655,0.5
1,3,fc1,9,0.10744484513998032,0.14188410341739655,0.5
1,4,conv1,4,0.0957888811826706,0.0957888811826706,0.5
1,4,conv1,1,0.09688382595777512,0.0957888811826706,0.5
1,4,conv1,2,0.13614489138126373,0.0957888811826706,0.5
1,4,conv1,3,0.1040709912776947,0.0957888811826706,0.5
1,4,conv1,5,0.12487783282995224,0.0957888811826706,0.5
1,4,conv1,6,0.0843171775341034,0.0957888811826706,0.5
1,4,conv1,7,0.102629154920578,0.0957888811826706,0.5
1,4,conv1,8,0.12209904193878174,0.0957888811826706,0.5
1,4,conv1,9,0.13318820297718048,0.0957888811826706,0.5
1,4,conv2,4,0.09013983607292175,0.09013983607292175,0.5
1,4,conv2,1,0.10422737151384354,0.09013983607292175,0.5
1,4,conv2,2,0.1432085931301117,0.09013983607292175,0.5
1,4,conv2,3,0.14036861062049866,0.09013983607292175,0.5
1,4,conv2,5,0.09164107590913773,0.09013983607292175,0.5
1,4,conv2,6,0.1011851578950882,0.09013983607292175,0.5
1,4,conv2,7,0.13222172856330872,0.09013983607292175,0.5
1,4,conv2,8,0.09952506422996521,0.09013983607292175,0.5
1,4,conv2,9,0.09748254716396332,0.09013983607292175,0.5
1,4,lstm1,4,0.12334436923265457,0.12334436923265457,0.5
1,4,lstm1,1,0.13096551597118378,0.12334436923265457,0.5
1,4,lstm1,2,0.08579621464014053,0.12334436923265457,0.5
1,4,lstm1,3,0.13570770621299744,0.12334436923265457,0.5
1,4,lstm1,5,0.1221889778971672,0.12334436923265457,0.5
1,4,lstm1,6,0.10394151508808136,0.12334436923265457,0.5
1,4,lstm1,7,0.10144393146038055,0.12334436923265457,0.5
1,4,lstm1,8,0.09754043817520142,0.12334436923265457,0.5
1,4,lstm1,9,0.09907129406929016,0.12334436923265457,0.5
1,4,lstm2,4,0.10512089729309082,0.10512089729309082,0.5
1,4,lstm2,1,0.10731833428144455,0.10512089729309082,0.5
1,4,lstm2,2,0.11178171634674072,0.10512089729309082,0.5
1,4,lstm2,3,0.08745603263378143,0.10512089729309082,0.5
1,4,lstm2,5,0.12168371677398682,0.10512089729309082,0.5
1,4,lstm2,6,0.12565156817436218,0.10512089729309082,0.5
1,4,lstm2,7,0.08687925338745117,0.10512089729309082,0.5
1,4,lstm2,8,0.09280532598495483,0.10512089729309082,0.5
1,4,lstm2,9,0.16130314767360687,0.10512089729309082,0.5
1,4,attention,4,0.10717064142227173,0.10717064142227173,0.5
1,4,attention,1,0.11419527232646942,0.10717064142227173,0.5
1,4,attention,2,0.1040467619895935,0.10717064142227173,0.5
1,4,attention,3,0.09925155341625214,0.10717064142227173,0.5
1,4,attention,5,0.10526248067617416,0.10717064142227173,0.5
1,4,attention,6,0.09869582206010818,0.10717064142227173,0.5
1,4,attention,7,0.1495877057313919,0.10717064142227173,0.5
1,4,attention,8,0.10983158648014069,0.10717064142227173,0.5
1,4,attention,9,0.11195816099643707,0.10717064142227173,0.5
1,4,fc1,4,0.11539828777313232,0.11539828777313232,0.5
1,4,fc1,1,0.09918084740638733,0.11539828777313232,0.5
1,4,fc1,2,0.08383487164974213,0.11539828777313232,0.5
1,4,fc1,3,0.17339164018630981,0.11539828777313232,0.5
1,4,fc1,5,0.09491518139839172,0.11539828777313232,0.5
1,4,fc1,6,0.07956632226705551,0.11539828777313232,0.5
1,4,fc1,7,0.12392093241214752,0.11539828777313232,0.5
1,4,fc1,8,0.12115804105997086,0.11539828777313232,0.5
1,4,fc1,9,0.10863378643989563,0.11539828777313232,0.5
1,5,conv1,5,0.12338580191135406,0.12338580191135406,0.5
1,5,conv1,1,0.09328116476535797,0.12338580191135406,0.5
1,5,conv1,2,0.16979573667049408,0.12338580191135406,0.5
1,5,conv1,3,0.1075466200709343,0.12338580191135406,0.5
1,5,conv1,4,0.08993741869926453,0.12338580191135406,0.5
1,5,conv1,6,0.07331770658493042,0.12338580191135406,0.5
1,5,conv1,7,0.098574697971344,0.12338580191135406,0.5
1,5,conv1,8,0.13523274660110474,0.12338580191135406,0.5
1,5,conv1,9,0.10892811417579651,0.12338580191135406,0.5
1,5,conv2,5,0.105608269572258,0.105608269572258,0.5
1,5,conv2,1,0.11644521355628967,0.105608269572258,0.5
1,5,conv2,2,0.10501328110694885,0.105608269572258,0.5
1,5,conv2,3,0.1398550271987915,0.105608269572258,0.5
1,5,conv2,4,0.08719727396965027,0.105608269572258,0.5
1,5,conv2,6,0.11316174268722534,0.105608269572258,0.5
1,5,conv2,7,0.1593710333108902,0.105608269572258,0.5
1,5,conv2,8,0.08273288607597351,0.105608269572258,0.5
1,5,conv2,9,0.09061519801616669,0.105608269572258,0.5
1,5,lstm1,5,0.11346559226512909,0.11346559226512909,0.5
1,5,lstm1,1,0.1246773973107338,0.11346559226512909,0.5
1,5,lstm1,2,0.08162014186382294,0.11346559226512909,0.5
1,5,lstm1,3,0.1224725991487503,0.11346559226512909,0.5
1,5,lstm1,4,0.1488543152809143,0.11346559226512909,0.5
1,5,lstm1,6,0.1293291598558426,0.11346559226512909,0.5
1,5,lstm1,7,0.09792187809944153,0.11346559226512909,0.5
1,5,lstm1,8,0.09903746098279953,0.11346559226512909,0.5
1,5,lstm1,9,0.08262147009372711,0.11346559226512909,0.5
1,5,lstm2,5,0.09967158734798431,0.09967158734798431,0.5
1,5,lstm2,1,0.10554076731204987,0.09967158734798431,0.5
1,5,lstm2,2,0.08992737531661987,0.09967158734798431,0.5
1,5,lstm2,3,0.08444887399673462,0.09967158734798431,0.5
1,5,lstm2,4,0.11575710773468018,0.09967158734798431,0.5
1,5,lstm2,6,0.11505503952503204,0.09967158734798431,0.5
1,5,lstm2,7,0.10130080580711365,0.09967158734798431,0.5
1,5,lstm2,8,0.09448449313640594,0.09967158734798431,0.5
1,5,lstm2,9,0.19381394982337952,0.09967158734798431,0.5
1,5,attention,5,0.0874398872256279,0.0874398872256279,0.5
1,5,attention,1,0.0934220477938652,0.0874398872256279,0.5
1,5,attention,2,0.13962452113628387,0.0874398872256279,0.5
1,5,attention,3,0.10455416142940521,0.0874398872256279,0.5
1,5,attention,4,0.096774622797966,0.0874398872256279,0.5
1,5,attention,6,0.07892283797264099,0.0874398872256279,0.5
1,5,attention,7,0.18003663420677185,0.0874398872256279,0.5
1,5,attention,8,0.1019330620765686,0.0874398872256279,0.5
1,5,attention,9,0.11729220300912857,0.0874398872256279,0.5
1,5,fc1,5,0.12039600312709808,0.12039600312709808,0.5
1,5,fc1,1,0.0987168699502945,0.12039600312709808,0.5
1,5,fc1,2,0.09517056494951248,0.12039600312709808,0.5
1,5,fc1,3,0.1423552930355072,0.12039600312709808,0.5
1,5,fc1,4,0.1274135708808899,0.12039600312709808,0.5
1,5,fc1,6,0.07261545956134796,0.12039600312709808,0.5
1,5,fc1,7,0.11653657257556915,0.12039600312709808,0.5
1,5,fc1,8,0.13797429203987122,0.12039600312709808,0.5
1,5,fc1,9,0.0888214036822319,0.12039600312709808,0.5
1,6,conv1,6,0.08382630348205566,0.08382630348205566,0.5
1,6,conv1,1,0.10000766068696976,0.08382630348205566,0.5
1,6,conv1,2,0.11288262903690338,0.08382630348205566,0.5
1,6,conv1,3,0.12374025583267212,0.08382630348205566,0.5
1,6,conv1,4,0.09091077744960785,0.08382630348205566,0.5
1,6,conv1,5,0.13889159262180328,0.08382630348205566,0.5
1,6,conv1,7,0.0993223786354065,0.08382630348205566,0.5
1,6,conv1,8,0.1309102177619934,0.08382630348205566,0.5
1,6,conv1,9,0.11950817704200745,0.08382630348205566,0.5
1,6,conv2,6,0.10825856029987335,0.10825856029987335,0.5
1,6,conv2,1,0.11136118322610855,0.10825856029987335,0.5
1,6,conv2,2,0.11341843008995056,0.10825856029987335,0.5
1,6,conv2,3,0.12038484215736389,0.10825856029987335,0.5
1,6,conv2,4,0.09642918407917023,0.10825856029987335,0.5
1,6,conv2,5,0.09884193539619446,0.10825856029987335,0.5
1,6,conv2,7,0.14497116208076477,0.10825856029987335,0.5
1,6,conv2,8,0.113843634724617,0.10825856029987335,0.5
1,6,conv2,9,0.09249110519886017,0.10825856029987335,0.5
