round,selected_clients,avg_local_train_loss,avg_local_val_loss,avg_local_train_task_loss,avg_local_train_rc_loss,avg_local_train_weighted_rc_loss,avg_local_train_total_loss,avg_local_train_rc_to_task_ratio,round_rc_to_task_ratio,global_rc_norm,avg_personalized_head_ratio,avg_num_personalized_head_params,avg_num_head_params,avg_head_importance_mean,h2a_alpha_mean,h2a_alpha_min,h2a_alpha_max,h2a_distance_mean,h2a_meta_loss_mean,h2a_num_refs,h2a_reference_summary,regional_val_loss,regional_val_MAE,regional_val_MSE,regional_val_RMSE,regional_val_MAPE_percent,regional_val_R2,avg_client_val_MAE,avg_client_val_MSE,avg_client_val_RMSE,avg_client_val_R2,regional_val_samples
1,9,0.010983590703948644,0.0018007577373625847,0.010983590703948644,0.0,0.0,0.010983590703948644,0.0,0.0,,0.0,0.0,353.0,0.0,0.5,0.5,0.5,0.0,1.9439548121558294,5,"client_1->[1, 2, 3, 4, 5, 6, 7, 8, 9]; client_2->[2, 1, 3, 4, 5, 6, 7, 8, 9]; client_3->[3, 1, 2, 4, 5, 6, 7, 8, 9]; client_4->[4, 1, 2, 3, 5, 6, 7, 8, 9]; client_5->[5, 1, 2, 3, 4, 6, 7, 8, 9]; client_6->[6, 1, 2, 3, 4, 5, 7, 8, 9]; client_7->[7, 1, 2, 3, 4, 5, 6, 8, 9]; client_8->[8, 1, 2, 3, 4, 5, 6, 7, 9]; client_9->[9, 1, 2, 3, 4, 5, 6, 7, 8]",0.00268950392086217,11.834878921508789,254.6073455810547,15.956420199438679,16.733624041080475,0.7089051604270935,1.718228406376309,5.585976600646973,2.279959348745549,0.6144318448172675,5211
2,9,0.0015715560905835127,0.0012027032236864136,0.0015715560905835127,0.0,0.0,0.0015715560905835127,0.0,0.0,,0.0,0.0,353.0,0.0,0.8028013838662041,0.6924218535423279,0.8863472938537598,14.321014298511077,2.4266419410705566,5,"client_1->[1, 7, 9, 5, 8]; client_2->[2, 8, 7, 5, 9]; client_3->[3, 5, 9, 1, 6]; client_4->[4, 3, 9, 7, 2]; client_5->[5, 7, 3, 9, 2]; client_6->[6, 7, 9, 4, 3]; client_7->[7, 3, 9, 5, 8]; client_8->[8, 7, 3, 9, 2]; client_9->[9, 3, 7, 2, 1]",0.001255479484167287,5.595761775970459,73.43387603759766,8.56935680419468,6.942585855722427,0.9160423874855042,1.1194757885403104,2.527119517326355,1.5526203085651102,0.8137772414419386,5211
3,9,0.0012355106428805817,0.001027871875604417,0.0012355106428805817,0.0,0.0,0.0012355106428805817,0.0,0.0,,0.0,0.0,353.0,0.0,0.650643938117557,0.6050675511360168,0.7128560543060303,6.245428956464781,4.151705318027073,5,"client_1->[1, 7, 9, 5, 8]; client_2->[2, 7, 8, 5, 9]; client_3->[3, 5, 9, 8, 2]; client_4->[4, 3, 9, 7, 2]; client_5->[5, 7, 3, 9, 2]; client_6->[6, 7, 9, 3, 4]; client_7->[7, 9, 3, 5, 8]; client_8->[8, 3, 7, 9, 2]; client_9->[9, 3, 6, 5, 4]",0.001076134341314439,5.76302433013916,56.56378173828125,7.520889690607173,7.886254787445068,0.9353301525115967,1.102702432208591,2.148919039302402,1.4335834430617367,0.8411029113663567,5211
4,9,0.0011014526790195892,0.0008918813666763756,0.0011014526790195892,0.0,0.0,0.0011014526790195892,0.0,0.0,,0.0,0.0,353.0,0.0,0.578800830576155,0.5655884146690369,0.59989333152771,3.180445920726116,4.654134935802883,5,"client_1->[1, 7, 9, 8, 5]; client_2->[2, 7, 8, 9, 5]; client_3->[3, 9, 7, 4, 5]; client_4->[4, 3, 9, 7, 2]; client_5->[5, 3, 7, 9, 2]; client_6->[6, 3, 7, 9, 4]; client_7->[7, 3, 9, 5, 8]; client_8->[8, 3, 9, 7, 2]; client_9->[9, 3, 8, 2, 7]",0.0009304736264542249,4.402074813842773,36.63950729370117,6.053057681345947,5.791104957461357,0.9581097364425659,1.0071856048372057,1.8354457086986966,1.3305293739437578,0.8603913452890184,5211
5,9,0.0010280792887589355,0.0008477806331652052,0.0010280792887589355,0.0,0.0,0.0010280792887589355,0.0,0.0,,0.0,0.0,353.0,0.0,0.5541425546010336,0.5454730987548828,0.5622018575668335,2.174525491714869,3.8097095489501953,5,"client_1->[1, 7, 9, 8, 5]; client_2->[2, 7, 8, 9, 5]; client_3->[3, 1, 6, 9, 8]; client_4->[4, 3, 9, 7, 2]; client_5->[5, 3, 7, 9, 2]; client_6->[6, 3, 7, 9, 4]; client_7->[7, 3, 9, 5, 8]; client_8->[8, 3, 9, 7, 2]; client_9->[9, 3, 8, 5, 6]",0.0008826375025052349,4.093820571899414,31.616498947143555,5.6228550530085295,5.399481952190399,0.96385258436203,0.9728792375988431,1.7096172306272719,1.2874969250795314,0.8682116799884372,5211
6,9,0.0009949666903670106,0.0008981081724521031,0.0009949666903670106,0.0,0.0,0.0009949666903670106,0.0,0.0,,0.0,0.0,353.0,0.0,0.5514213509029813,0.5441980957984924,0.5580408573150635,2.0643263835195382,3.421916921933492,5,"client_1->[1, 7, 9, 8, 5]; client_2->[2, 9, 8, 7, 5]; client_3->[3, 5, 2, 4, 7]; client_4->[4, 3, 9, 2, 7]; client_5->[5, 3, 9, 7, 2]; client_6->[6, 3, 9, 7, 4]; client_7->[7, 3, 9, 5, 8]; client_8->[8, 3, 9, 7, 2]; client_9->[9, 3, 4, 2, 1]",0.000919601212494981,4.622007369995117,35.817161560058594,5.984744068049911,6.327567994594574,0.9590499401092529,1.0023632248242695,1.7466489407751296,1.3021296693852389,0.8647647897402445,5211
7,9,0.0009643020910354404,0.0007604241942907691,0.0009643020910354404,0.0,0.0,0.0009643020910354404,0.0,0.0,,0.0,0.0,353.0,0.0,0.545895622836219,0.5404597520828247,0.5545393228530884,1.8411406251609153,3.0460289584265814,5,"client_1->[1, 8, 9, 7, 5]; client_2->[2, 9, 8, 5, 7]; client_3->[3, 1, 6, 9, 8]; client_4->[4, 3, 9, 2, 5]; client_5->[5, 3, 9, 7, 2]; client_6->[6, 3, 9, 7, 4]; client_7->[7, 3, 9, 5, 8]; client_8->[8, 3, 9, 2, 7]; client_9->[9, 3, 8, 6, 2]",0.0008627104344916869,4.245303630828857,32.45909118652344,5.697288055428077,5.733027309179306,0.9628892540931702,0.9692838721805148,1.6912144356303744,1.2777545283630998,0.8720312582121955,5211
8,9,0.0009364801400674242,0.0008059226013791576,0.0009364801400674242,0.0,0.0,0.0009364801400674242,0.0,0.0,,0.0,0.0,353.0,0.0,0.5450961059994168,0.53885418176651,0.5547834634780884,1.8089361341242491,2.9659236007266574,5,"client_1->[1, 8, 9, 7, 5]; client_2->[2, 9, 8, 5, 7]; client_3->[3, 5, 2, 9, 6]; client_4->[4, 3, 9, 2, 5]; client_5->[5, 3, 9, 2, 7]; client_6->[6, 3, 9, 4, 7]; client_7->[7, 3, 9, 5, 8]; client_8->[8, 3, 9, 2, 4]; client_9->[9, 3, 5, 7, 1]",0.0008917598268612516,4.419206142425537,33.38264465332031,5.777771599269074,5.973093956708908,0.9618333578109741,0.9869840807384915,1.6986919972631667,1.2839437241593896,0.8678880797492133,5211
9,9,0.0009189746579447244,0.0007760709213679549,0.0009189746579447244,0.0,0.0,0.0009189746579447244,0.0,0.0,,0.0,0.0,353.0,0.0,0.5444924831390381,0.5413122177124023,0.5493386387825012,1.7844731465203543,2.8611378404829235,5,"client_1->[1, 8, 9, 7, 5]; client_2->[2, 9, 8, 5, 7]; client_3->[3, 1, 4, 8, 7]; client_4->[4, 3, 9, 2, 5]; client_5->[5, 3, 9, 2, 7]; client_6->[6, 3, 9, 4, 7]; client_7->[7, 3, 9, 5, 8]; client_8->[8, 3, 9, 2, 1]; client_9->[9, 3, 8, 6, 4]",0.000850711029105333,3.61076021194458,26.11346435546875,5.110133496834378,4.579274728894234,0.9701442718505859,0.9526345398690965,1.6850427389144897,1.2702422679607872,0.873111883799235,5211
10,9,0.0009070100719937202,0.0007221315412764668,0.0009070100719937202,0.0,0.0,0.0009070100719937202,0.0,0.0,,0.0,0.0,353.0,0.0,0.5445348223050436,0.5398300886154175,0.5508748888969421,1.7862209894928027,2.9010711113611856,5,"client_1->[1, 8, 9, 5, 7]; client_2->[2, 9, 8, 5, 7]; client_3->[3, 5, 9, 2, 6]; client_4->[4, 3, 9, 2, 5]; client_5->[5, 3, 9, 2, 7]; client_6->[6, 3, 9, 4, 7]; client_7->[7, 3, 9, 5, 8]; client_8->[8, 3, 9, 2, 5]; client_9->[9, 3, 2, 1, 6]",0.000848570431394981,4.008708953857422,28.22422218322754,5.3126473799065135,5.412324517965317,0.9677309989929199,0.959821363290151,1.6354884571499295,1.2584918413717316,0.8732984529601203,5211
11,9,0.0009000559218143823,0.0007536360875988566,0.0009000559218143823,0.0,0.0,0.0009000559218143823,0.0,0.0,,0.0,0.0,353.0,0.0,0.5459070801734924,0.54109126329422,0.5514259934425354,1.8415415391203471,2.7077922026316323,5,"client_1->[1, 8, 9, 5, 7]; client_2->[2, 9, 8, 5, 7]; client_3->[3, 1, 9, 5, 8]; client_4->[4, 3, 9, 2, 5]; client_5->[5, 3, 9, 2, 4]; client_6->[6, 3, 9, 4, 7]; client_7->[7, 3, 9, 8, 5]; client_8->[8, 3, 9, 2, 6]; client_9->[9, 3, 8, 5, 2]",0.0008793197225911907,3.99454665184021,29.737316131591797,5.453193205048928,5.28511218726635,0.966001033782959,0.9747035370932685,1.7290244433614943,1.2877677554131859,0.8697883950339423,5211
