timestamp,gc,gg,net_load,temp2m_c,wind10m_ms
2010-07-01 10:00:00,118.68699999999998,68.04599999999999,50.640999999999984,10.891191270616321,2.7500116957558527
2010-07-01 10:30:00,110.94300000000001,82.408,28.535000000000004,11.673590766059029,2.656353990236918
2010-07-01 11:00:00,113.04499999999999,83.54100000000001,29.503999999999998,12.455990261501734,2.5626962847179837
2010-07-01 11:30:00,108.60599999999998,101.885,6.721000000000004,12.954315185546877,2.412505202823215
2010-07-01 12:00:00,98.49499999999999,106.28600000000002,-7.790999999999997,13.452640109592013,2.2623141209284463
2010-07-01 12:30:00,97.99499999999999,107.59,-9.594999999999997,13.791144476996529,2.0527894298235574
2010-07-01 13:00:00,92.105,103.34,-11.234999999999998,14.129648844401043,1.8432647387186687
2010-07-01 13:30:00,81.77200000000002,100.54700000000003,-18.775,14.326956854926216,1.6207043561670516
2010-07-01 14:00:00,80.45599999999999,86.816,-6.3599999999999985,14.52426486545139,1.3981439736154344
2010-07-01 14:30:00,75.87499999999999,70.67699999999999,5.197999999999999,14.554997762044271,1.2254373696115282
2010-07-01 15:00:00,76.415,49.47700000000001,26.938,14.585730658637155,1.052730765607622
2010-07-01 15:30:00,78.54,29.101,49.43900000000001,14.394795735677084,0.8471627351310518
2010-07-01 16:00:00,95.0,16.172,78.82800000000002,14.203860812717013,0.6415947046544817
2010-07-01 16:30:00,119.54599999999999,4.263,115.283,14.156753540039062,0.6614178319772085
2010-07-01 17:00:00,162.34099999999998,0.387,161.954,14.10964626736111,0.6812409592999352
2010-07-01 17:30:00,199.98399999999998,0.006,199.97799999999998,13.583134969075521,0.8798336635033289
2010-07-01 18:00:00,239.007,0.037000000000000005,238.96999999999997,13.056623670789932,1.0784263677067227
2010-07-01 18:30:00,232.136,0.008,232.12800000000001,12.569498697916666,1.2582329114278157
2010-07-01 19:00:00,222.733,0.018000000000000002,222.715,12.082373725043402,1.4380394551489089
2010-07-01 19:30:00,222.162,0.032,222.13000000000002,11.825185139973957,1.5204526484012604
2010-07-01 20:00:00,224.755,0.037000000000000005,224.718,11.567996554904513,1.602865841653612
2010-07-01 20:30:00,208.34000000000003,0.013000000000000001,208.32700000000003,10.975297715928821,1.7096332708994548
2010-07-01 21:00:00,194.273,0.0,194.273,10.382598876953123,1.8164007001452975
2010-07-01 21:30:00,183.74599999999998,0.018000000000000002,183.728,9.844129774305555,2.022478746043311
2010-07-01 22:00:00,166.47,0.001,166.469,9.305660671657986,2.2285567919413247
2010-07-01 22:30:00,143.25199999999998,0.032,143.22,9.330422295464409,2.361372854974535
2010-07-01 23:00:00,121.76400000000001,0.006,121.75800000000001,9.355183919270834,2.494188918007745
2010-07-01 23:30:00,101.017,0.031,100.98599999999999,9.392152574327257,2.593378828631507
2010-07-02 00:00:00,82.625,0.012,82.613,9.429121229383679,2.6925687392552695
2010-07-02 00:30:00,70.86,0.006,70.854,9.40390353732639,2.7339939872423806
2010-07-02 01:00:00,67.545,0.006,67.539,9.378685845269098,2.775419235229492
2010-07-02 01:30:00,59.333,0.018000000000000002,59.315,9.350372314453123,2.762575387954712
2010-07-02 02:00:00,58.441,0.006,58.435,9.322058783637154,2.7497315406799316
2010-07-02 02:30:00,58.739,0.012,58.727,9.243425157335068,2.733639571401808
2010-07-02 03:00:00,57.456999999999994,0.006,57.451,9.164791531032987,2.7175476021236844
2010-07-02 03:30:00,57.478,0.024,57.454,9.071172078450521,2.703722357749939
2010-07-02 04:00:00,54.07799999999999,0.024,54.054,8.977552625868055,2.6898971133761935
2010-07-02 04:30:00,59.074000000000005,0.012,59.062000000000005,8.885235256618923,2.650626116328769
2010-07-02 05:00:00,60.012,0.024,59.988,8.792917887369791,2.611355119281345
2010-07-02 05:30:00,72.599,0.018000000000000002,72.581,8.755516899956596,2.5229930215411716
2010-07-02 06:00:00,79.916,0.03,79.886,8.718115912543404,2.434630923800998
2010-07-02 06:30:00,97.89299999999999,0.03,97.86299999999999,8.696712917751736,2.3711487187279596
2010-07-02 07:00:00,118.564,0.018000000000000002,118.54599999999999,8.67530992296007,2.3076665136549206
2010-07-02 07:30:00,136.359,0.10300000000000001,136.256,8.827041625976562,2.2099834945466785
2010-07-02 08:00:00,153.779,3.129,150.65,8.978773328993055,2.112300475438436
2010-07-02 08:30:00,147.17000000000002,10.858,136.312,9.546798706054688,2.0358934270011053
2010-07-02 09:00:00,129.85000000000002,20.474000000000004,109.376,10.114824083116321,1.959486378563775
2010-07-02 09:30:00,125.352,25.979000000000003,99.373,10.775200737847221,1.9239343073632982
2010-07-02 10:00:00,128.08399999999997,25.746000000000002,102.33799999999998,11.435577392578123,1.8883822361628215
2010-07-02 10:30:00,120.201,25.490000000000002,94.71100000000001,11.925520155164932,1.7552291817135282
2010-07-02 11:00:00,117.96599999999998,27.592,90.37400000000001,12.415462917751734,1.6220761272642348
2010-07-02 11:30:00,115.31499999999998,27.56,87.755,12.766832139756945,1.6238125827577379
2010-07-02 12:00:00,113.768,27.986,85.78199999999998,13.118201361762154,1.625549038251241
2010-07-02 12:30:00,114.207,27.352000000000004,86.85499999999999,13.330820719401043,1.5973082383473713
2010-07-02 13:00:00,114.32099999999998,27.25,87.071,13.543440077039932,1.5690674384435017
