datetime_utc_start,datetime_utc_end,datetime_nem_start,datetime_nem_end,REGION,rrp_aud_per_mwh,total_demand_mw,SETTLEMENTDATE,PERIODTYPE
2010-07-01 15:30:00+00:00,2010-07-01 16:00:00+00:00,2010-07-02 01:30:00+10:00,2010-07-02 02:00:00+10:00,NSW1,29.18,9019.79,2010-07-02 02:00:00,TRADE
2010-07-01 16:00:00+00:00,2010-07-01 16:30:00+00:00,2010-07-02 02:00:00+10:00,2010-07-02 02:30:00+10:00,NSW1,27.51,8558.0,2010-07-02 02:30:00,TRADE
2010-07-01 16:30:00+00:00,2010-07-01 17:00:00+00:00,2010-07-02 02:30:00+10:00,2010-07-02 03:00:00+10:00,NSW1,24.87,8197.92,2010-07-02 03:00:00,TRADE
2010-07-01 17:00:00+00:00,2010-07-01 17:30:00+00:00,2010-07-02 03:00:00+10:00,2010-07-02 03:30:00+10:00,NSW1,23.12,7906.59,2010-07-02 03:30:00,TRADE
2010-07-01 17:30:00+00:00,2010-07-01 18:00:00+00:00,2010-07-02 03:30:00+10:00,2010-07-02 04:00:00+10:00,NSW1,21.8,7791.72,2010-07-02 04:00:00,TRADE
2010-07-01 18:00:00+00:00,2010-07-01 18:30:00+00:00,2010-07-02 04:00:00+10:00,2010-07-02 04:30:00+10:00,NSW1,20.82,7696.25,2010-07-02 04:30:00,TRADE
2010-07-01 18:30:00+00:00,2010-07-01 19:00:00+00:00,2010-07-02 04:30:00+10:00,2010-07-02 05:00:00+10:00,NSW1,21.68,7778.99,2010-07-02 05:00:00,TRADE
2010-07-01 19:00:00+00:00,2010-07-01 19:30:00+00:00,2010-07-02 05:00:00+10:00,2010-07-02 05:30:00+10:00,NSW1,24.31,8091.57,2010-07-02 05:30:00,TRADE
2010-07-01 19:30:00+00:00,2010-07-01 20:00:00+00:00,2010-07-02 05:30:00+10:00,2010-07-02 06:00:00+10:00,NSW1,25.38,8613.64,2010-07-02 06:00:00,TRADE
2010-07-01 20:00:00+00:00,2010-07-01 20:30:00+00:00,2010-07-02 06:00:00+10:00,2010-07-02 06:30:00+10:00,NSW1,26.46,9527.81,2010-07-02 06:30:00,TRADE
2010-07-01 20:30:00+00:00,2010-07-01 21:00:00+00:00,2010-07-02 06:30:00+10:00,2010-07-02 07:00:00+10:00,NSW1,27.78,10462.07,2010-07-02 07:00:00,TRADE
2010-07-01 21:00:00+00:00,2010-07-01 21:30:00+00:00,2010-07-02 07:00:00+10:00,2010-07-02 07:30:00+10:00,NSW1,26.38,11035.58,2010-07-02 07:30:00,TRADE
2010-07-01 21:30:00+00:00,2010-07-01 22:00:00+00:00,2010-07-02 07:30:00+10:00,2010-07-02 08:00:00+10:00,NSW1,34.15,11643.4,2010-07-02 08:00:00,TRADE
