missing_datetime_utc_start
2013-06-30 14:00:00+00:00
2013-06-30 14:30:00+00:00
2013-06-30 15:00:00+00:00
2013-06-30 15:30:00+00:00
2013-06-30 16:00:00+00:00
2013-06-30 16:30:00+00:00
2013-06-30 17:00:00+00:00
2013-06-30 17:30:00+00:00
2013-06-30 18:00:00+00:00
2013-06-30 18:30:00+00:00
2013-06-30 19:00:00+00:00
2013-06-30 19:30:00+00:00
2013-06-30 20:00:00+00:00
2013-06-30 20:30:00+00:00
2013-06-30 21:00:00+00:00
2013-06-30 21:30:00+00:00
2013-06-30 22:00:00+00:00
2013-06-30 22:30:00+00:00
2013-06-30 23:00:00+00:00
2013-06-30 23:30:00+00:00
