timestamp
2010-07-01 00:30:00
2010-07-01 01:00:00
2010-07-01 01:30:00
2010-07-01 02:00:00
2010-07-01 02:30:00
2010-07-01 03:00:00
2010-07-01 03:30:00
2010-07-01 04:00:00
2010-07-01 04:30:00
2010-07-01 05:00:00
2010-07-01 05:30:00
2010-07-01 06:00:00
2010-07-01 06:30:00
2010-07-01 07:00:00
2010-07-01 07:30:00
2010-07-01 08:00:00
2010-07-01 08:30:00
2010-07-01 09:00:00
2010-07-01 09:30:00
2010-10-03 02:00:00
2010-10-03 02:30:00
2011-04-03 02:00:00
2011-04-03 02:30:00
2011-10-02 02:00:00
2011-10-02 02:30:00
2012-04-01 02:00:00
2012-04-01 02:30:00
2012-10-07 02:00:00
2012-10-07 02:30:00
2013-04-07 02:00:00
2013-04-07 02:30:00
2013-06-30 14:30:00
2013-06-30 15:00:00
2013-06-30 15:30:00
2013-06-30 16:00:00
2013-06-30 16:30:00
2013-06-30 17:00:00
2013-06-30 17:30:00
2013-06-30 18:00:00
2013-06-30 18:30:00
2013-06-30 19:00:00
2013-06-30 19:30:00
2013-06-30 20:00:00
2013-06-30 20:30:00
2013-06-30 21:00:00
2013-06-30 21:30:00
2013-06-30 22:00:00
2013-06-30 22:30:00
2013-06-30 23:00:00
2013-06-30 23:30:00
2013-07-01 00:00:00
