component,MAE,MSE,RMSE,MAPE_percent,R2
gc_model_regional,5.427138805389404,50.22307205200195,7.086823833848415,6.939281523227692,0.9482128620147705
gg_model_regional,1.9250253438949585,13.735278129577637,3.7061136153088503,161832137.5,0.9905747771263123
indirect_net_load_regional,5.8772783279418945,61.861392974853516,7.865201394424272,43.04606020450592,0.9779535531997681
