round,selected_clients,avg_local_train_loss,avg_local_val_loss,avg_local_train_task_loss,avg_local_train_rc_loss,avg_local_train_weighted_rc_loss,avg_local_train_total_loss,avg_local_train_rc_to_task_ratio,round_rc_to_task_ratio,global_rc_norm,avg_personalized_head_ratio,avg_num_personalized_head_params,avg_num_head_params,avg_head_importance_mean,regional_val_loss,regional_val_MAE,regional_val_RMSE,regional_val_MAPE_percent,regional_val_R2,avg_client_val_MAE,avg_client_val_RMSE,avg_client_val_R2,regional_val_samples
1,9,0.0014509805489818475,0.0012208583897621939,0.0014509805489818475,0.0,0.0,0.0014509805489818475,0.0,0.0,1.2998569011688232,0.3002832861189802,106.0,353.0,1.4559318212074382e-05,0.002307365337113997,12.367905616760254,14.951512105248701,17.984241247177124,0.7444158792495728,1.6981976694530911,2.119735206438205,0.660020026895735,5211
2,9,0.0013386363884158386,0.0011576000186921103,0.0013386363884158386,3.056849481678512e-05,0.00030568494816785106,0.0016443213357304688,0.2305113056041169,0.22835547470904144,1.2984943389892578,0.3002832861189802,106.0,353.0,0.00010455712779528565,0.0014942999171548075,5.599704742431641,8.503066014846176,6.848902255296707,0.9173363447189331,1.2460694975323148,1.701545874013467,0.7744768857955933,5211
3,9,0.0011401795628284614,0.0009184164820649483,0.0011401795628284614,1.7889573458863614e-05,0.00017889573458863614,0.0013190752969374788,0.15988949587639198,0.15690136910360444,1.2965055704116821,0.3002832861189802,106.0,353.0,6.737527938740741e-05,0.0012553889735661674,4.97274112701416,6.975760043173191,6.055905669927597,0.9443652033805847,1.1655844449996948,1.5497636236872319,0.8065252701441447,5211
4,9,0.0010081798556869064,0.0008357112346769666,0.0010081798556869064,1.1099478319860611e-05,0.0001109947831986061,0.0011191746378016586,0.11170203735442902,0.11009422818995668,1.2939658164978027,0.3002832861189802,106.0,353.0,2.9850180605232406e-05,0.0010396919396068421,3.872093677520752,5.399840507977683,4.917478188872337,0.9666630625724792,1.058352318074968,1.3979462455493326,0.8405958149168227,5211
5,9,0.0009409819262076795,0.0008410106639166393,0.0009409819262076795,8.81673507622174e-06,8.816735076221742e-05,0.0010291492766147541,0.09543353781951576,0.09369717761089202,1.2953320741653442,0.3002832861189802,106.0,353.0,1.746284932677453e-05,0.0013104996366888584,3.802605152130127,5.347502523014138,4.7692954540252686,0.9673061966896057,1.213947316010793,1.5499452729011833,0.7945172256893582,5211
6,9,0.0008965715974555179,0.0007483136374111178,0.0008965715974555179,6.74645677291393e-06,6.746456772913931e-05,0.0009640361647412073,0.07643954687057858,0.0752472728841259,1.2949047088623047,0.3002832861189802,106.0,353.0,1.509488255477562e-05,0.001122451055058598,3.511214256286621,4.8798539865255774,4.4606272131204605,0.9727743864059448,1.117425070868598,1.4407747613862583,0.8274115588929918,5211
7,9,0.0008842749305468733,0.0007609166907804946,0.0008842749305468733,6.314837256596483e-06,6.314837256596483e-05,0.0009474233034497818,0.07301085298153596,0.07141260066651282,1.292689561843872,0.3002832861189802,106.0,353.0,1.2205894007719406e-05,0.0012437899846167936,3.662569284439087,4.9820851773362325,4.682165756821632,0.9716217517852783,1.1987029512723286,1.5138783882147537,0.8164960079722934,5211
8,9,0.0008604761228351655,0.0007410992716259839,0.0008604761228351655,5.033625916212353e-06,5.033625916212353e-05,0.0009108123816976744,0.06034225726718851,0.058498147441643646,1.292857050895691,0.3002832861189802,106.0,353.0,9.062613874751454e-06,0.0012413346798284446,3.5151407718658447,4.764801654670382,4.505431652069092,0.974043071269989,1.1810539563496907,1.4979710331782006,0.8060541616545783,5211
9,9,0.000855208495528766,0.0007217758197443917,0.000855208495528766,4.76337708866717e-06,4.763377088667169e-05,0.0009028422665285538,0.05717137209332358,0.05569843035939654,1.289513349533081,0.3002832861189802,106.0,353.0,8.233517494065583e-06,0.0011083239332741854,3.528714895248413,4.8940836708639335,4.4098034501075745,0.9726154208183289,1.1238474647204082,1.4380986456707716,0.8326758609877692,5211
10,9,0.0008459614430211057,0.0007514760506905633,0.0008459614430211057,4.223539334673817e-06,4.2235393346738175e-05,0.0008881968367068867,0.051271734383321346,0.049925908143024604,1.2922074794769287,0.3002832861189802,106.0,353.0,7.994473940521453e-06,0.001198588078869368,3.3118174076080322,4.484825829363562,4.312237352132797,0.9770038723945618,1.1657349401050143,1.4766482159549008,0.8172256218062507,5211
