layer_name,mean_selected_ratio,mean_selected_importance_mean,mean_unselected_importance_mean,mean_importance_gap_ratio,mean_importance_selected_share,mean_layer_jaccard,mean_layer_hamming
attention,0.12737268518518513,1.540800878583596e-05,7.597190936010301e-08,196.71543243558858,0.9420418063767803,0.6684845683916948,0.05013463720087967
fc1,0.05213844797178126,2.4695194835969997e-06,6.709946410574058e-08,43.88301935612997,0.6443499797875097,0.4590152036930306,0.039800643107839026
lstm2,0.09729861111111111,4.3695060283035754e-06,9.271719268735092e-08,48.58071613961907,0.8319381896351385,0.4794061446794598,0.06853918660254701
