rank_by_avg_client_RMSE,experiment_id,experiment_name,head_prefixes,head_exact_names,tau,use_ema,ema_beta,warmup_rounds,mask_update_interval,rc_lambda,save_dir,checkpoint_dir,regional_MAE,regional_MSE,regional_RMSE,regional_MAPE_percent,regional_R2,avg_client_MAE,avg_client_MSE,avg_client_RMSE,avg_client_MAPE_percent,avg_client_R2,best_round_by_avg_client_val_RMSE,best_avg_client_val_RMSE,best_regional_val_RMSE,final_round_avg_client_val_RMSE,final_round_regional_val_RMSE,mean_rc_rg_l2,last_rc_rg_l2,mean_head_jaccard,mean_head_hamming,mean_importance_gap_ratio,mean_importance_selected_share
1,E5_fc1weight_tau0p05_ema0p8,gc_head8_E5_fc1weight_tau0p05_ema0p8_lambda1p0,,fc1.weight,0.05,True,0.8,5,1,1.0,runs/gc_head_8exp_compare\results\gc_head8_E5_fc1weight_tau0p05_ema0p8_lambda1p0,runs/gc_head_8exp_compare\checkpoints\gc_head8_E5_fc1weight_tau0p05_ema0p8_lambda1p0,3.5417356491088867,22.20139503479004,4.711835633252718,4.5007165521383286,0.9771071672439575,0.9773957596884834,1.7192957136366103,1.2977911699525055,11.562107917335299,0.8782485524813334,19,1.1611680458470974,4.444267163449694,1.1791986190698518,4.822553957434098,0.02883107895548968,0.012450096249166423,0.8931970448998312,0.005853174701480842,36.825355466985,0.6243025047160867
2,E2_fc1_tau0p05_ema0p8,gc_head8_E2_fc1_tau0p05_ema0p8_lambda1p0,fc1,,0.05,True,0.8,5,1,1.0,runs/gc_head_8exp_compare\results\gc_head8_E2_fc1_tau0p05_ema0p8_lambda1p0,runs/gc_head_8exp_compare\checkpoints\gc_head8_E2_fc1_tau0p05_ema0p8_lambda1p0,3.544788122177124,22.025712966918945,4.693155970870662,4.52151820063591,0.9772883653640747,0.9778328869077895,1.719708588388231,1.2980369917961627,11.570119278298485,0.8781778216362,19,1.1587860271035115,4.4324673335059845,1.1761279199722814,4.797575958429871,0.028788250920155765,0.012936452403664535,0.8850996538966462,0.006377551157677868,37.116515608456204,0.6299843476006559
3,E1_fc1_tau0p05_noema,gc_head8_E1_fc1_tau0p05_noema_lambda1p0,fc1,,0.05,False,,5,1,1.0,runs/gc_head_8exp_compare\results\gc_head8_E1_fc1_tau0p05_noema_lambda1p0,runs/gc_head_8exp_compare\checkpoints\gc_head8_E1_fc1_tau0p05_noema_lambda1p0,3.5711159706115723,22.40110206604004,4.732980252023036,4.547718912363052,0.9769012928009033,0.9794001579284668,1.7333924969037373,1.3015281778260164,11.49967751569218,0.8769525421990289,19,1.1572516425768145,4.488762068661873,1.1750646320301812,4.862494053383454,0.02907726125946885,0.012233548642446544,0.5283323344325739,0.032501890460797926,44.560585602862155,0.6547891741473939
4,E6_attention_lstm2_fc1_tau0p10_noema,gc_head8_E6_attention_lstm2_fc1_tau0p10_noema_lambda1p0,"attention,lstm2,fc1",,0.1,False,,5,1,1.0,runs/gc_head_8exp_compare\results\gc_head8_E6_attention_lstm2_fc1_tau0p10_noema_lambda1p0,runs/gc_head_8exp_compare\checkpoints\gc_head8_E6_attention_lstm2_fc1_tau0p10_noema_lambda1p0,3.550025463104248,22.328479766845703,4.725302082073241,4.508271813392639,0.9769761562347412,0.9823970529768202,1.7379265758726332,1.303079108767339,11.579111135668224,0.8766160276201036,19,1.153958269112851,4.510880350266878,1.1753905280429824,4.9533562350524525,0.02895105995962185,0.011320719857596633,0.5247240710289347,0.06263967668489799,82.11815803111111,0.8897528709862115
5,E4_fc1weight_tau0p05_noema,gc_head8_E4_fc1weight_tau0p05_noema_lambda1p0,,fc1.weight,0.05,False,,5,1,1.0,runs/gc_head_8exp_compare\results\gc_head8_E4_fc1weight_tau0p05_noema_lambda1p0,runs/gc_head_8exp_compare\checkpoints\gc_head8_E4_fc1weight_tau0p05_noema_lambda1p0,3.5404186248779297,22.14150619506836,4.705476192168903,4.5017629861831665,0.9771689176559448,0.9810241262118021,1.7423454456859164,1.3046106373554829,11.522501789861256,0.8761965698666043,19,1.157865170628475,4.482264856318455,1.185113670939319,5.059222255236556,0.028936695977528012,0.0114825607484413,0.540850844936573,0.031150794004104886,43.20852224131639,0.6484612790701508
6,E7_attention_tau0p10_noema,gc_head8_E7_attention_tau0p10_noema_lambda1p0,attention,,0.1,False,,5,1,1.0,runs/gc_head_8exp_compare\results\gc_head8_E7_attention_tau0p10_noema_lambda1p0,runs/gc_head_8exp_compare\checkpoints\gc_head8_E7_attention_tau0p10_noema_lambda1p0,3.49639630317688,21.680625915527344,4.656245903678987,4.4469203799963,0.9776442050933838,0.9965004589822557,1.7705388731426663,1.315497532917967,11.831386387348175,0.874341971344418,19,1.1722906460051494,4.52237880091008,1.2023955761656484,5.092977828023432,0.028948207983436645,0.011598185066961511,0.6876949118731338,0.037893282382615974,115.56471886730455,0.9134294359870642
7,E8_lstm2_tau0p10_noema,gc_head8_E8_lstm2_tau0p10_noema_lambda1p0,lstm2,,0.1,False,,5,1,1.0,runs/gc_head_8exp_compare\results\gc_head8_E8_lstm2_tau0p10_noema_lambda1p0,runs/gc_head_8exp_compare\checkpoints\gc_head8_E8_lstm2_tau0p10_noema_lambda1p0,3.5551366806030273,22.351404190063477,4.7277271695883085,4.522555321455002,0.9769524931907654,1.0022161801656086,1.7865174611409504,1.3212441278938956,11.92434603969256,0.8731141686439514,19,1.1723596962689653,4.525856122543863,1.2016226322499253,5.082531704257266,0.02898785486144734,0.012079895680977202,0.48419932304151264,0.06997023818511806,48.439635865606505,0.8360423227625173
8,E3_fc1_tau0p30_noema,gc_head8_E3_fc1_tau0p30_noema_lambda1p0,fc1,,0.3,False,,5,1,1.0,runs/gc_head_8exp_compare\results\gc_head8_E3_fc1_tau0p30_noema_lambda1p0,runs/gc_head_8exp_compare\checkpoints\gc_head8_E3_fc1_tau0p30_noema_lambda1p0,4.371236324310303,34.03947448730469,5.834335822294144,5.502229556441307,0.9649004340171814,1.0652854310141668,2.0527332756254406,1.4167788905474479,12.447254028585222,0.8544019129541185,5,1.2774359394462742,5.672032377723642,1.4150219874391776,4.885017080443087,0.04472646241904129,0.012535764266633278,0.7092048190041662,0.10367063701980644,772.9919571196152,0.9933021983768163
