epoch,train_loss,train_gg_loss,train_gc_reconstruction_loss,val_loss,val_gg_loss,val_gc_reconstruction_loss,val_gg_MAE,val_gg_MSE,val_gg_RMSE,val_gg_MAPE_percent,val_gg_R2,val_gc_MAE,val_gc_MSE,val_gc_RMSE,val_gc_MAPE_percent,val_gc_R2,best_val_gg_RMSE
1,11.25886776603585,11.25886776603585,11.258867830055811,3.4670585055138843,3.4670585055138843,3.467058532615228,1.085005521774292,3.4670586585998535,1.8620039362471428,204330512.5,0.8730958700180054,1.085005521774292,3.4670586585998535,1.8620039362471428,13.252396881580353,0.3617445230484009,1.8620039362471428
2,2.11025356901235,2.11025356901235,2.1102535732800636,2.174859306596208,2.174859306596208,2.174859315385833,0.7968901991844177,2.1748595237731934,1.474740493704975,91487193.75,0.9203940033912659,0.7968901991844177,2.1748595237731934,1.474740493704975,9.665516763925552,0.5996272563934326,1.474740493704975
3,1.7207588687307407,1.7207588687307407,1.7207588730169046,2.8757536114635553,2.8757536114635553,2.8757536543129776,0.9510374069213867,2.87575364112854,1.6958047178636284,116769512.5,0.8947392702102661,0.9510374069213867,2.87575364112854,1.6958047178636284,12.335153669118881,0.4705986976623535,1.474740493704975
4,1.6192483652187852,1.6192483652187852,1.6192483740125176,1.6454784789576142,1.6454784789576142,1.6454785053264893,0.678289532661438,1.645478367805481,1.282762007468837,64542287.5,0.9397708177566528,0.678289532661438,1.64547860622406,1.2827621004005614,8.285815268754959,0.6970816850662231,1.282762007468837
5,1.4672389648657633,1.4672389648657633,1.4672389638495735,1.8878399120864047,1.8878399120864047,1.8878399003669046,0.7192861437797546,1.887839913368225,1.3739868679751728,59059137.5,0.9308997392654419,0.7192861437797546,1.887839913368225,1.3739868679751728,9.00074616074562,0.6524650454521179,1.282762007468837
6,1.4080230943060468,1.4080230943060468,1.4080231031735806,1.5958397710744503,1.5958397710744503,1.5958397787653722,0.6745819449424744,1.5958398580551147,1.2632655532607207,51178156.25,0.9415877461433411,0.6745819449424744,1.5958396196365356,1.263265458894739,8.280304074287415,0.7062197923660278,1.2632655532607207
7,1.3884524279816803,1.3884524279816803,1.388452421441732,2.6633382825075023,2.6633382825075023,2.663338235629502,0.907002866268158,2.6633384227752686,1.631973781276914,77726100.0,0.9025142788887024,0.907002866268158,2.6633384227752686,1.631973781276914,11.600078642368317,0.5097024440765381,1.2632655532607207
8,1.3701272649470035,1.3701272649470035,1.3701272706495886,1.5050337065566337,1.5050337065566337,1.5050337153462587,0.6638668179512024,1.5050337314605713,1.2267981624784785,49457400.0,0.9449114799499512,0.6638668179512024,1.5050337314605713,1.2267981624784785,8.085110783576965,0.7229363322257996,1.2267981624784785
9,1.3124566756269236,1.3124566756269236,1.3124566810676552,1.5328625526662614,1.5328625526662614,1.5328625449753395,0.6591804623603821,1.5328625440597534,1.2380882618213265,48297628.125,0.9438928961753845,0.6591804623603821,1.5328625440597534,1.2380882618213265,8.136527985334396,0.71781325340271,1.2267981624784785
10,1.2841415910956957,1.2841415910956957,1.284141600532486,2.2897149870106337,2.2897149870106337,2.2897149928703837,0.8258251547813416,2.289715051651001,1.513180442528584,53624381.25,0.916189968585968,0.8258250951766968,2.289715051651001,1.513180442528584,10.45626476407051,0.5784832835197449,1.2267981624784785
11,1.308473353278402,1.308473353278402,1.308473365650088,1.4643450471845822,1.4643450471845822,1.4643450618339573,0.644116222858429,1.4643449783325195,1.210101226481702,43547015.625,0.9464008212089539,0.644116222858429,1.464345097541809,1.2101012757376173,7.815157622098923,0.7304267883300781,1.210101226481702
12,1.2680808801608365,1.2680808801608365,1.2680808849302585,1.5851913758320377,1.5851913758320377,1.585191392678819,0.6807563900947571,1.5851913690567017,1.2590438312690713,45649375.0,0.9419775009155273,0.6807563900947571,1.5851913690567017,1.2590438312690713,8.271878212690353,0.7081800103187561,1.210101226481702
13,1.245590475678265,1.245590475678265,1.2455904814454264,1.4694206751253565,1.4694206751253565,1.4694206820838096,0.6406488418579102,1.4694206714630127,1.212196630692815,39453400.0,0.946215033531189,0.6406488418579102,1.4694206714630127,1.212196630692815,7.910698652267456,0.7294924259185791,1.210101226481702
14,1.2435247539823917,1.2435247539823917,1.243524764666578,1.6620093552930746,1.6620093552930746,1.6620093611528248,0.69105064868927,1.6620092391967773,1.2891893728994113,43091437.5,0.9391657710075378,0.69105064868927,1.6620092391967773,1.2891893728994113,8.256427943706512,0.6940385103225708,1.210101226481702
15,1.2591422315347471,1.2591422315347471,1.2591422347493701,1.8049627529677523,1.8049627529677523,1.8049627178092522,0.7069839239120483,1.8049627542495728,1.343489022749934,43389737.5,0.9339332580566406,0.7069838643074036,1.8049627542495728,1.343489022749934,8.839547634124756,0.6677219867706299,1.210101226481702
16,1.2190433350291074,1.2190433350291074,1.2190433393890727,1.9606982187558246,1.9606982187558246,1.9606982284610355,0.7639426589012146,1.9606982469558716,1.4002493517069992,68698506.25,0.9282329082489014,0.7639426589012146,1.9606982469558716,1.4002493517069992,9.72701981663704,0.6390524506568909,1.210101226481702
17,1.2454959316698118,1.2454959316698118,1.245495940799199,1.5105113038269606,1.5105113038269606,1.5105112950373356,0.6474974751472473,1.5105112791061401,1.2290285916552715,43040765.625,0.9447110295295715,0.6474974751472473,1.5105111598968506,1.2290285431579084,7.977326214313507,0.7219280004501343,1.210101226481702
