epoch,train_loss,val_loss,val_r2
1,0.03531793077530542,0.0042143226145397485,0.7217534780502319
2,0.003182645030242623,0.0016791213663094535,0.8891376852989197
3,0.001657467673452079,0.0012153510309785174,0.9197576642036438
4,0.001081648668622574,0.0008267772378965818,0.9454128742218018
5,0.0008207625220582615,0.000669222582647844,0.9558152556419373
6,0.0005767504685443804,0.0004539015218978895,0.9700316190719604
7,0.0005039313198020233,0.0004327818818911738,0.9714260101318359
8,0.00042805424085397606,0.0003457305322265587,0.9771735072135925
9,0.0003728586475590977,0.0003472677260521733,0.97707200050354
10,0.00036101419900976174,0.00034756336913979057,0.9770524501800537
11,0.0003465098628708066,0.00028325872079781395,0.9812981486320496
12,0.00032255408027547216,0.0002805586801107744,0.981476366519928
13,0.0003059778483170024,0.00031832086050296996,0.9789831638336182
14,0.00029204847817055485,0.00024538238784989997,0.9837988615036011
15,0.00029214955895564345,0.00026679469775082705,0.9823851585388184
16,0.00027763370795825523,0.00024386081477069748,0.9838993549346924
17,0.00027219799561248976,0.0002945970058010613,0.9805495142936707
18,0.000260455728745737,0.0002376586249212255,0.9843088388442993
19,0.0002502501143213769,0.0002154751914049321,0.9857734441757202
20,0.00026042709317046096,0.00021212324861758495,0.9859947562217712
