epoch,train_total_loss,train_f1_ste,train_f1_fourier,train_f1_mse,train_f2_ste,train_f2_fourier,train_f2_mse,train_f3_mse,val_total_loss,val_f1_ste,val_f1_fourier,val_f1_mse,val_f2_ste,val_f2_fourier,val_f2_mse,val_f3_mse
1,0.1642864150470129,0.06311933563277099,0.3833624308877473,0.027536769496670905,0.051151379671615614,0.29277620322895775,0.024304177189324146,0.05001569980503807,0.030097274286302222,0.010433488961206664,0.04257126562639114,0.006862624875904952,0.010242663990330258,0.039144804467666404,0.007031315182896747,0.00942112169362354
2,0.023890199880432735,0.0066231381146349,0.030507103274398727,0.003969364239618069,0.006462961093017441,0.02877189158831339,0.003984191090749136,0.010804100793348556,0.01153253612680993,0.0024792559883508843,0.011729327024783746,0.0014514703408954523,0.0024460806826055504,0.011515287856147012,0.0014383910403270787,0.006607199455141474
3,0.013076951041096383,0.003073015095471812,0.01425986469732748,0.0018300318381000663,0.0029795599899123024,0.013702256488649799,0.0017881492905036864,0.00702437596806829,0.0073651043464648975,0.0019434268489502804,0.009681055365010686,0.001083690371928275,0.0018821888801211703,0.009528611453438024,0.0010325863760887483,0.0035394885611438423
4,0.008855875133450342,0.0024403768516792837,0.01132522602789768,0.0014531714071079,0.0022885695123312606,0.010813093047682326,0.0013414002371614413,0.004126928768935583,0.004803455132842975,0.001484644272441574,0.00718479310603818,0.0008512944026155232,0.001353256590949195,0.006765590900902719,0.0007518861171880606,0.001965554297933019
5,0.006307955457450412,0.002021678209534022,0.009593819080701727,0.0011803292351279767,0.0017855979162310783,0.00863111450671029,0.001024984980888144,0.002500679318210047,0.004090212954817744,0.0014081799577557075,0.0069461646546760646,0.0007928483259710355,0.0012812395423468465,0.006544981684410426,0.0006963793195097704,0.0014007934212502354
6,0.005348570537873417,0.001796848343162704,0.008562683349386657,0.0010450889129133437,0.0015827358729158351,0.0078009993015167685,0.0008918177228782478,0.001968986310447286,0.003642774560127054,0.0012488082921365989,0.0062755663004854766,0.0006902796215953061,0.0011452454617902044,0.006016840130113498,0.0006039571743287625,0.0012487207638350421
7,0.004850810029116429,0.0016317624109492988,0.007815930473578248,0.0009446326357701953,0.0014313374990862883,0.007099821087422334,0.00080150600466002,0.0017877100971973876,0.0031956817153043792,0.0010673423281326799,0.005220579283898668,0.0006058715571882915,0.0009584611414188366,0.0049021318654561075,0.0005202755096670389,0.0011698782397006903
8,0.004440510910514931,0.0014701459168362456,0.007024204813370623,0.0008530282708966054,0.0012806828858594854,0.006302540464655332,0.0007226987144291133,0.0016896820893793625,0.003003682999584015,0.0009938634772548617,0.004833896969094736,0.0005671931008825403,0.0008951096954991876,0.004554268775866666,0.0004885364686984808,0.0011147098122335493
9,0.004098324463767344,0.0013310064199894076,0.006309930008173476,0.0007777927011456327,0.0011565452084966203,0.005654867694624234,0.0006567316035482341,0.0016107728131928517,0.0028477547468121994,0.0009491080225983617,0.0046706790124444965,0.0005356001470804739,0.0008394191098906418,0.00432623357623132,0.0004519952763020081,0.0010592275789001848
10,0.003847700447751332,0.0012373303688844022,0.005831385089476751,0.0007268798528121888,0.0010821771056517564,0.0052864495678243755,0.0006150357232564217,0.0015281929544207246,0.0026551695556211816,0.0008673599977416502,0.004261876521945364,0.0004901915026076753,0.0007861189235184079,0.004020006487015009,0.0004267980810432817,0.001001690617272636
11,0.0036646606251250773,0.001184135897586559,0.00557887310155582,0.0006958317715353249,0.0010444675632472887,0.005135005312087656,0.0005899633674624527,0.0014360571609972142,0.002561164025889442,0.0008490995809418756,0.004162189376964846,0.0004809785081395475,0.0007771194591372066,0.003977547784190659,0.0004215163143318921,0.0009349449943546035
12,0.0035139066066665363,0.0011531457937926308,0.0054415493486541545,0.0006766565148780047,0.001019968154614505,0.005051002637771635,0.0005720754416151447,0.00134079264468163,0.0024470411673962887,0.0008277755541462075,0.004067800009184565,0.0004677728568958489,0.0007451183911318967,0.0038937184723259292,0.0003952739444498645,0.0008741472224741946
