round,selected_clients,avg_local_train_loss,avg_local_val_loss,regional_val_loss,regional_val_MAE,regional_val_RMSE,regional_val_MAPE_percent,regional_val_R2,avg_client_val_MAE,avg_client_val_RMSE,avg_client_val_R2,regional_val_samples
1,9,0.0014688892724693133,0.0012565230789923785,0.00196776045098131,9.080789566040039,12.717369060858386,12.601825594902039,0.8150909543037415,1.4550282955169678,1.953924977638428,0.7135316729545593,5211
2,9,0.0010755298636334805,0.000898940351194012,0.0009373172176283021,4.463635444641113,6.43540105582143,5.553239956498146,0.9526505470275879,0.9736995630794101,1.338678009756343,0.8563275006082323,5211
3,9,0.0009595316463005028,0.0008374259955965789,0.0008621988328858839,4.7328104972839355,6.14225922015969,6.387253850698471,0.9568659663200378,0.9952788220511543,1.2897338515133376,0.869169553120931,5211
4,9,0.0009062376310639384,0.0007766900771407746,0.0007805617739620298,3.6515026092529297,5.1260207485533655,4.628660902380943,0.9699583053588867,0.9056484368112352,1.2207014040508348,0.8800534738434685,5211
5,9,0.0008816197456520561,0.0007211613309869593,0.0007592098263930338,3.68269681930542,4.993146586336276,4.856817796826363,0.9714955687522888,0.9101811581187778,1.2049374133770112,0.8838655882411532,5211
6,9,0.0008627602194565958,0.0007408797742501341,0.0007485501066938588,3.5241174697875977,4.88340133168309,4.506015405058861,0.972734808921814,0.8859201338556077,1.1939767656725488,0.8847812016805013,5211
7,9,0.0008503380061735181,0.00073802072207996,0.0007300828833694082,3.367898941040039,4.683561170653994,4.340290650725365,0.9749206900596619,0.8809312780698141,1.1795185281480058,0.8876527945200602,5211
8,9,0.0008467863666567938,0.0007185080354159742,0.0007259992819489322,3.3806064128875732,4.645842935640593,4.3585509061813354,0.975322961807251,0.8777224885092841,1.1760846577352713,0.8881894946098328,5211
9,9,0.0008364684747456952,0.0007536577231887064,0.0007151516602222322,3.290409564971924,4.523330818987049,4.224545136094093,0.9766073226928711,0.8724514577123854,1.1673703972499438,0.8897468580140008,5211
10,9,0.0008287725493736002,0.000727069240362084,0.000720173464574704,3.5371108055114746,4.736223017519307,4.724597185850143,0.9743534922599792,0.8895570702022977,1.1730197900665442,0.889353613058726,5211
