client,pv_total_capacity_kw,gc_avg_power_kw
1,43.95,16.349542618119592
2,42.97,19.813190303260765
3,47.43,18.80035128814526
4,45.18,23.601220815752455
5,69.18,18.934209335918197
6,38.54,14.884156308206943
7,33.06,14.473142205496636
8,44.26,17.626394989926638
9,47.15,20.813864864864865
