round,selected_clients,avg_local_train_loss,avg_local_val_loss,avg_local_train_task_loss,avg_local_train_rc_loss,avg_local_train_weighted_rc_loss,avg_local_train_total_loss,avg_local_train_rc_to_task_ratio,round_rc_to_task_ratio,global_rc_norm,avg_personalized_head_ratio,avg_num_personalized_head_params,avg_num_head_params,avg_head_importance_mean,h2a_alpha_mean,h2a_alpha_min,h2a_alpha_max,h2a_distance_mean,h2a_meta_loss_mean,h2a_num_refs,regional_val_loss,regional_val_MAE,regional_val_MSE,regional_val_RMSE,regional_val_MAPE_percent,regional_val_R2,avg_client_val_MAE,avg_client_val_MSE,avg_client_val_RMSE,avg_client_val_R2,regional_val_samples
1,8,0.011298873378226723,0.0018324706505500534,0.011298873378226723,0.0,0.0,0.011298873378226723,0.0,0.0,,0.0,0.0,353.0,0.0,0.5,0.5,0.5,0.0,1.6686817556619644,3,0.0025992487806832214,9.616220474243164,171.2366180419922,13.08574101998019,15.293842554092407,0.7429285049438477,1.5816721767187119,4.838785380125046,2.146324773072709,0.6233759075403214,5211
2,8,0.0015650468989355678,0.0011493207867366443,0.0015650468989355678,0.0,0.0,0.0015650468989355678,0.0,0.0,,0.0,0.0,353.0,0.0,0.7900582700967789,0.7074459791183472,0.8559989333152771,13.626186088547303,2.3943649530410767,3,0.0013385496477247081,5.266395568847656,56.92497253417969,7.544863983809098,7.814179360866547,0.9145405292510986,1.1635671183466911,2.5989347994327545,1.562759543180956,0.8031623885035515,5211
3,8,0.0012476816770265156,0.000979396881450963,0.0012476816770265156,0.0,0.0,0.0012476816770265156,0.0,0.0,,0.0,0.0,353.0,0.0,0.6338492408394814,0.5928120613098145,0.6629652380943298,5.500423767140697,3.883126378059387,3,0.001036799844699482,4.419719219207764,38.44112014770508,6.2000903338342646,6.571555137634277,0.9422897100448608,1.01240886002779,1.9390882104635239,1.3680380032990205,0.8436072692275047,5211
4,8,0.0011296964072124802,0.0009059588531037914,0.0011296964072124802,0.0,0.0,0.0011296964072124802,0.0,0.0,,0.0,0.0,353.0,0.0,0.5896745696663857,0.559736967086792,0.631746232509613,3.6332259500910973,3.7576855421066284,3,0.0009787386265464866,4.346133708953857,34.353790283203125,5.86121064995988,6.623973697423935,0.9484258890151978,1.0026703774929047,1.8603036776185036,1.3313205567828703,0.8525847047567368,5211
5,8,0.0010579653727281922,0.000894415226480423,0.0010579653727281922,0.0,0.0,0.0010579653727281922,0.0,0.0,,0.0,0.0,353.0,0.0,0.5764553174376488,0.5516233444213867,0.614639937877655,3.0874454134360954,3.007086306810379,3,0.0009441184420953126,3.669215440750122,26.731889724731445,5.170289133571878,5.486083775758743,0.9598683714866638,0.972794309258461,1.7483123540878296,1.3014606060424463,0.856030285358429,5211
6,8,0.0010115654272130137,0.0008419959844737455,0.0010115654272130137,0.0,0.0,0.0010115654272130137,0.0,0.0,,0.0,0.0,353.0,0.0,0.5523461401462555,0.5401198863983154,0.5644251704216003,2.101982135876218,2.727179065346718,3,0.0008593605249870219,3.8901283740997314,26.679397583007812,5.165210313531078,6.074315309524536,0.9599471688270569,0.941220335662365,1.5713988840579987,1.2363763311878615,0.8707972019910812,5211
7,8,0.0009729384905161696,0.0008196299393643604,0.0009729384905161696,0.0,0.0,0.0009729384905161696,0.0,0.0,,0.0,0.0,353.0,0.0,0.5381743386387825,0.5287927985191345,0.5482014417648315,1.5302037263227248,2.876048192381859,3,0.000834404330229222,3.512211561203003,22.680030822753906,4.7623555960001465,5.4074641317129135,0.9659512639045715,0.9165968000888824,1.5256071835756302,1.2192904966535365,0.871125265955925,5211
8,8,0.0009532305748859193,0.000824796637663077,0.0009532305748859193,0.0,0.0,0.0009532305748859193,0.0,0.0,,0.0,0.0,353.0,0.0,0.5336849167943001,0.5287299752235413,0.5384416580200195,1.349484222410562,2.5186385214328766,3,0.000893377109665393,4.313724517822266,30.31646728515625,5.506039164876713,6.838695704936981,0.9544869661331177,0.9659569263458252,1.6267270296812057,1.2581505896642382,0.8625637590885162,5211
9,8,0.0009329267569380335,0.0007964348772029621,0.0009329267569380335,0.0,0.0,0.0009329267569380335,0.0,0.0,,0.0,0.0,353.0,0.0,0.5314368903636932,0.5240612030029297,0.5373620986938477,1.2592347373738446,2.3538584411144257,3,0.0008109250253959665,3.3244240283966064,20.847305297851562,4.565884941372435,4.980979859828949,0.9687026739120483,0.8997702375054359,1.488805316388607,1.2041042228287944,0.8745544105768204,5211
10,8,0.0009175434940227256,0.0007765427863681328,0.0009175434940227256,0.0,0.0,0.0009175434940227256,0.0,0.0,,0.0,0.0,353.0,0.0,0.5316822081804276,0.5276371240615845,0.5380151271820068,1.2690418497350038,2.4439808428287506,3,0.0008185670470605337,3.366697311401367,20.601558685302734,4.53889399361813,5.135994777083397,0.969071626663208,0.9042622894048691,1.5242878645658493,1.210876671223489,0.8764306306838989,5211
11,8,0.0009161962373270071,0.0008267808426913519,0.0009161962373270071,0.0,0.0,0.0009161962373270071,0.0,0.0,,0.0,0.0,353.0,0.0,0.5313770174980164,0.5243772864341736,0.5382059216499329,1.2568703739501268,2.3860355019569397,3,0.0008620151376092712,3.354478597640991,22.079593658447266,4.698892811976803,4.902466386556625,0.9668526649475098,0.918964646756649,1.6171411648392677,1.242176501254088,0.8687890917062759,5211
12,8,0.0009096664388520831,0.0007501030119167957,0.0009096664388520831,0.0,0.0,0.0009096664388520831,0.0,0.0,,0.0,0.0,353.0,0.0,0.53057461977005,0.5227558612823486,0.5368366837501526,1.2246124354375447,2.4758188724517822,3,0.00077923726910042,3.1098036766052246,18.07097625732422,4.250997089780728,4.723291844129562,0.9728707075119019,0.8846090361475945,1.4399965479969978,1.1808359025564905,0.8798071965575218,5211
13,8,0.0009009057421025284,0.0007409182506884154,0.0009009057421025284,0.0,0.0,0.0009009057421025284,0.0,0.0,,0.0,0.0,353.0,0.0,0.5305137634277344,0.5246374011039734,0.5410093069076538,1.2222220970246176,2.2195604145526886,3,0.0008365522526528063,3.3517138957977295,19.880062103271484,4.458706326197262,5.213009566068649,0.9701547622680664,0.9300615936517715,1.5515177696943283,1.2231314764546655,0.8706355541944504,5211
14,8,0.0008903627505429562,0.000803860906161629,0.0008903627505429562,0.0,0.0,0.0008903627505429562,0.0,0.0,,0.0,0.0,353.0,0.0,0.5300571396946907,0.5235394239425659,0.5377503037452698,1.203856744717996,2.306804060935974,3,0.0008222630489620268,3.0868184566497803,17.799972534179688,4.219001366932664,4.6660177409648895,0.9732775092124939,0.9157749563455582,1.5308673307299614,1.2149311153245812,0.8734414651989937,5211
15,8,0.0008851261884110769,0.0007282540452653801,0.0008851261884110769,0.0,0.0,0.0008851261884110769,0.0,0.0,,0.0,0.0,353.0,0.0,0.5321018844842911,0.5239027142524719,0.5432683825492859,1.2860840405519411,2.071543700993061,3,0.0008404453917647451,3.1277780532836914,17.880435943603516,4.2285264506212465,4.764512553811073,0.973156750202179,0.9226494058966637,1.5575507283210754,1.2238396274430219,0.8689683452248573,5211
16,8,0.0008767648778843464,0.0007312898956299664,0.0008767648778843464,0.0,0.0,0.0008767648778843464,0.0,0.0,,0.0,0.0,353.0,0.0,0.5316160619258881,0.5243874788284302,0.5409511923789978,1.2665219997361419,2.16534074395895,3,0.000832284617561089,3.262281656265259,19.025068283081055,4.3617735249644785,5.038771405816078,0.9714383482933044,0.9224176183342934,1.5261454284191132,1.2159197010258338,0.8686318323016167,5211
