round,h2a_alpha_mean,h2a_alpha_min,h2a_alpha_max,h2a_distance_mean,h2a_meta_loss_mean,avg_local_train_loss,avg_local_val_loss,avg_client_val_RMSE,regional_val_RMSE
1,0.5,0.5,0.5,0.0,1.6686817556619644,0.011298873378226723,0.0018324706505500534,2.146324773072709,13.08574101998019
2,0.7900582700967789,0.7074459791183472,0.8559989333152771,13.626186088547303,2.3943649530410767,0.0015650468989355678,0.0011493207867366443,1.562759543180956,7.544863983809098
3,0.6338492408394814,0.5928120613098145,0.6629652380943298,5.500423767140697,3.883126378059387,0.0012476816770265156,0.000979396881450963,1.3680380032990205,6.2000903338342646
4,0.5896745696663857,0.559736967086792,0.631746232509613,3.6332259500910973,3.7576855421066284,0.0011296964072124802,0.0009059588531037914,1.3313205567828703,5.86121064995988
5,0.5764553174376488,0.5516233444213867,0.614639937877655,3.0874454134360954,3.007086306810379,0.0010579653727281922,0.000894415226480423,1.3014606060424463,5.170289133571878
6,0.5523461401462555,0.5401198863983154,0.5644251704216003,2.101982135876218,2.727179065346718,0.0010115654272130137,0.0008419959844737455,1.2363763311878615,5.165210313531078
7,0.5381743386387825,0.5287927985191345,0.5482014417648315,1.5302037263227248,2.876048192381859,0.0009729384905161696,0.0008196299393643604,1.2192904966535365,4.7623555960001465
8,0.5336849167943001,0.5287299752235413,0.5384416580200195,1.349484222410562,2.5186385214328766,0.0009532305748859193,0.000824796637663077,1.2581505896642382,5.506039164876713
9,0.5314368903636932,0.5240612030029297,0.5373620986938477,1.2592347373738446,2.3538584411144257,0.0009329267569380335,0.0007964348772029621,1.2041042228287944,4.565884941372435
10,0.5316822081804276,0.5276371240615845,0.5380151271820068,1.2690418497350038,2.4439808428287506,0.0009175434940227256,0.0007765427863681328,1.210876671223489,4.53889399361813
11,0.5313770174980164,0.5243772864341736,0.5382059216499329,1.2568703739501268,2.3860355019569397,0.0009161962373270071,0.0008267808426913519,1.242176501254088,4.698892811976803
12,0.53057461977005,0.5227558612823486,0.5368366837501526,1.2246124354375447,2.4758188724517822,0.0009096664388520831,0.0007501030119167957,1.1808359025564905,4.250997089780728
13,0.5305137634277344,0.5246374011039734,0.5410093069076538,1.2222220970246176,2.2195604145526886,0.0009009057421025284,0.0007409182506884154,1.2231314764546655,4.458706326197262
14,0.5300571396946907,0.5235394239425659,0.5377503037452698,1.203856744717996,2.306804060935974,0.0008903627505429562,0.000803860906161629,1.2149311153245812,4.219001366932664
15,0.5321018844842911,0.5239027142524719,0.5432683825492859,1.2860840405519411,2.071543700993061,0.0008851261884110769,0.0007282540452653801,1.2238396274430219,4.2285264506212465
16,0.5316160619258881,0.5243874788284302,0.5409511923789978,1.2665219997361419,2.16534074395895,0.0008767648778843464,0.0007312898956299664,1.2159197010258338,4.3617735249644785
17,0.5308342203497887,0.525053858757019,0.5411666631698608,1.2350695716825915,2.262148931622505,0.0008766241222175216,0.0007520909444107559,1.1972987858935882,4.580098530738125
18,0.5337042212486267,0.526295006275177,0.5419830679893494,1.3503654098767583,2.1252144128084183,0.0008728547069621512,0.0007310263164054611,1.2252192323357614,4.249027814185577
