epoch,train_loss,val_loss,val_r2
1,0.01911693668372854,0.0024430338955748663,0.3529415726661682
2,0.0027293518965647782,0.0012785334387503534,0.6613695025444031
3,0.001745673510791014,0.001309675872775384,0.6531211733818054
4,0.0014853526427258577,0.0012728978960040826,0.6628620624542236
5,0.0013688283187866654,0.0009458576150732145,0.7494815587997437
6,0.0013260356246818012,0.0010179534085424493,0.7303863763809204
7,0.0012534800662321777,0.0008285455747295369,0.7805526256561279
8,0.0012347212391663586,0.0008958217588847929,0.7627339363098145
9,0.0012226868621324207,0.0008193951845405875,0.7829761505126953
10,0.00119419785683209,0.0009050255879622887,0.7602962255477905
11,0.0011953727269058605,0.0007676165305315551,0.7966902256011963
12,0.0011836111422169097,0.0011324504302070045,0.7000608444213867
13,0.0011627525358641443,0.0007957699625534647,0.7892335057258606
14,0.0011666105076092502,0.00128315059554205,0.6601465940475464
15,0.001157780577606114,0.0009869733306181992,0.7385916709899902
16,0.0011461994510284924,0.0007520850101384692,0.8008038401603699
17,0.0011279534894716933,0.0009411136040618996,0.7507380247116089
18,0.0011322285934199064,0.001254953960444856,0.6676146984100342
19,0.001137273436127054,0.0007540411393826024,0.8002857565879822
20,0.0011290293152357654,0.0009847523929651149,0.7391799092292786
