client_id,client_name,num_aligned_samples,MAE_hybrid,MAE_fedavg_baseline,MAE_diff_hybrid_minus_fedavg,MAE_hybrid_relative_improvement_percent,MAE_winner,MSE_hybrid,MSE_fedavg_baseline,MSE_diff_hybrid_minus_fedavg,MSE_hybrid_relative_improvement_percent,MSE_winner,RMSE_hybrid,RMSE_fedavg_baseline,RMSE_diff_hybrid_minus_fedavg,RMSE_hybrid_relative_improvement_percent,RMSE_winner,MAPE_percent_hybrid,MAPE_percent_fedavg_baseline,MAPE_percent_diff_hybrid_minus_fedavg,MAPE_percent_hybrid_relative_improvement_percent,MAPE_percent_winner,R2_hybrid,R2_fedavg_baseline,R2_diff_hybrid_minus_fedavg,R2_hybrid_relative_improvement_percent,R2_winner
1,client_1,5209,1.0625680015448449,1.1511734492911114,-0.0886054477462665,7.696967629059675,?????????,2.097071162194437,2.251604500914968,-0.1545333387205305,6.863254122015388,?????????,1.448126776975841,1.5005347383232976,-0.0524079613474566,3.492618998345713,?????????,57.96309746261886,71.03703029368461,-13.073932831065749,18.404391029600877,GCML GC + FedAvg GG Clients 1-8,0.9509427051796164,0.9473276693941786,0.0036150357854378,0.3816035256047895,?????????
2,client_2,5209,1.082588594074397,1.0920960728943558,-0.0095074788199591,0.8705716517010933,?????????,2.2389287420615798,2.2269188791297108,0.0120098629318685,-0.539304015266244,FedAvg?????,1.496305029752149,1.4922864601442012,0.0040185696079477,-0.2692894236646398,FedAvg?????,54.69269481247522,63.17993945888291,-8.487244646407696,13.433448526697523,GCML GC + FedAvg GG Clients 1-8,0.9461816578375376,0.9464703454991578,-0.0002886876616201,-0.0305015009707363,FedAvg?????
3,client_3,5209,1.074974349233005,1.0980165851667307,-0.0230422359337256,2.098532594589796,?????????,2.083570892835899,2.2407226456633214,-0.1571517528274224,7.013440647443485,?????????,1.4434579636539122,1.4969043542134952,-0.053446390559583,3.5704612929437864,?????????,64.04131484059253,70.72694893532248,-6.685634094729949,9.452739295800454,GCML GC + FedAvg GG Clients 1-8,0.930449882082752,0.9252041175014994,0.0052457645812524,0.5669845693530406,?????????
4,client_4,5209,1.2323759756375858,1.236221444568535,-0.0038454689309495,0.3110663504378573,?????????,2.805408463991262,2.814629241170412,-0.0092207771791494,0.3276018398542323,?????????,1.6749353611382327,1.6776856800874267,-0.0027503189491939,0.1639352938299295,?????????,50.48561639419319,53.40535002798382,-2.919733633790635,5.467118242387189,GCML GC + FedAvg GG Clients 1-8,0.927992343761906,0.927755670187572,0.0002366735743341,0.0255103344489665,?????????
5,client_5,5209,1.2317461157465048,1.2744427488704742,-0.0426966331239693,3.3502197852207107,?????????,2.936781808770182,3.0520860869572792,-0.1153042781870974,3.77788420450643,?????????,1.713704119377141,1.7470220625273394,-0.0333179431501984,1.907127784179144,?????????,180.93628070243923,177.27078418504934,3.665496517389897,-2.0677386486673184,FedAvg Net Load Baseline,0.9593550840258372,0.9577592785139668,0.0015958055118705,0.1666186428751241,?????????
6,client_6,5209,0.9040631418022944,0.852930699129257,0.0511324426730374,-5.994911746668009,FedAvg?????,1.4593424148000755,1.4066941398777668,0.0526482749223087,-3.742695261877152,FedAvg?????,1.2080324560209776,1.186041373594432,0.0219910824265456,-1.854158119282064,FedAvg?????,60.80507787237458,59.8959765542347,0.9091013181398822,-1.5178003105379,FedAvg Net Load Baseline,0.9483311175742756,0.9501951610542484,-0.0018640434799729,-0.1961748024379289,FedAvg?????
7,client_7,5209,0.8288603831724338,0.8257335972947207,0.003126785877713,-0.3786676342051609,FedAvg?????,1.3125266412320316,1.253404285068957,0.0591223561630744,-4.716942240214364,FedAvg?????,1.145655550866853,1.119555396159099,0.0261001547077537,-2.331296405456712,FedAvg?????,1482483.695198132,1229904.0963714032,252579.5988267288,-20.536527975792303,FedAvg Net Load Baseline,0.9448215030391198,0.9473070016512168,-0.002485498612097,-0.2623751970337632,FedAvg?????
8,client_8,5209,1.0030400484312143,1.009316891994164,-0.0062768435629494,0.6218902718003589,?????????,1.909812150220053,1.9888088255628535,-0.078996675342801,3.9720597740430974,?????????,1.3819595327722345,1.4102513341822631,-0.0282918014100288,2.0061531391093417,?????????,4443689.38220623,3546752.751184031,896936.6310221995,-25.288952851950857,FedAvg Net Load Baseline,0.9476370518768328,0.9454711326977224,0.0021659191791103,0.2290835863946807,?????????
