metric,decentralized_contrastive_mutual_learning_mean,fedavg_net_load_baseline_mean,decentralized_relative_improvement_percent,winner,decentralized_wins,fedavg_wins,ties
MAE,1.052527076205285,1.0674914361511685,1.40182482398523,?????????,6,2,0
MSE,2.10543028451319,2.1543585755431582,2.271130330178781,?????????,5,3,0
RMSE,1.4390220988196676,1.4537851749039443,1.015492270737468,?????????,5,3,0
R2,0.9444639181722346,0.9434362970624453,0.1089232111366774,?????????,5,3,0
