epoch,train_mse_loss,val_mse_loss
1,0.031054093053112786,0.0024908534827889927
2,0.0015758452425700417,0.000937112721697134
3,0.0010874320877146593,0.0008139404381371875
4,0.0009953977777653559,0.0007818453077978771
5,0.000944076946823781,0.0008245649605502435
6,0.0009341449492569834,0.0007404377351127656
7,0.0009076196548388742,0.0007362976479443753
8,0.0008934643287432624,0.0007381743277260743
9,0.0008822628417978554,0.0007717986103426381
10,0.0008623190947524259,0.0007191679758355819
11,0.0008669767771457339,0.0007155325063660923
12,0.0008395428235255486,0.0008854207020987748
13,0.0008300178459109906,0.0008648356712218203
14,0.0008258040638679797,0.0007691003742844254
