epoch,train_total_loss,train_f1_ste,train_f1_fourier,train_f1_mse,train_f2_ste,train_f2_fourier,train_f2_mse,train_f3_mse,val_total_loss,val_f1_ste,val_f1_fourier,val_f1_mse,val_f2_ste,val_f2_fourier,val_f2_mse,val_f3_mse
1,0.05785189263790535,0.05785189263790535,0.33798557586934436,0.026725928102607335,0.274195660675092,1.7919667444599965,0.10555442720431767,0.26999885810215585,0.0125888243420135,0.0125888243420135,0.04921827513143557,0.008518885533447842,0.10741015072536031,0.6847545885529358,0.04326076778250003,0.21990041448435652
2,0.008174560262451776,0.008174560262451776,0.035816148854082894,0.005103272677680182,0.07339310573237504,0.4643716576274092,0.029951044218706674,0.25966800153517877,0.002528241908160645,0.002528241908160645,0.011770053590086805,0.0015013739463107074,0.05848509526671984,0.379399734990677,0.02282791278276604,0.2190556051807666
3,0.003032002046957663,0.003032002046957663,0.013797831754981747,0.0018357987777010809,0.0532806523583787,0.3395333245574984,0.021474799762125192,0.27127672399569236,0.0019296503459197392,0.0019296503459197392,0.009348138981706687,0.0011053738328101346,0.04966428458964059,0.3209114431970346,0.019525711638254856,0.22943165005164773
4,0.0025036408301497472,0.0025036408301497472,0.011406236873733383,0.0015144635043125702,0.049682126991477914,0.31708304726190384,0.01997091321185143,0.24456324619331818,0.0015424568546417564,0.0015424568546417564,0.007401825539733565,0.0008914159062255846,0.04850621917925843,0.3146062980004407,0.01893954393695983,0.19468236662196822
5,0.0019462759313093028,0.0019462759313093028,0.009204921043512726,0.0011397598242740214,0.04909943415881329,0.31560968105267206,0.01948718404824366,0.2040649355142257,0.0011130549595335254,0.0011130549595335254,0.005290837932822355,0.0006488568506585235,0.050755472586060155,0.33194218416461885,0.019512504618330102,0.1561845057965783
6,0.0014702735179276363,0.0014702735179276363,0.007114518366100504,0.0008431352027813134,0.04953036137670438,0.32027390517689974,0.01944774519068348,0.17187814921171168,0.0009207104871032435,0.0009207104871032435,0.0044749806512614275,0.0005257915855322705,0.04899518280674558,0.3215329522204326,0.018713208553395505,0.1431501939300368
7,0.0012211613603245579,0.0012211613603245579,0.005956254706437596,0.0006950398814306585,0.04936696056454132,0.3202648387878728,0.01926719600592345,0.17403975251894263,0.0007834481331733388,0.0007834481331733388,0.0038484156726993368,0.00044289619743037936,0.0488014816782161,0.3206597386150185,0.01859500844726504,0.15486574970436387
8,0.0010734123136115139,0.0010734123136115139,0.005247147161399559,0.0006096640007823003,0.04976740219839943,0.3237487135337503,0.019325034197889123,0.18443762598409127,0.0007138564927782579,0.0007138564927782579,0.0035038085487765183,0.0004038618280679067,0.04943117793273488,0.325469618179018,0.01876024004151697,0.16481516271009358
9,0.0009542399783968285,0.0009542399783968285,0.004674169747235348,0.0005409144574500591,0.0502408030412419,0.3272110188365655,0.01946633412601754,0.1926915834706984,0.0006728362151783313,0.0006728362151783313,0.0032730765323174564,0.0003839206392485193,0.05032268246288329,0.3314411410497963,0.019087298018487586,0.1679766085169731
10,0.0008686769874140801,0.0008686769874140801,0.0042464522051145715,0.0004933686316119188,0.05100569796148788,0.33245488772407367,0.01973356550158202,0.20173591789077058,0.0006151821415170753,0.0006151821415170753,0.003002959627527117,0.0003498735350260471,0.050509617416136854,0.33277315511980554,0.019147001161305546,0.18006124887444558
11,0.0008147115330810781,0.0008147115330810781,0.003974530302575762,0.0004636205624107446,0.05105851820111842,0.33282356617415026,0.019751290314603244,0.21107334782096185,0.0005868273685381546,0.0005868273685381546,0.002879213203536489,0.0003321178350740024,0.05185131591941239,0.34201142838970966,0.019611303110689562,0.19284001503151127
12,0.0007764268830541682,0.0007764268830541682,0.0037761451784090578,0.0004431248555815373,0.05046823527107648,0.3289011083462626,0.01953124876306816,0.2197876202833482,0.0005754778070506335,0.0005754778070506335,0.002789627164687722,0.0003294612154462845,0.04962744417996217,0.32675817444783833,0.018835140301045657,0.19960178193331493
13,0.0007412448511443752,0.0007412448511443752,0.003609931145797726,0.0004225019393523284,0.049857193158142445,0.32479781362189464,0.019308235015251064,0.22670753456325743,0.000549069525131426,0.000549069525131426,0.002634303275472983,0.00031737688957679365,0.04963478105376255,0.3268884157915728,0.01882882125744032,0.20570952342737706
14,0.000706629495297057,0.000706629495297057,0.0034476769784384446,0.0004020686687986269,0.0495091816338835,0.3225184656109236,0.019174816504399908,0.23267153150891307,0.0005180877651193319,0.0005180877651193319,0.0025157258790328143,0.00029612797727546333,0.05004406501667215,0.3300449521898859,0.01893285452886641,0.21232443683373453
15,0.0006701902125887322,0.0006701902125887322,0.0032792175550309705,0.0003802982897292083,0.04910058987602786,0.3198666118355067,0.019015476179096047,0.23589896351004688,0.0005046179285272956,0.0005046179285272956,0.0024411176482289575,0.00028945129618920183,0.04976105908735083,0.3280001845928507,0.01884560019848726,0.21347022680879005
16,0.0006406647283130863,0.0006406647283130863,0.003157184389898026,0.0003610514380859964,0.048621479320346266,0.31673369570406645,0.018831232731633906,0.2369933597125954,0.0004706694149990375,0.0004706694149990375,0.002272771422207264,0.0002704358658616628,0.04798099993292345,0.31631403459686025,0.01816621828904028,0.20881699062086392
17,0.0006072467336304062,0.0006072467336304062,0.003006203203227555,0.00034069601565287757,0.04815877867534433,0.31386258955917695,0.018636132796790536,0.23427199012090597,0.0004596384404161632,0.0004596384404161632,0.002283956540822527,0.00025693643174208244,0.047760021932628176,0.31435551437398346,0.01813830083822803,0.21272854698360513
18,0.0005759608153219019,0.0005759608153219019,0.002864359528505525,0.0003216942936075173,0.04757261825716792,0.31013609749612514,0.018398898624142415,0.2328703112265324,0.00043236387977931955,0.00043236387977931955,0.002106072188893316,0.0002463962926368431,0.04783366052063598,0.3153361359138372,0.01811116235473105,0.20822787644848548
19,0.0005485396012103775,0.0005485396012103775,0.0027382661294627275,0.00030523665398401187,0.04718282844193353,0.30759648519168165,0.018247977748532016,0.23150874115770473,0.0004327826370842561,0.0004327826370842561,0.002147066072256102,0.00024230670212733841,0.046829056792211825,0.30852719904450465,0.017751486163119293,0.20946822363302248
