round,client_id,client_name,tau,head_prefixes,num_head_params,num_selected_params,selected_ratio,mask_jaccard_with_prev_round,mask_hamming_change_rate,selected_importance_mean,unselected_importance_mean,selected_importance_median,unselected_importance_median,selected_importance_min,selected_importance_max,unselected_importance_min,unselected_importance_max,importance_threshold,importance_gap_mean_ratio,importance_gap_median_ratio,importance_gap_boundary_ratio,importance_selected_total,importance_unselected_total,importance_selected_share,importance_top10_mean,importance_bottom10_mean
6,1,client_1,0.1,fc1,336,34,0.10119047619047619,,,5.329321881470819e-06,8.813327338800911e-08,2.4317162115039537e-06,0.0,6.889175665492075e-07,2.8776246836059727e-05,0.0,6.868244781799149e-07,6.889175665492075e-07,60.468211475558455,2431716.2115039537,1.0030460261533056,0.000181196941412054,2.6616246032062918e-05,0.8719222430908408,5.329321993485792e-06,0.0
6,2,client_2,0.1,fc1,336,34,0.10119047619047619,,,1.189569350735971e-06,2.2768383471412867e-08,5.752784488777252e-07,0.0,2.3745430155486247e-07,5.283506652631331e-06,0.0,2.3523135439518228e-07,2.3745430155486247e-07,52.24424948657412,575278.4488777252,1.0094457548809268,4.044535671710037e-05,6.876051884319168e-06,0.8546946732518107,1.189569275084068e-06,0.0
6,3,client_3,0.1,fc1,336,34,0.10119047619047619,,,1.8475614069757285e-06,9.756864199775936e-08,1.3484556120602065e-06,0.0,8.908833137866168e-07,9.684677024779376e-06,0.0,8.869083103490993e-07,8.908833137866168e-07,18.935822343369434,1348455.6120602065,1.00448073257451,6.281708920141682e-05,2.9465729312505573e-05,0.6807018850560783,1.8475614069757285e-06,0.0
6,4,client_4,0.1,fc1,336,34,0.10119047619047619,,,1.4013722277769268e-06,1.6004086991172994e-08,5.429330087736162e-07,0.0,2.1997496446601872e-07,1.3952510926174e-05,0.0,1.9286200370061124e-07,2.1997496446601872e-07,87.55792633615806,542933.0087736162,1.1405762652514446,4.764665573020466e-05,4.833234470424941e-06,0.9079030965985128,1.4013721738592722e-06,0.0
6,5,client_5,0.1,fc1,336,34,0.10119047619047619,,,3.257341905329186e-06,6.274644430955279e-08,1.0109627055499004e-06,0.0,4.6310654511216853e-07,5.585503822658211e-05,0.0,4.630091154922411e-07,4.6310654511216853e-07,51.91194543732647,1010962.7055499004,1.0002082667671848,0.00011074962822021917,1.8949425793834962e-05,0.8538969555963102,3.2573423141002422e-06,0.0
6,6,client_6,0.1,fc1,336,34,0.10119047619047619,,,2.21994936817496e-06,9.357257536923946e-08,1.3720917877435568e-06,0.0,7.546657343482366e-07,1.4721676961926278e-05,0.0,7.480616659449879e-07,7.546657343482366e-07,23.724105436979233,1372091.7877435568,1.008826892055771,7.547827408416197e-05,2.8258917154744267e-05,0.7275912568593131,2.2199492377694696e-06,0.0
6,7,client_7,0.1,fc1,336,34,0.10119047619047619,,,5.344610167245424e-07,1.8432007789006493e-08,3.1322238669417857e-07,0.0,1.4877699072712858e-07,3.0374626476259436e-06,0.0,1.4685774374356697e-07,1.4877699072712858e-07,28.994780604568327,313222.38669417857,1.0130618506917852,1.8171673218603246e-05,5.56646637051017e-06,0.7655053330898623,5.344610372048919e-07,0.0
6,8,client_8,0.1,fc1,336,34,0.10119047619047619,,,1.258902417709899e-06,3.994378704534379e-08,8.59148116205688e-07,0.0,3.4397444892420026e-07,6.0614424910454545e-06,0.0,3.329698188281327e-07,3.4397444892420026e-07,31.516062816428118,859148.116205688,1.033046830154048,4.2802683310583234e-05,1.2063022950314917e-05,0.780135451586313,1.2589023299369728e-06,0.0
6,9,client_9,0.1,fc1,336,34,0.10119047619047619,,,2.313004692248743e-06,2.7578463440270632e-08,7.557487151643727e-07,0.0,2.8122477147007885e-07,2.241460606455803e-05,0.0,2.6647191475603904e-07,2.8122477147007885e-07,83.86692138728735,755748.7151643727,1.0553596853456775,7.86421587690711e-05,8.328695912496187e-06,0.904235771314121,2.3130046429287177e-06,0.0
7,1,client_1,0.1,fc1,336,34,0.10119047619047619,1.0,0.0,5.976296386185876e-06,1.6551014080405022e-07,3.074040478168172e-06,0.0,4.1608689116401365e-07,2.4959321308415383e-05,0.0,4.66384472019854e-06,4.1608689116401365e-07,36.10812152676329,3074040.478168172,0.08921540636775198,0.00020319408213254064,4.9984068027697504e-05,0.8025735285662061,6.181779554026434e-06,0.0
7,2,client_2,0.1,fc1,336,34,0.10119047619047619,1.0,0.0,9.037551627328105e-07,1.8200137494601455e-08,3.557298953182908e-07,0.0,1.1339764682816167e-08,7.177744009823073e-06,0.0,7.471186336260871e-07,1.1339764682816167e-08,49.653773727101864,355729.8953182908,0.01517797709020107,3.0727675039088354e-05,5.496441190189216e-06,0.8482656691010594,9.710532822282403e-07,0.0
7,3,client_3,0.1,fc1,336,34,0.10119047619047619,1.0,0.0,8.450515055295515e-07,1.3380631733710597e-07,5.50849534874942e-07,0.0,1.4901527123356573e-08,8.561284630559385e-06,0.0,3.842241767415544e-06,1.4901527123356573e-08,6.3154356753194625,550849.534874942,0.003878340861158019,2.8731750717270188e-05,4.0409508073935285e-05,0.41555144936663085,1.4781347772441222e-06,0.0
7,4,client_4,0.1,fc1,336,34,0.10119047619047619,1.0,0.0,2.1127540991001586e-06,2.6022573876136914e-08,5.946097871856182e-07,0.0,3.7074167520689816e-12,9.867673725239001e-06,0.0,1.3252486041892553e-06,3.7074167520689816e-12,81.18616255999761,594609.7871856182,2.7975233800104083e-06,7.183363777585328e-05,7.858817298256326e-06,0.9013856682877479,2.2332940261549084e-06,0.0
