method,MAE,RMSE,R2
Federated Indirect Aggregate,4.332830429077148,5.973007521145127,0.987285315990448
Federated Direct Aggregate,4.553595542907715,6.26335395884032,0.9860191345214844
Non-Federated Direct Aggregate,4.595512699615495,6.265630990762895,0.9860051568147664
