round,client_id,client_name,num_samples,local_rc_norm,global_rc_norm,rc_rg_l2_norm,rc_rg_mean_abs,use_rc_regularization,rc_lambda
1,1,client_1,42023,0.6285959482192993,1.180292010307312,0.7616748213768005,0.12697818875312805,True,1.0
1,2,client_2,42023,1.477931022644043,1.180292010307312,0.31479722261428833,0.05592823028564453,True,1.0
1,3,client_3,42023,1.3841053247451782,1.180292010307312,0.24095673859119415,0.03984885662794113,True,1.0
1,4,client_4,42023,1.3987998962402344,1.180292010307312,0.2616409361362457,0.05014057829976082,True,1.0
1,5,client_5,42023,1.039778709411621,1.180292010307312,0.2655629515647888,0.04419884830713272,True,1.0
1,6,client_6,42023,1.2304095029830933,1.180292010307312,0.24148322641849518,0.043423183262348175,True,1.0
1,7,client_7,42023,1.198807716369629,1.180292010307312,0.1615472435951233,0.029853034764528275,True,1.0
1,8,client_8,42023,1.4084476232528687,1.180292010307312,0.2659110426902771,0.048044003546237946,True,1.0
1,9,client_9,42023,1.0681017637252808,1.180292010307312,0.1983630657196045,0.03514731675386429,True,1.0
2,1,client_1,42023,1.183871865272522,1.1793749332427979,0.015708446502685547,0.0028009661473333836,True,1.0
2,2,client_2,42023,1.1763545274734497,1.1793749332427979,0.02516823448240757,0.004610153846442699,True,1.0
2,3,client_3,42023,1.178561806678772,1.1793749332427979,0.025624172762036324,0.004695488605648279,True,1.0
2,4,client_4,42023,1.1754534244537354,1.1793749332427979,0.011555341072380543,0.0019501164788380265,True,1.0
2,5,client_5,42023,1.1892735958099365,1.1793749332427979,0.016785159707069397,0.00329241412691772,True,1.0
2,6,client_6,42023,1.181854248046875,1.1793749332427979,0.01053019892424345,0.0018792623886838555,True,1.0
2,7,client_7,42023,1.1704213619232178,1.1793749332427979,0.049903612583875656,0.009123208001255989,True,1.0
2,8,client_8,42023,1.1823822259902954,1.1793749332427979,0.015264962799847126,0.0029361993074417114,True,1.0
2,9,client_9,42023,1.1781610250473022,1.1793749332427979,0.008823665790259838,0.001563085475936532,True,1.0
3,1,client_1,42023,1.1696529388427734,1.1761633157730103,0.011407926678657532,0.0022409320808947086,True,1.0
3,2,client_2,42023,1.1883987188339233,1.1761633157730103,0.044589389115571976,0.008493882603943348,True,1.0
3,3,client_3,42023,1.1686941385269165,1.1761633157730103,0.013326583430171013,0.0026261103339493275,True,1.0
3,4,client_4,42023,1.1805492639541626,1.1761633157730103,0.00891830213367939,0.0015169669641181827,True,1.0
3,5,client_5,42023,1.1751677989959717,1.1761633157730103,0.04733463376760483,0.008877957239747047,True,1.0
3,6,client_6,42023,1.1836086511611938,1.1761633157730103,0.032518137246370316,0.006226955913007259,True,1.0
3,7,client_7,42023,1.1802332401275635,1.1761633157730103,0.01048185583204031,0.0021597803570330143,True,1.0
3,8,client_8,42023,1.1655806303024292,1.1761633157730103,0.029674114659428596,0.005742876790463924,True,1.0
3,9,client_9,42023,1.1763056516647339,1.1761633157730103,0.01372632384300232,0.0024354197084903717,True,1.0
4,1,client_1,42023,1.1740695238113403,1.1759002208709717,0.012705124914646149,0.0022058289032429457,True,1.0
4,2,client_2,42023,1.1756209135055542,1.1759002208709717,0.032771069556474686,0.005479767452925444,True,1.0
4,3,client_3,42023,1.1741489171981812,1.1759002208709717,0.013409929350018501,0.0023265816271305084,True,1.0
4,4,client_4,42023,1.1697914600372314,1.1759002208709717,0.018987711519002914,0.0036788813304156065,True,1.0
4,5,client_5,42023,1.1806308031082153,1.1759002208709717,0.011513390578329563,0.0018739793449640274,True,1.0
4,6,client_6,42023,1.1719589233398438,1.1759002208709717,0.008198926225304604,0.0014490288449451327,True,1.0
4,7,client_7,42023,1.1833478212356567,1.1759002208709717,0.014544040895998478,0.002747881691902876,True,1.0
4,8,client_8,42023,1.1763367652893066,1.1759002208709717,0.0091249393299222,0.001682042726315558,True,1.0
4,9,client_9,42023,1.178138017654419,1.1759002208709717,0.009316783398389816,0.0015207873657345772,True,1.0
5,1,client_1,42023,1.1763087511062622,1.1733344793319702,0.009823259897530079,0.001965269912034273,True,1.0
5,2,client_2,42023,1.1767622232437134,1.1733344793319702,0.010103410109877586,0.0018749538576230407,True,1.0
5,3,client_3,42023,1.1792500019073486,1.1733344793319702,0.007305764593183994,0.0012249788269400597,True,1.0
5,4,client_4,42023,1.1745450496673584,1.1733344793319702,0.021064098924398422,0.0038618321996182203,True,1.0
5,5,client_5,42023,1.1647485494613647,1.1733344793319702,0.02444988675415516,0.004422284197062254,True,1.0
5,6,client_6,42023,1.1684036254882812,1.1733344793319702,0.014952780678868294,0.002922167768701911,True,1.0
5,7,client_7,42023,1.1726614236831665,1.1733344793319702,0.023404395207762718,0.004216956906020641,True,1.0
5,8,client_8,42023,1.172972559928894,1.1733344793319702,0.01336255855858326,0.0024955919943749905,True,1.0
5,9,client_9,42023,1.1752899885177612,1.1733344793319702,0.010063273832201958,0.001879717456176877,True,1.0
6,1,client_1,42023,1.1750144958496094,1.1723586320877075,0.01715916395187378,0.003231693059206009,True,1.0
6,2,client_2,42023,1.1752115488052368,1.1723586320877075,0.014840672723948956,0.0023022149689495564,True,1.0
6,3,client_3,42023,1.1753385066986084,1.1723586320877075,0.01253749243915081,0.0024164810311049223,True,1.0
6,4,client_4,42023,1.174423336982727,1.1723586320877075,0.010701561346650124,0.001964232185855508,True,1.0
6,5,client_5,42023,1.1683130264282227,1.1723586320877075,0.008309293538331985,0.0015664331149309874,True,1.0
6,6,client_6,42023,1.1751377582550049,1.1723586320877075,0.01993117667734623,0.0039006187580525875,True,1.0
