client_id,client_name,loss_gcml,MAE_gcml,RMSE_gcml,MAPE_percent_gcml,R2_gcml,loss_fedavg,MAE_fedavg,RMSE_fedavg,MAPE_percent_fedavg,R2_fedavg,loss_diff_gcml_minus_fedavg,loss_gcml_relative_improvement_percent,loss_winner,MAE_diff_gcml_minus_fedavg,MAE_gcml_relative_improvement_percent,MAE_winner,RMSE_diff_gcml_minus_fedavg,RMSE_gcml_relative_improvement_percent,RMSE_winner,MAPE_percent_diff_gcml_minus_fedavg,MAPE_percent_gcml_relative_improvement_percent,MAPE_percent_winner,R2_diff_gcml_minus_fedavg,R2_gcml_relative_improvement_percent,R2_winner
1,client_1,0.0013208534740836,0.3090514540672302,0.6739379129947138,188464475.0,0.9765003323554992,0.0012558530941606,0.2877006828784942,0.6571468174523323,64553231.25,0.9776567220687866,6.500037992299991e-05,-5.175794862092969,FedAvg baseline,0.021350771188736017,-7.42117501255747,FedAvg baseline,0.016791095542381562,-2.5551513142037767,FedAvg baseline,123911243.75,-191.95203919401013,FedAvg baseline,-0.0011563897132874645,-0.11828177387666983,FedAvg baseline
2,client_2,0.0012826242576328,0.3056557774543762,0.6526513430954558,214480875.0,0.9777469038963318,0.0012203279663153,0.2786847651004791,0.6366049307912963,60835731.25,0.978827714920044,6.229629131750017e-05,-5.104881067800136,FedAvg baseline,0.026971012353897095,-9.677964399730556,FedAvg baseline,0.016046412304159485,-2.5206233140880463,FedAvg baseline,153645143.75,-252.55740432971288,FedAvg baseline,-0.0010808110237121582,-0.1104189232934056,FedAvg baseline
3,client_3,0.001461060084533,0.3270032703876495,0.732432332282118,157673425.0,0.970377802848816,0.0014075640466082,0.3044971525669098,0.7188985505217201,62738762.5,0.9714624285697936,5.349603792480012e-05,-3.800611279728923,FedAvg baseline,0.02250611782073969,-7.3912408149019475,FedAvg baseline,0.013533781760397878,-1.882571852534147,FedAvg baseline,94934662.5,-151.31739727891508,FedAvg baseline,-0.0010846257209775612,-0.11164875646033669,FedAvg baseline
4,client_4,0.0014604287401152,0.3319508731365204,0.770649944003816,105333650.0,0.9672908782958984,0.0014225955103704,0.3205519914627075,0.7606023970970158,84106937.5,0.9681382179260254,3.783322974479993e-05,-2.6594509450510864,FedAvg baseline,0.011398881673812866,-3.5560164894932473,FedAvg baseline,0.010047546906800209,-1.3209985854828474,FedAvg baseline,21226712.5,-25.237766504100804,FedAvg baseline,-0.0008473396301269531,-0.08752258865910174,FedAvg baseline
5,client_5,0.001459252708524,0.5026185512542725,1.1148183818408972,175054162.5,0.9709879755973816,0.0013726428869371,0.4667709171772003,1.0812287367124658,104080362.5,0.972709894180298,8.660982158689994e-05,-6.30971262890963,FedAvg baseline,0.035847634077072144,-7.679920225934578,FedAvg baseline,0.03358964512843143,-3.106617867978848,FedAvg baseline,70973800.0,-68.1913458939,FedAvg baseline,-0.0017219185829163708,-0.17702283005637878,FedAvg baseline
6,client_6,0.00157268775313,0.2881466746330261,0.619244852528991,227530800.0,0.9721429347991944,0.0014851208650191,0.2567403316497803,0.6017592715177891,66274156.25,0.9736939072608948,8.75668881109e-05,-5.896280240448566,FedAvg baseline,0.03140634298324585,-12.23272665476154,FedAvg baseline,0.0174855810112019,-2.905743515525543,FedAvg baseline,161256643.75,-243.31753563441256,FedAvg baseline,-0.0015509724617003284,-0.15928747732060683,FedAvg baseline
7,client_7,0.0013594717523607,0.230486050248146,0.5001404982103109,173631600.0,0.9735251069068908,0.0013440117662787,0.2138882279396057,0.4972887290028279,59355843.75,0.9738261699676514,1.545998608199991e-05,-1.1502865131014086,FedAvg baseline,0.01659782230854029,-7.760044799299058,FedAvg baseline,0.0028517692074830348,-0.5734634712516917,FedAvg baseline,114275756.25,-192.5265467227058,FedAvg baseline,-0.00030106306076060907,-0.030915482664694644,FedAvg baseline
8,client_8,0.0012629825184509,0.2953963279724121,0.6485233939399065,207793837.5,0.9697731137275696,0.0012291841953045,0.272847056388855,0.6397874520934286,71993387.5,0.9705819487571716,3.379832314640008e-05,-2.7496548747950165,FedAvg baseline,0.02254927158355713,-8.26443645095458,FedAvg baseline,0.008735941846477968,-1.3654443859274459,FedAvg baseline,135800450.0,-188.6290598563653,FedAvg baseline,-0.0008088350296020508,-0.08333505796576605,FedAvg baseline
