epoch,train_loss,val_loss,val_MAE,val_MSE,val_RMSE,val_MAPE_percent,val_R2,best_val_RMSE
1,0.017382242318970682,0.0019329561794906242,1.3487474918365479,2.7834081649780273,1.6683549277590868,19.473694264888763,0.488040030002594,1.6683549277590868
2,0.002136645017026349,0.0011625825137495452,1.0546903610229492,1.6740895509719849,1.293866125598775,14.827586710453033,0.6920800805091858,1.293866125598775
3,0.0015767038237162589,0.0009363574005283252,0.9248572587966919,1.348331093788147,1.1611765988806986,12.642541527748108,0.751997709274292,1.1611765988806986
4,0.001385441512849377,0.0008613322479808547,0.8765126466751099,1.240296721458435,1.1136860964645448,11.662303656339645,0.7718687653541565,1.1136860964645448
5,0.0013004705055074464,0.0010097915732225457,0.9939658045768738,1.4540743827819824,1.2058500664601641,14.187328517436981,0.7325480580329895,1.1136860964645448
6,0.0012333726371913886,0.0008281317876717653,0.8708677291870117,1.1924889087677002,1.0920114050538576,11.963222920894623,0.7806622385978699,1.0920114050538576
7,0.0012130320038229877,0.000794215552034591,0.8088822364807129,1.1436504125595093,1.0694159212203216,10.353487730026245,0.7896451950073242,1.0694159212203216
8,0.0011987972877736902,0.0007791076132245226,0.8056747317314148,1.1218953132629395,1.059195597263763,10.38103774189949,0.7936466932296753,1.059195597263763
9,0.0011596346299371856,0.000788489530690306,0.8353612422943115,1.1354050636291504,1.0655538764554096,11.251840740442276,0.7911617755889893,1.059195597263763
10,0.0011498914139373745,0.0009378518812728156,0.953212320804596,1.3504830598831177,1.1621028611457411,13.53026032447815,0.7516019344329834,1.059195597263763
11,0.0011495907143523143,0.0009034755046150018,0.8439010381698608,1.3009819984436035,1.1406059786111957,10.342974960803986,0.7607067823410034,1.059195597263763
