round,client_id,layer_name,ref_client_id,weight,self_weight,alpha
1,1,conv1,1,0.38133078813552856,0.38133078813552856,0.5
1,1,conv1,2,0.2741537392139435,0.38133078813552856,0.5
1,1,conv1,3,0.34451550245285034,0.38133078813552856,0.5
1,1,conv2,1,0.32434773445129395,0.32434773445129395,0.5
1,1,conv2,2,0.40292322635650635,0.32434773445129395,0.5
1,1,conv2,3,0.2727290391921997,0.32434773445129395,0.5
1,1,lstm1,1,0.2775246202945709,0.2775246202945709,0.5
1,1,lstm1,2,0.29854506254196167,0.2775246202945709,0.5
1,1,lstm1,3,0.4239303469657898,0.2775246202945709,0.5
1,1,lstm2,1,0.2263752818107605,0.2263752818107605,0.5
1,1,lstm2,2,0.30165573954582214,0.2263752818107605,0.5
1,1,lstm2,3,0.47196894884109497,0.2263752818107605,0.5
1,1,attention,1,0.35862240195274353,0.35862240195274353,0.5
1,1,attention,2,0.2660079002380371,0.35862240195274353,0.5
1,1,attention,3,0.375369668006897,0.35862240195274353,0.5
1,2,conv1,2,0.32931679487228394,0.32931679487228394,0.5
1,2,conv1,1,0.3444591760635376,0.32931679487228394,0.5
1,2,conv1,3,0.32622408866882324,0.32931679487228394,0.5
1,2,conv2,2,0.3480619788169861,0.3480619788169861,0.5
1,2,conv2,1,0.3627999424934387,0.3480619788169861,0.5
1,2,conv2,3,0.2891380488872528,0.3480619788169861,0.5
1,2,lstm1,2,0.32646089792251587,0.32646089792251587,0.5
1,2,lstm1,1,0.2899896502494812,0.32646089792251587,0.5
1,2,lstm1,3,0.38354942202568054,0.32646089792251587,0.5
1,2,lstm2,2,0.3033885955810547,0.3033885955810547,0.5
1,2,lstm2,1,0.24154002964496613,0.3033885955810547,0.5
1,2,lstm2,3,0.4550713300704956,0.3033885955810547,0.5
1,2,attention,2,0.2762989401817322,0.2762989401817322,0.5
1,2,attention,1,0.37639790773391724,0.2762989401817322,0.5
1,2,attention,3,0.3473030924797058,0.2762989401817322,0.5
1,3,conv1,3,0.2891724705696106,0.2891724705696106,0.5
