round,client_id,client_name,alpha,distance_avg,gamma,ref_client_ids,train_loss,val_loss,meta_loss
1,1,client_1,0.5,0.0,0.5,"[1, 2, 3]",0.0012003669549276647,0.0011646739690808709,2.478911876678467
1,2,client_2,0.5,0.0,0.5,"[2, 1, 3]",0.0014427252218629756,0.0010980763216931898,2.555306911468506
1,3,client_3,0.5,0.0,0.5,"[3, 1, 2]",0.0017741475416355652,0.0010288820672796181,2.22233247756958
1,4,client_4,0.5,0.0,0.5,"[4, 1, 2]",0.0014378578220471598,0.001601324927351684,2.6969637870788574
1,5,client_5,0.5,0.0,0.5,"[5, 1, 2]",0.0011526615502095766,0.0014512994795417686,2.1908769607543945
1,6,client_6,0.5,0.0,0.5,"[6, 1, 2]",0.0018435002513403776,0.0014953172057573945,2.325507164001465
1,7,client_7,0.5,0.0,0.5,"[7, 1, 2]",0.0012798120355207799,0.0009892046537757495,2.5721347332000732
1,8,client_8,0.5,0.0,0.5,"[8, 1, 2]",0.0015477813171279142,0.0012015271526745269,2.3501710891723633
1,9,client_9,0.5,0.0,0.5,"[9, 1, 2]",0.0012640120881227364,0.0010371859895774598,1.6849116086959839
2,1,client_1,0.9999957084655762,24.722258016467094,0.5,"[1, 3, 4]",0.0008889944312661723,0.0007253001083234657,6.421411037445068
2,2,client_2,0.9995988011360168,15.641199595450113,0.5,"[2, 3, 1]",0.0011230073155508223,0.0008320633341302526,5.739119529724121
2,3,client_3,0.9998570680618286,17.705500454719488,0.5,"[3, 4, 5]",0.0013576363183618622,0.0008823449635602794,4.17995023727417
2,4,client_4,0.9996852874755859,16.12663204044414,0.5,"[4, 3, 5]",0.001067298033966426,0.0009660505793294904,4.624803066253662
2,5,client_5,0.999910831451416,18.64980936081459,0.5,"[5, 1, 2]",0.0007928612605479328,0.0008696911215276023,5.348830699920654
2,6,client_6,0.9605295658111572,6.383863930823281,0.5,"[6, 3, 4]",0.0014738441357589373,0.0011426864957581326,4.454830169677734
2,7,client_7,0.9998134970664978,17.173960470827296,0.5,"[7, 1, 2]",0.0009475170472548214,0.0007614406528939873,6.587843894958496
2,8,client_8,0.9829104542732239,8.104103675927036,0.5,"[8, 3, 4]",0.0011476575414529646,0.0009391673017923033,5.653780460357666
2,9,client_9,0.9999954700469971,24.598140025511384,0.5,"[9, 3, 4]",0.0009321890388631009,0.0008194961394452315,5.002676010131836
3,1,client_1,0.985754132270813,8.473875114577822,0.5,"[1, 3, 4]",0.0007582010765782435,0.000636640282849919,6.187590599060059
3,2,client_2,0.9975913763046265,12.052602736395784,0.5,"[2, 3, 4]",0.0010132585973305767,0.0007543956204463615,6.395480155944824
3,3,client_3,0.9741412401199341,7.257812706811819,0.5,"[3, 4, 6]",0.0012206092451973248,0.0009133921371793617,5.247853755950928
3,4,client_4,0.9993500113487244,14.675722682111276,0.5,"[4, 6, 7]",0.0009551406276534067,0.0008149802530032652,4.962350845336914
3,5,client_5,0.9999489784240723,19.766708264515426,0.5,"[5, 1, 3]",0.0006990356381626009,0.0008243887337936956,5.871738433837891
3,6,client_6,0.9999996423721313,29.711213745176792,0.5,"[6, 5, 7]",0.0013409028103563763,0.0014308866921607123,5.5043816566467285
3,7,client_7,0.9997814297676086,16.85678272919419,0.5,"[7, 1, 3]",0.0008483956281576863,0.0006929180430297707,6.178233623504639
3,8,client_8,0.9920061230659485,9.642103880566234,0.5,"[8, 3, 4]",0.0010379857919376146,0.0008593924309673387,6.67056131362915
3,9,client_9,0.9930223822593689,9.916099616636833,0.5,"[9, 3, 4]",0.0008259111473580844,0.0007055406842370575,6.279448509216309
4,1,client_1,0.970654308795929,6.997646211724107,0.5,"[1, 3, 4]",0.0007034972410250496,0.0008684042901068074,5.699565887451172
4,2,client_2,0.9877151846885681,8.774069871016158,0.5,"[2, 3, 4]",0.0009651663885980865,0.000976525556387348,5.356376647949219
