receiver_id,num_events,num_rollback_to_local,num_selected_local_continue,num_selected_teacher_guided,num_selected_same_origin_merge,rollback_rate,same_origin_merge_accept_rate,teacher_guided_accept_rate,local_continue_accept_rate,best_val_loss,final_selected_val_loss,mean_selected_val_loss,mean_delta_teacher_guided_vs_local_continue,mean_delta_same_origin_merge_vs_local_continue,mean_delta_same_origin_merge_vs_teacher_guided
1,20,10,0,0,10,0.5,0.5,0.0,0.0,0.0005482321475311503,0.0005482321475311503,0.0005969701361890999,-2.2521518864265453e-05,-7.356170465051092e-05,-5.1040185786245464e-05
2,20,9,1,2,8,0.45,0.4,0.1,0.05,0.0007243742630327743,0.0007243742630327743,0.0008202499121306141,-2.7276326283853468e-06,-5.676307173343412e-05,-5.403543910504878e-05
3,20,13,2,2,3,0.65,0.15,0.1,0.1,0.0007463479312933871,0.0007463479312933871,0.0007901847236720062,-6.48660038404771e-06,-4.461053304792964e-05,-3.8123932663881924e-05
4,20,10,0,1,9,0.5,0.45,0.05,0.0,0.0006582266113586257,0.0006582266113586257,0.0006952349235303431,3.6437166146998397e-06,-5.8348070131815866e-05,-6.199178674651571e-05
5,20,10,0,2,8,0.5,0.4,0.1,0.0,0.000599335399307089,0.000599335399307089,0.0006617706513869944,-4.206026704679927e-05,-7.938721643501563e-05,-3.732694938821636e-05
6,20,11,2,1,6,0.55,0.3,0.05,0.1,0.0008680183385981194,0.0008680183385981194,0.0009490839239416137,4.726497932078795e-05,-5.904541494459914e-05,-0.00010631039426538707
7,20,8,3,2,7,0.4,0.35,0.1,0.15,0.0005956145464519521,0.0005956145464519521,0.000669872418546063,-5.118171275951528e-06,-7.555583845836515e-05,-7.043766718241364e-05
8,20,9,1,1,9,0.45,0.45,0.05,0.05,0.000752540157207652,0.000752540157207652,0.0007946601386778027,1.6068631327251486e-06,-5.490832178096295e-05,-5.651518491368809e-05
