round,global_round,pair_index,pair_id,direction,receiver_id,sender_id,selected_sender_id,selected_model,receiver_local_update_executed,receiver_local_train_loss,receiver_local_val_loss,sender_local_train_loss,sender_local_val_loss,val_loss_receiver_loc,val_loss_local_continue,val_loss_teacher_guided,val_loss_same_origin_merge,selected_val_loss,best_alpha,delta_local_continue_vs_loc,delta_teacher_guided_vs_loc,delta_teacher_guided_vs_local_continue,delta_same_origin_merge_vs_loc,delta_same_origin_merge_vs_local_continue,delta_same_origin_merge_vs_teacher_guided,rollback_to_local,accept_local_continue,accept_teacher_guided,accept_same_origin_merge,teacher_guided_teacher_better_ratio_avg,teacher_guided_teacher_worse_ratio_avg,teacher_guided_positive_active_ratio_avg,teacher_guided_repulsion_active_ratio_avg,teacher_guided_positive_loss_avg,teacher_guided_repulsion_loss_avg,teacher_guided_total_loss_avg,local_continue_pred_loss_avg,local_continue_total_loss_avg,local_continue_num_batches,teacher_guided_pred_loss_avg,teacher_guided_teacher_better_ratio_min,teacher_guided_teacher_better_ratio_max,teacher_guided_teacher_better_ratio_std,teacher_guided_teacher_worse_ratio_min,teacher_guided_teacher_worse_ratio_max,teacher_guided_teacher_worse_ratio_std,teacher_guided_positive_active_ratio_min,teacher_guided_positive_active_ratio_max,teacher_guided_positive_active_ratio_std,teacher_guided_repulsion_active_ratio_min,teacher_guided_repulsion_active_ratio_max,teacher_guided_repulsion_active_ratio_std,teacher_guided_positive_weight_mean_avg,teacher_guided_negative_weight_mean_avg,teacher_guided_num_batches,idle_client_ids
1,1,1,1-8,Client8 -> Client1,1,8,8,same_origin_merge,,,,,,0.0010223912955235853,0.0008774314165762153,0.0008182594993365655,0.0007254762606619516,0.0007254762606619516,0.6,-0.00014495987894737002,-0.00020413179618701982,-5.91719172396498e-05,-0.0002969150348616337,-0.00015195515591426365,-9.278323867461385e-05,False,False,False,True,0.2263822704553604,0.7736177444458008,0.2242688536643982,0.771551787853241,0.0014756600677068527,0.00038970734268772026,0.0011060010117721322,0.0010824161893351165,0.0010824161893351165,329,0.001059782675226772,0.125,0.9375,0.06823206692934036,0.0625,0.875,0.06823206692934036,0.109375,0.9375,0.068333700299263,0.0625,0.875,0.06856027245521545,0.1955830305814743,0.7474186420440674,329,
1,1,1,1-8,Client1 -> Client8,8,1,1,teacher_guided,,,,,,0.0012747167451552027,0.0010455953837547511,0.0009775230520469393,0.0009775230520469393,0.0009775230520469393,1.0,-0.00022912136140045155,-0.00029719369310826334,-6.80723317078118e-05,-0.00029719369310826334,-6.80723317078118e-05,0.0,False,False,True,False,0.3089337944984436,0.6910662055015564,0.306749165058136,0.6888815760612488,0.0016823502436240558,0.00041763546701450294,0.001494454743588806,0.00139592470172595,0.00139592470172595,329,0.0014418960576947585,0.171875,0.640625,0.05546390265226364,0.359375,0.828125,0.05546390265226364,0.171875,0.640625,0.05569801852107048,0.359375,0.8203125,0.05539406090974808,0.2719467282295227,0.6595053672790527,329,
1,1,2,2-7,Client7 -> Client2,2,7,7,same_origin_merge,,,,,,0.002479980086253263,0.0013749364775472708,0.0013668311727681823,0.0013194175494529701,0.0013194175494529701,0.3,-0.001105043608705992,-0.0011131489134850805,-8.105304779088473e-06,-0.0011605625368002928,-5.551892809430069e-05,-4.741362331521222e-05,False,False,False,True,0.5759963989257812,0.42400363087654114,0.5700123310089111,0.4190881550312042,0.0007286263499025997,0.0011449237939666907,0.002215179149798335,0.0020675302704519743,0.0020675302704519743,329,0.0021875957450098868,0.421875,0.78125,0.07218217849731445,0.21875,0.578125,0.07218217849731445,0.4140625,0.7734375,0.07249973714351654,0.2109375,0.5703125,0.07153359800577164,0.48696640133857727,0.36525967717170715,329,
1,1,2,2-7,Client2 -> Client7,7,2,2,same_origin_merge,,,,,,0.0014100754112569996,0.0011122188714454946,0.0010773201849580746,0.0008358881338710379,0.0008358881338710379,0.5,-0.00029785653981150495,-0.00033275522629892503,-3.489868648742008e-05,-0.0005741872773859617,-0.0002763307375744568,-0.0002414320510870367,False,False,False,True,0.28770774602890015,0.7122922539710999,0.2845970094203949,0.7086590528488159,0.0009287306926263801,0.0004997112747210375,0.0013369730415302376,0.0013047985055771344,0.0013047985055771344,329,0.0013066125692576247,0.140625,0.765625,0.06733829528093338,0.234375,0.859375,0.06733829528093338,0.140625,0.765625,0.06735675781965256,0.234375,0.8515625,0.06746890395879745,0.24095654487609863,0.6744382977485657,329,
1,1,3,3-6,Client6 -> Client3,3,6,6,teacher_guided,,,,,,0.0015013711348714313,0.0010486046286308582,0.0009355022692238808,0.0009355022692238808,0.0009355022692238808,1.0,-0.0004527665062405732,-0.0005658688656475506,-0.0001131023594069774,-0.0005658688656475506,-0.0001131023594069774,0.0,False,False,True,False,0.4289562404155731,0.5710437893867493,0.42489564418792725,0.5665319561958313,0.0008267613469352849,0.000841321115664318,0.001788203063296023,0.0018020213045634125,0.0018020213045634125,329,0.0017591936158211042,0.265625,0.6953125,0.06292470544576645,0.3046875,0.734375,0.06292470544576645,0.265625,0.6953125,0.06262638419866562,0.296875,0.734375,0.06290972977876663,0.36187657713890076,0.5151175260543823,329,
1,1,3,3-6,Client3 -> Client6,6,3,3,local_continue,,,,,,0.0017485062109091631,0.0012080597834349912,0.001296035771585595,0.0012080597834349912,0.0012080597834349912,0.0,-0.0005404464274741719,-0.00045247043932356815,8.797598815060378e-05,-0.0005404464274741719,0.0,-8.797598815060378e-05,False,True,False,False,0.39769649505615234,0.6023035049438477,0.3939445912837982,0.5985990762710571,0.0009190763425490706,0.0007621366245346056,0.0017931634256843354,0.0018150317998531136,0.0018150317998531136,329,0.001761780448131133,0.234375,0.7578125,0.0634223073720932,0.2421875,0.765625,0.0634223073720932,0.2265625,0.7578125,0.06325557827949524,0.2421875,0.765625,0.06334859132766724,0.3398756682872772,0.5561097860336304,329,
1,1,4,4-5,Client5 -> Client4,4,5,5,same_origin_merge,,,,,,0.001005540099866689,0.0008436481493758083,0.0008401421818016675,0.0007996948107075667,0.0007996948107075667,0.5,-0.00016189195049088072,-0.00016539791806502154,-3.5059675741408187e-06,-0.00020584528915912228,-4.395333866824157e-05,-4.044737109410075e-05,False,False,False,True,0.4197269082069397,0.5802730917930603,0.41485220193862915,0.5761650204658508,0.0006726552056233375,0.0009331788879103397,0.001165764183546122,0.0011402509258005768,0.0011402509258005768,329,0.0011409186373090754,0.23076923191547394,0.7421875,0.06744745373725891,0.2578125,0.7692307829856873,0.06744745373725891,0.20512820780277252,0.7421875,0.06727168709039688,0.2578125,0.7692307829856873,0.06703798472881317,0.35231921076774597,0.5290777087211609,329,
1,1,4,4-5,Client4 -> Client5,5,4,4,same_origin_merge,,,,,,0.001101263008596752,0.0009632619709997863,0.0008767530838538028,0.0008763948427326477,0.0008763948427326477,0.95,-0.0001380010375969656,-0.00022450992474294911,-8.650888714598353e-05,-0.00022486816586410417,-8.686712826713858e-05,-3.5824112115505086e-07,False,False,False,True,0.3654765784740448,0.6345234513282776,0.3610122799873352,0.6306290626525879,0.0005099634254458401,0.001011016311199784,0.0008593194614991581,0.0008590650633844804,0.0008590650633844804,329,0.0008389654791720074,0.21875,0.7890625,0.059657540172338486,0.2109375,0.78125,0.059657540172338486,0.21875,0.7890625,0.060063883662223816,0.203125,0.78125,0.05999566614627838,0.30336427688598633,0.587306797504425,329,
2,2,1,1-7,Client7 -> Client1,1,7,7,same_origin_merge,,,,,,0.0007254762606619516,0.0007415382926076821,0.0006984218034697663,0.000670601032770644,0.000670601032770644,0.6,1.6062031945730522e-05,-2.7054457192185358e-05,-4.311648913791588e-05,-5.4875227891307624e-05,-7.093725983703815e-05,-2.7820770699122266e-05,False,False,False,True,0.4094204008579254,0.590579628944397,0.40521731972694397,0.5859253406524658,0.00040009339700349905,0.0011857954781022495,0.0008709767033246422,0.0009006824744657195,0.0009006824744657195,329,0.0008530449246118787,0.28125,0.796875,0.06353197991847992,0.203125,0.71875,0.06353197991847992,0.2734375,0.796875,0.06366825103759766,0.203125,0.71875,0.06392809748649597,0.3395594656467438,0.537020742893219,329,
2,2,1,1-7,Client1 -> Client7,7,1,1,same_origin_merge,,,,,,0.0008358881338710379,0.0008191742899525082,0.000770310550976639,0.0007699789312090692,0.0007699789312090692,0.95,-1.671384391852969e-05,-6.557758289439891e-05,-4.886373897586922e-05,-6.590920266196865e-05,-4.919535874343896e-05,-3.316197675697378e-07,False,False,False,True,0.4585476815700531,0.5414523482322693,0.4542495906352997,0.5372492671012878,0.0004954403220614984,0.0011385646872654144,0.0010503167399182373,0.0011040667521474024,0.0011040667521474024,329,0.0010297607056592502,0.296875,0.8984375,0.0714503601193428,0.1015625,0.703125,0.0714503601193428,0.296875,0.890625,0.0721077248454094,0.0859375,0.703125,0.07114861905574799,0.3934919238090515,0.4911203980445862,329,
