client_id,client_name,warmup_local_epochs,warmup_train_loss,warmup_val_loss
1,client_1,1,0.0031862702208893573,0.0010223912955235853
2,client_2,1,0.019782445937440926,0.002479980086253263
3,client_3,1,0.00993152032369168,0.0015013711348714313
4,client_4,1,0.0030480107981129424,0.001005540099866689
5,client_5,1,0.002158264534570137,0.001101263008596752
6,client_6,1,0.006948412570671348,0.0017485062109091631
7,client_7,1,0.005483003425128714,0.0014100754112569996
8,client_8,1,0.004152290496047562,0.0012747167451552027
