receiver_id,sender_id,num_events,num_selected_receiver_loc,num_selected_local_continue,num_selected_teacher_guided,num_selected_same_origin_merge,rollback_rate,local_continue_accept_rate,teacher_guided_accept_rate,same_origin_merge_accept_rate,mean_best_alpha,mean_selected_val_loss,mean_delta_local_continue_vs_loc,mean_delta_teacher_guided_vs_loc,mean_delta_teacher_guided_vs_local_continue,mean_delta_same_origin_merge_vs_loc,mean_delta_same_origin_merge_vs_local_continue,mean_delta_same_origin_merge_vs_teacher_guided,mean_teacher_better_ratio_avg,mean_teacher_worse_ratio_avg,mean_positive_active_ratio_avg,mean_repulsion_active_ratio_avg,mean_positive_loss_avg,mean_repulsion_loss_avg
1,2,2,1,0,0,1,0.5,0.0,0.0,0.5,0.725,0.000589102318696977,0.00016302705388079213,3.452918249943494e-05,-0.0001284978713813572,7.569375532486965e-06,-0.00015545767834830517,-2.6959806966947973e-05,0.3558727353811264,0.6441272795200348,0.3521616458892822,0.6406959295272827,0.00045648742265659245,0.0010810380411276426
1,3,3,3,0,0,0,1.0,0.0,0.0,0.0,0.5666666666666665,0.0005775183102426281,6.814543751583967e-05,4.5511561533853086e-05,-2.2633875981986585e-05,2.143275444455119e-05,-4.6712683071288486e-05,-2.4078807089301897e-05,0.22879809637864432,0.7712019284566244,0.22665302455425262,0.769207239151001,0.0009341858331444447,0.0005414139754121491
1,4,3,2,0,0,1,0.6666666666666666,0.0,0.0,0.3333333333333333,0.31666666666666665,0.0005775183102426281,1.8553565179625685e-05,5.4132212349718534e-05,3.557864717009285e-05,1.322903989479477e-05,-5.324525284830914e-06,-4.090317245492376e-05,0.335705707470576,0.6642942627271017,0.3325316409269969,0.6610410412152609,0.0004976387757334497,0.0009878499298346353
1,5,3,0,0,0,3,0.0,0.0,0.0,1.0,0.45,0.0005817334122885592,1.1740390259956325e-06,2.748500301111481e-05,2.631096398511918e-05,-2.432106324851439e-05,-2.5495102274510024e-05,-5.1806066259629204e-05,0.42111145456631977,0.5788885354995728,0.41661550601323444,0.5746379693349203,0.0003454991363933746,0.0012976627669837937
1,6,3,2,0,0,1,0.6666666666666666,0.0,0.0,0.3333333333333333,0.35000000000000003,0.0006060544755370736,4.62056200110955e-05,4.357628201098816e-05,-2.6293380001073366e-06,2.55991087287162e-05,-2.0606511282379297e-05,-1.7977173282271962e-05,0.2178945243358612,0.7821054657300314,0.21596885720888773,0.7802295088768005,0.001111119412952786,0.0004745361943885625
1,7,3,1,0,0,2,0.3333333333333333,0.0,0.0,0.6666666666666666,0.3,0.0006113685399654562,7.81147980835317e-06,0.00013409858895753175,0.0001262871091491786,-1.7882985013554906e-05,-2.5694464821908074e-05,-0.00015198157397108665,0.39765488107999164,0.6023451089859009,0.3935287296772003,0.5981499552726746,0.00036371416861906756,0.0012598062279398897
1,8,3,1,0,0,2,0.3333333333333333,0.0,0.0,0.6666666666666666,0.7666666666666666,0.0006328729805196698,0.00016685728901370906,-6.053442881611919e-05,-0.00022739171782982823,-9.608233635591012e-05,-0.00026293962536961916,-3.554790753979093e-05,0.2408593346675237,0.75914067029953,0.2386351078748703,0.7571934660275778,0.0010629308305920217,0.0005257916405352099
2,1,2,1,0,0,1,0.5,0.0,0.0,0.5,0.7,0.0007626095056324753,1.724523239790218e-05,4.634020855736839e-06,-1.2611211542165341e-05,-2.050738371589647e-05,-3.775261611379865e-05,-2.514140457163331e-05,0.3786182254552841,0.6213817596435547,0.37548375129699707,0.6181997954845428,0.00069795180766086,0.0008305347393685013
2,3,3,2,0,1,0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.5,0.0008291367045809968,3.3982377255832694e-05,9.933601906149876e-05,6.535364180566606e-05,-2.4540940608105055e-05,-5.852331786393775e-05,-0.00012387695966960383,0.42535491784413654,0.5746450821558634,0.42028115193049115,0.5693949460983276,0.00046586726571195766,0.0011298949585563246
2,4,3,2,1,0,0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0007676550099023114,0.00016875594563573468,9.533504553367437e-05,-7.342090010206031e-05,4.428870316403546e-05,-0.00012446724247169923,-5.104634236963891e-05,0.4566073715686798,0.5433847109476725,0.45102479060490924,0.5379344622294108,0.00042043074269880465,0.0012242765287991438
2,5,3,1,0,1,1,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.7333333333333334,0.0008561967595662888,-3.23629543722414e-05,-6.408138083510467e-05,-3.171842646286328e-05,-8.182390282462084e-05,-4.946094845237944e-05,-1.7742521989516163e-05,0.45249928037325543,0.5475007096926371,0.4481933017571767,0.5431947310765585,0.0007238947451148563,0.0010199868728619618
