round,selected_clients,avg_local_train_loss,avg_local_val_loss,avg_local_train_task_loss,avg_local_train_rc_loss,avg_local_train_weighted_rc_loss,avg_local_train_total_loss,avg_local_train_rc_to_task_ratio,round_rc_to_task_ratio,global_rc_norm,avg_client_rc_rg_l2_norm,min_client_rc_rg_l2_norm,max_client_rc_rg_l2_norm,avg_personalized_head_ratio,avg_num_personalized_head_params,avg_num_head_params,avg_head_importance_mean,head_personalization_enabled_this_round,head_personalization_warmup_rounds,head_mask_update_interval,head_mask_updated_this_round,head_param_prefixes,head_personalization_tau,regional_val_loss,regional_val_MAE,regional_val_MSE,regional_val_RMSE,regional_val_MAPE_percent,regional_val_R2,avg_client_val_MAE,avg_client_val_MSE,avg_client_val_RMSE,avg_client_val_R2,regional_val_samples,head_mask_jaccard_mean,head_mask_hamming_change_rate_mean,head_selected_importance_mean_avg,head_unselected_importance_mean_avg,head_importance_gap_mean_ratio_avg,head_importance_gap_boundary_ratio_avg,head_importance_selected_share_avg
1,9,0.0041142473389573055,0.0015298353313955237,0.0041142473389573055,0.0,0.0,0.0041142473389573055,0.0,0.0,1.1809155941009521,0.2988632023334503,0.1559104323387146,0.7524774670600891,0.0,0.0,336.0,0.0,False,5,2,False,fc1,0.1,0.0023979256199311203,10.449678421020508,215.96900939941406,14.695884097236684,12.232702225446701,0.7530807256698608,1.5175712903340657,4.701820479498969,2.1285127561486785,0.6373486783769395,5211,,,,,,,
2,9,0.0015341793108223656,0.0010574879969497148,0.0015341793108223656,0.00012902367986121537,0.00012902367986121537,0.001663202989685647,0.08459561289320312,0.08409947837711054,1.180517554283142,0.020771516176561516,0.01024764683097601,0.051732420921325684,0.0,0.0,336.0,0.0,False,5,2,False,fc1,0.1,0.0010325609111077384,5.089982986450195,49.950687408447266,7.067580024905785,6.703348457813263,0.9428909420967102,1.0584937863879733,2.082902193069458,1.4110464686557929,0.8438012997309366,5211,,,,,,,
3,9,0.0012594469290514879,0.0009850462157229192,0.0012594469290514879,8.61778693612136e-05,8.61778693612136e-05,0.0013456247971270323,0.06816700324285634,0.06842516925877182,1.177612066268921,0.02291638735267851,0.009027274325489998,0.047324374318122864,0.0,0.0,336.0,0.0,False,5,2,False,fc1,0.1,0.0008918016123164392,4.2060933113098145,34.459896087646484,5.870255197829689,5.4587941616773605,0.9606016874313354,0.9738484289911058,1.7688279747962952,1.3065010481357178,0.8637931413120694,5211,,,,,,,
4,9,0.0011647383072167004,0.0008488965522811381,0.0011647383072167004,6.991543027268487e-05,6.991543027268487e-05,0.0012346537378517012,0.060262177891302234,0.06002672856165477,1.1777946949005127,0.014251692427529229,0.008652410469949245,0.03156495466828346,0.0,0.0,336.0,0.0,False,5,2,False,fc1,0.1,0.0008521513790795937,3.9935779571533203,31.058395385742188,5.573005956011728,5.158510059118271,0.9644906520843506,0.952619559235043,1.6837705307536655,1.276100067483625,0.8694568011495802,5211,,,,,,,
5,9,0.0011138843795361637,0.0008755791130191016,0.0011138843795361637,6.343166122453289e-05,6.343166122453289e-05,0.0011773160403418846,0.05604822336830203,0.056946360262274544,1.1751208305358887,0.015326536415765682,0.007541457656770945,0.025685271248221397,0.0,0.0,336.0,0.0,False,5,2,False,fc1,0.1,0.0008524435050348715,4.0559916496276855,31.743614196777344,5.634147157891542,5.185947194695473,0.9637072682380676,0.9472805857658386,1.676521360874176,1.2742339194847645,0.8691444529427422,5211,,,,,,,
6,9,0.0010789085856893128,0.0008458792684422742,0.0010789085856893128,5.619073408236285e-05,5.619073408236285e-05,0.0011350993195620518,0.052522433374759994,0.05208108895934089,1.1745203733444214,0.014550400380459096,0.008675768040120602,0.021670231595635414,0.10119047619047618,34.0,336.0,2.59513197894042e-07,True,5,2,True,fc1,0.1,0.0008193489592342866,4.374485969543457,33.156524658203125,5.75817025262393,5.886270850896835,0.962091863155365,0.9579290681415134,1.6155055165290833,1.250692020411794,0.8743666476673551,5211,,,2.0995240194231293e-06,5.2359657621676364e-08,47.39453228685787,1.0156966925741782,0.8146372998573139
7,9,0.0009973302567921419,0.0007747144577119219,0.0009973302567921419,3.9532979166737465e-05,3.9532979166737465e-05,0.0010368632350174507,0.040566376781453195,0.039638804556330544,1.173413872718811,0.014777220319956541,0.005494931247085333,0.02509215846657753,0.10119047619047618,34.0,336.0,2.424349621795348e-07,True,5,2,False,fc1,0.1,0.0007802491190885194,3.7565877437591553,26.259265899658203,5.124379562411259,4.944707825779915,0.9699775576591492,0.917042871316274,1.5316163566377428,1.2179876918879406,0.879833870463901,5211,1.0,0.0,1.8600736296732977e-06,6.03167082494579e-08,36.23538071154187,0.037992425804957056,0.7402340556918338
8,9,0.001000896089659381,0.0007910190226945199,0.001000896089659381,4.028503610688605e-05,4.028503610688605e-05,0.0010411811245595534,0.04052460926415213,0.040248969381373685,1.175572156906128,0.018786687455657456,0.007540240418165922,0.031094104051589966,0.10119047619047618,34.0,336.0,1.983039502483229e-07,True,5,2,True,fc1,0.1,0.000765570109517643,3.7829487323760986,26.188400268554688,5.117460333852592,4.989394545555115,0.9700585603713989,0.9119038449393378,1.4986023505528767,1.2058142094911715,0.8827104369799296,5211,0.5292762403212696,0.06283068905274074,1.656186916620732e-06,3.417142445041692e-08,61.71811331958634,1.0223732908441074,0.842304226284925
9,9,0.0009700831257280665,0.0008064520235068992,0.0009700831257280665,3.3283265824989245e-05,3.3283265824989245e-05,0.0010033663913106684,0.03523349744330331,0.034309704919049895,1.1770070791244507,0.01396539786623584,0.005368860438466072,0.024199925363063812,0.10119047619047618,34.0,336.0,1.7537380930182027e-07,True,5,2,False,fc1,0.1,0.0007872615670851535,4.032430648803711,28.1362361907959,5.30436011134198,5.461977794766426,0.9678316116333008,0.9326101342837015,1.5228255854712591,1.2174184656411688,0.8794306119283041,5211,1.0,0.0,1.2127143596361162e-06,5.8587129305839297e-08,24.86935573409305,0.013049350859853892,0.6968185725000898
10,9,0.0009514692135772503,0.0007708092177669836,0.0009514692135772503,3.190712125226708e-05,3.190712125226708e-05,0.0009833763345319494,0.03462357157592221,0.03353458079717673,1.1760905981063843,0.012517098026971022,0.0044722286984324455,0.0259376373142004,0.10119047619047618,34.0,336.0,1.7566393811168584e-07,True,5,2,True,fc1,0.1,0.0007443664180766785,3.5552661418914795,23.658206939697266,4.863970285651144,4.651639610528946,0.972951352596283,0.8931062353981866,1.4523026876979404,1.1874373506352147,0.8857123851776123,5211,0.5695310982453005,0.056878308248188764,1.4156280370681383e-06,3.606534370180686e-08,54.31064623596274,1.0444451394396128,0.8265914685008019
