round,h2a_alpha_mean,h2a_alpha_min,h2a_alpha_max,h2a_distance_mean,h2a_meta_loss_mean,avg_local_train_loss,avg_local_val_loss,avg_client_val_RMSE,regional_val_RMSE
1,0.5,0.5,0.5,0.0,1.730248557196723,0.004167336052532758,0.0014944251467962392,2.201043746493683,14.482646686766579
2,0.9452242785029941,0.8953714370727539,0.9878854751586914,12.24837057131291,3.1902895238664417,0.0015204818158099896,0.0009888146708624769,1.5099850375344948,6.991457222251751
3,0.7092687156465318,0.6699593663215637,0.8619318604469299,3.674566708260843,2.6426591873168945,0.001223181110441748,0.0009790922986608727,1.4477246430305224,6.72322366504308
4,0.6225760181744894,0.5903019309043884,0.7058520317077637,2.0137612404814313,2.774979141023424,0.0011061130659319022,0.0008444763339624863,1.3697399790678721,6.077021246082804
5,0.6024240056673685,0.5634293556213379,0.6675615906715393,1.670797818336319,2.7043908304638333,0.0010746211401242308,0.0008533168916240405,1.3429534303097754,5.809546263634247
6,0.5915306210517883,0.5582662224769592,0.6294454336166382,1.4845971929223094,2.784740765889486,0.0010117302404673786,0.0008414720081804433,1.3295288781828216,5.874534101477651
7,0.5813253853056166,0.5497807264328003,0.6256486773490906,1.3163968360667544,2.982645458645291,0.0009732634424893678,0.0008212939323321507,1.3125123506801404,5.734442853396238
8,0.5815309683481852,0.5484569668769836,0.6179431676864624,1.318741840220011,2.8769210841920643,0.0009502554141404618,0.0007837628572290101,1.3145161716053082,5.252112735523249
9,0.5785150527954102,0.5568033456802368,0.6101139783859253,1.2682928188335305,2.715137905544705,0.0009348466118312963,0.0007894497010246133,1.3011496723423441,5.278729983090156
10,0.5881984896130033,0.5578926801681519,0.6222730875015259,1.4286890530075955,2.835115909576416,0.0009238650200513788,0.000769438625885164,1.3149150828141538,5.199025048044615
11,0.5844379199875726,0.5667777061462402,0.6168410778045654,1.3655560890243374,2.9756137794918485,0.0009194141439520931,0.0007921624618157802,1.336969544455421,5.000128935105152
12,0.5871916148397658,0.5619288682937622,0.6126159429550171,1.41097932336569,2.9580624633365207,0.0009054522405291297,0.0007472885121713535,1.3211492706753547,5.2094757454781
13,0.5875799920823839,0.5686580538749695,0.6118189692497253,1.4172555958587811,2.934748411178589,0.0008924082193013745,0.0007279709322052189,1.3394447207085627,5.332211535413654
14,0.591394861539205,0.573452889919281,0.6146701574325562,1.480243374262904,3.0520318349202475,0.0008888292785619913,0.0007323222106599408,1.3943533622754536,5.790941188391755
15,0.5897436804241605,0.5726437568664551,0.6168720722198486,1.4531021768974217,3.1499880287382336,0.0008796476790770037,0.0007338679573639728,1.3626918908210048,5.179052437678314
