round,client_id,client_name,alpha,distance_avg,gamma,ref_client_ids,train_loss,val_loss,meta_loss
1,1,client_1,0.5,0.0,0.25,"[1, 8, 6, 7]",0.00330964195921244,0.0009960909352611555,2.126112461090088
1,2,client_2,0.5,0.0,0.25,"[2, 5, 3, 8]",0.004409326446642481,0.0013573452064332648,1.9752037525177002
1,3,client_3,0.5,0.0,0.25,"[3, 5, 2, 8]",0.004858572689225822,0.001377171956984256,1.667659044265747
1,4,client_4,0.5,0.0,0.25,"[4, 2, 5, 3]",0.004579414087247846,0.0014921863455187034,1.8106894493103027
1,5,client_5,0.5,0.0,0.25,"[5, 2, 3, 8]",0.003060781873169192,0.00184165752143264,1.7151920795440674
1,6,client_6,0.5,0.0,0.25,"[6, 7, 1, 8]",0.006086566438159334,0.0019136203329268835,1.5690149068832397
1,7,client_7,0.5,0.0,0.25,"[7, 6, 1, 8]",0.0033842199206284263,0.001694470582293274,1.8837683200836182
1,8,client_8,0.5,0.0,0.25,"[8, 1, 5, 3]",0.004821589981092003,0.0015632883537288328,1.6887297630310059
1,9,client_9,0.5,0.0,0.25,"[9, 1, 2, 3, 4, 5, 6, 7, 8]",0.0029959110774172874,0.0012139950865871433,1.1358672380447388
2,1,client_1,0.9844165444374084,16.583355317241512,0.25,"[1, 8, 6, 7]",0.0013490785770244893,0.0007956925532340931,3.5761878490448
2,2,client_2,0.8997893929481506,8.779548762191553,0.25,"[2, 5, 3, 8]",0.001587220457645743,0.0009228209404189392,3.6664371490478516
2,3,client_3,0.8953714370727539,8.58729077805765,0.25,"[3, 5, 2, 8]",0.0016899428228299323,0.0009360655109800014,3.1109347343444824
2,4,client_4,0.9224503040313721,9.904460387304425,0.25,"[4, 2, 5, 3]",0.0016434877712453398,0.000998005992125286,3.076420783996582
2,5,client_5,0.9630600214004517,13.043286636704579,0.25,"[5, 2, 3, 8]",0.0013554462948180527,0.0013784787109851046,3.075624942779541
2,6,client_6,0.944693386554718,11.351868194527924,0.25,"[6, 7, 1, 8]",0.0018190073985322535,0.0011214758961144609,2.7884035110473633
2,7,client_7,0.9552309513092041,12.241746979067102,0.25,"[7, 6, 1, 8]",0.001314397472676693,0.0010317822521889513,3.0511748790740967
2,8,client_8,0.9541209936141968,12.139134473807644,0.25,"[8, 1, 5, 3]",0.0016388758984234913,0.0009520718705039018,3.1801235675811768
2,9,client_9,0.9878854751586914,17.604643612913787,0.25,"[9, 2, 8, 4, 3]",0.0012868796490939113,0.0007629383112115539,3.18729829788208
3,1,client_1,0.7006901502609253,3.4023464770434657,0.25,"[1, 8, 6, 7]",0.001022487657290914,0.0007340241831185261,3.1201443672180176
3,2,client_2,0.6795110702514648,3.0061037133200443,0.25,"[2, 5, 3, 8]",0.0013671421704461591,0.001477153766215794,2.5647377967834473
3,3,client_3,0.6796436905860901,3.008538508482161,0.25,"[3, 5, 2, 8]",0.0013986272634207671,0.0008603747611687752,2.683600902557373
