client_id,model_name,smoothing_window,decomp_mode,trend_sMAPE,season_sMAPE,season_minus_trend_sMAPE,season_div_trend_sMAPE,trend_WAPE,season_WAPE,season_minus_trend_WAPE,season_div_trend_WAPE,is_season_harder_by_sMAPE,is_season_harder_by_WAPE
1,DLinear,6,autoformer_same,32.59103268018673,89.77572286994602,57.184690189759294,2.754614160167738,17.311359169016747,59.308399910555686,41.99704074153894,3.4259815133823937,True,True
1,DLinear,12,autoformer_same,25.704851680281354,64.99866073171607,39.29380905143472,2.5286533068356265,11.049944905525171,38.190663554244445,27.14071864871927,3.456185566949104,True,True
1,DLinear,24,autoformer_same,7.525586012556403,58.48222349493567,50.956637482379264,7.771117840689156,6.475116870281816,31.58066506090449,25.105548190622674,4.8772340046266995,True,True
1,DLinear,48,autoformer_same,5.06081735060246,61.16090470328606,56.100087352683595,12.085180788203003,4.397699428282771,36.153404951429714,31.755705523146943,8.220979473480647,True,True
1,GRU,6,autoformer_same,30.45232803569296,97.14017143697788,66.68784340128492,3.1899094260777416,16.099686561763598,59.79104533343246,43.69135877166886,3.7138015942268883,True,True
1,GRU,12,autoformer_same,22.461851973308253,64.94213384758723,42.48028187427897,2.8912189000951485,9.99510525903676,37.37210603512865,27.37700077609189,3.7390403930263214,True,True
1,GRU,24,autoformer_same,6.407228842515628,56.29193223750757,49.88470339499194,8.78568954464197,5.824416320688495,31.559504330482312,25.735088009793817,5.418482672658441,True,True
1,GRU,48,autoformer_same,4.379427706744896,58.225242181742395,53.845814474997496,13.295168406798783,3.3089135340259963,34.76025965444119,31.451346120415195,10.505033991357873,True,True
1,TCN,6,autoformer_same,29.861704134818183,93.3274899782029,63.46578584338472,3.125323539190159,16.052655375805767,57.779518828573615,41.726863452767844,3.599374301418282,True,True
1,TCN,12,autoformer_same,23.175750806702165,64.14076975983764,40.96501895313547,2.767580974063109,9.948640866862087,36.304709624725035,26.35606875786295,3.6492126373201077,True,True
1,TCN,24,autoformer_same,5.81115812846796,53.69765474788403,47.88649661941607,9.240437847387042,5.056758265434493,28.7406221902865,23.68386392485201,5.683604989215758,True,True
1,TCN,48,autoformer_same,3.714501114790508,55.71137266629639,51.99687155150588,14.998341889337818,3.5573769506041013,33.08990001292095,29.532523062316848,9.301766771029135,True,True
2,DLinear,6,autoformer_same,30.28030974150947,81.02185584912954,50.74154610762007,2.6757273576476712,15.92264560003239,54.872457241108364,38.949811641075975,3.4461894821553565,True,True
2,DLinear,12,autoformer_same,21.605983654619408,58.516130050703886,36.91014639608448,2.7083297052232704,10.165864039547513,35.16484267433545,24.99897863478794,3.459109730213442,True,True
2,DLinear,24,autoformer_same,5.7033540735061825,61.22657786923086,55.523223795724675,10.735186058053253,5.366719679282558,31.852256382813277,26.48553670353072,5.935143318670238,True,True
2,DLinear,48,autoformer_same,3.8511445679069336,64.45789612048037,60.606751552573435,16.737330486189,3.589896160179107,36.59979002033573,33.00989386015662,10.19521963646159,True,True
2,GRU,6,autoformer_same,28.393511466484107,84.69124205431666,56.297730587832554,2.982767354137209,14.486356714666584,55.85189874956755,41.36554203490097,3.8554825063460085,True,True
2,GRU,12,autoformer_same,22.47955598032588,64.94599916702742,42.46644318670154,2.8891138390257507,9.340167727000848,40.407141451549435,31.06697372454859,4.326168255905188,True,True
2,GRU,24,autoformer_same,4.2764350205058355,58.35764199440875,54.081206973902916,13.646326453752476,3.8485408987483782,29.345307519017922,25.496766620269543,7.625045612355576,True,True
2,GRU,48,autoformer_same,2.770536629069602,59.68001523258265,56.909478603513044,21.54095097153555,2.647800421126833,33.40494558846402,30.757145167337185,12.616106828074654,True,True
2,TCN,6,autoformer_same,27.123817167150456,83.11916443995293,55.99534727280247,3.0644345102054324,13.655474735820485,52.926546515953,39.271071780132516,3.8758478679082744,True,True
2,TCN,12,autoformer_same,20.859378037719768,59.31465891814284,38.455280880423075,2.8435486411596838,8.30351596997601,34.958679967170376,26.655163997194364,4.210105199227573,True,True
2,TCN,24,autoformer_same,4.23639199751261,54.70388335817271,50.4674913606601,12.912844344302332,3.967106652950276,27.960344701476338,23.993238048526063,7.048042843173834,True,True
2,TCN,48,autoformer_same,2.764460456548894,56.436234030992324,53.67177357444343,20.414910794757958,2.616085038972043,31.225496632801807,28.609411593829766,11.935959355935962,True,True
