client_id,model_name,component,smoothing_window,decomp_mode,step,MAE,RMSE,sMAPE,WAPE,NRMSE_mean_abs,R2
1,GRU,trend,6,autoformer_same,step_1,0.8923123705628728,1.230098810871714,15.502091907258556,7.126718430394377,9.824549626202787,0.986448898316587
1,GRU,trend,6,autoformer_same,step_2,1.4125901117970403,1.9524958637036822,22.442872448480937,11.277752965933315,15.588219170191653,0.9658999725892516
1,GRU,trend,6,autoformer_same,step_3,1.8503819785663949,2.612186092612913,28.434661680155077,14.768553043484204,20.848779461133454,0.9390178299824797
1,GRU,trend,6,autoformer_same,step_4,2.27641527443535,3.24997046140036,34.29364016319465,18.164180277285066,25.932458506386958,0.9056638473048078
1,GRU,trend,6,autoformer_same,step_5,2.668852792870766,3.8256520365338997,39.468306765315745,21.29008580399895,30.5181514079988,0.8693544580342673
1,GRU,trend,6,autoformer_same,step_6,3.003495776146577,4.338125884387998,42.57239524975277,23.95425684000901,34.59854153239148,0.8320763987766013
1,GRU,season,6,autoformer_same,step_1,1.7262601791903138,2.336370136401832,91.45099546548991,53.83046337858494,72.85567342322211,0.7149629263504944
1,GRU,season,6,autoformer_same,step_2,1.765666335761698,2.3983797598708225,90.34732085617848,55.071436355351665,74.80585342832916,0.6995750797929832
1,GRU,season,6,autoformer_same,step_3,1.895584080256403,2.564715939891186,97.62446044290282,59.10733388214386,79.9719071787072,0.6565594673028095
1,GRU,season,6,autoformer_same,step_4,2.0260625214162373,2.742903430140097,99.73491867164024,63.183518753461364,85.53844437370265,0.6071443365249329
1,GRU,season,6,autoformer_same,step_5,2.0225174889008932,2.7472315585606415,101.7604639888959,63.07357667090054,85.67424868734135,0.6059033738549153
1,GRU,season,6,autoformer_same,step_6,2.0675634891715524,2.788360668543327,101.92286919676003,64.47988712258197,86.9589379241298,0.5940110217642474
1,DLinear,trend,6,autoformer_same,step_1,0.9699239732231434,1.307747585628979,16.91087622334469,7.746586603624441,10.444714635935611,0.984684102169874
1,DLinear,trend,6,autoformer_same,step_2,1.6225212433448433,2.2587780102176507,26.23494786809791,12.953788655042784,18.033496170020967,0.9543625273906293
1,DLinear,trend,6,autoformer_same,step_3,2.06892232646555,2.960192625672745,32.247723206029974,16.51280085689553,23.626342468346525,0.9216868679649344
1,DLinear,trend,6,autoformer_same,step_4,2.5545084668165625,3.74532102041775,37.8124929583815,20.383166829091177,29.885004528081893,0.874715475483762
1,DLinear,trend,6,autoformer_same,step_5,2.784794235924461,4.137519139583771,40.08393513674524,22.214978805758506,33.00599070419184,0.8471858063292358
1,DLinear,trend,6,autoformer_same,step_6,3.0143363999995287,4.525555145108169,42.25622068852102,24.040715788991683,36.09337576132652,0.8172526191498168
