client_id,client_name,data_path,start_time,end_time,decomp_mode,smoothing_window,model_name,component,train_samples,test_samples,MAE,RMSE,sMAPE,WAPE,NRMSE_mean_abs,R2,target_abs_mean,target_std,epochs,train_final_loss,split_index,scaler
1,client_1,per_client_merged_1h\client_1_load_weather_1h.csv,2011-06-01 00:00:00,2013-07-31 23:59:59,autoformer_same,6,GRU,trend,14559,3648,2.0173413840631667,3.059579411676718,30.45232803569296,16.099686561763598,24.41741690177406,0.9163462635003052,12.530314651261303,10.57837741765337,40,0.07779962819772514,14612,standard
1,client_1,per_client_merged_1h\client_1_load_weather_1h.csv,2011-06-01 00:00:00,2013-07-31 23:59:59,autoformer_same,6,GRU,season,14559,3648,1.9172756824495167,2.6023827037436766,97.14017143697788,59.79104533343246,81.15636948655191,0.6463576603951775,3.2066267979264547,4.376118123428936,40,0.3006667237363188,14612,standard
1,client_1,per_client_merged_1h\client_1_load_weather_1h.csv,2011-06-01 00:00:00,2013-07-31 23:59:59,autoformer_same,6,DLinear,trend,14559,3648,2.1691677742956816,3.346694034816763,32.59103268018673,17.311359169016747,26.7087767615805,0.8999092591964027,12.530314651261303,10.57837741765337,40,0.12784607757172814,14612,standard
1,client_1,per_client_merged_1h\client_1_load_weather_1h.csv,2011-06-01 00:00:00,2013-07-31 23:59:59,autoformer_same,6,DLinear,season,14559,3648,1.9017990449803641,2.646112718360575,89.77572286994602,59.308399910555686,82.52010788628685,0.6343727063623213,3.2066267979264547,4.376118123428936,40,0.35386809186953766,14612,standard
1,client_1,per_client_merged_1h\client_1_load_weather_1h.csv,2011-06-01 00:00:00,2013-07-31 23:59:59,autoformer_same,6,TCN,trend,14559,3648,2.011448228478409,2.9523893631409055,29.861704134818183,16.052655375805767,23.561971185009355,0.9221050777182622,12.530314651261303,10.57837741765337,40,0.08122468009888942,14612,standard
1,client_1,per_client_merged_1h\client_1_load_weather_1h.csv,2011-06-01 00:00:00,2013-07-31 23:59:59,autoformer_same,6,TCN,season,14559,3648,1.852773534496401,2.532464452863131,93.3274899782029,57.779518828573615,78.97594022295736,0.6651050154080537,3.2066267979264547,4.376118123428936,40,0.29935298779318803,14612,standard
1,client_1,per_client_merged_1h\client_1_load_weather_1h.csv,2011-06-01 00:00:00,2013-07-31 23:59:59,autoformer_same,12,GRU,trend,14559,3648,1.0744735741582616,1.5763812632978673,22.461851973308253,9.99510525903676,14.664013679221616,0.9594575548797569,10.749997586891277,7.829000043780175,40,0.049522734211005635,14612,standard
1,client_1,per_client_merged_1h\client_1_load_weather_1h.csv,2011-06-01 00:00:00,2013-07-31 23:59:59,autoformer_same,12,GRU,season,14559,3648,2.381862761681128,3.209271632030508,64.94213384758723,37.37210603512865,50.35437928652537,0.8472080092362047,6.373370447534249,8.210246238558184,40,0.13106842884155853,14612,standard
1,client_1,per_client_merged_1h\client_1_load_weather_1h.csv,2011-06-01 00:00:00,2013-07-31 23:59:59,autoformer_same,12,DLinear,trend,14559,3648,1.18786881070182,1.7942655424945892,25.704851680281354,11.049944905525171,16.690844449808075,0.9474756311062515,10.749997586891277,7.829000043780175,40,0.07259984529172336,14612,standard
1,client_1,per_client_merged_1h\client_1_load_weather_1h.csv,2011-06-01 00:00:00,2013-07-31 23:59:59,autoformer_same,12,DLinear,season,14559,3648,2.4340324647008966,3.3134092938071533,64.99866073171607,38.190663554244445,51.98832864337534,0.837131233539663,6.373370447534249,8.210246238558184,40,0.15949752082232876,14612,standard
