round,selected_clients,avg_local_train_loss,avg_local_val_loss,avg_local_train_task_loss,avg_local_train_rc_loss,avg_local_train_weighted_rc_loss,avg_local_train_total_loss,avg_local_train_rc_to_task_ratio,round_rc_to_task_ratio,global_rc_norm,avg_personalized_head_ratio,avg_num_personalized_head_params,avg_num_head_params,avg_head_importance_mean,regional_val_loss,regional_val_MAE,regional_val_MSE,regional_val_RMSE,regional_val_MAPE_percent,regional_val_R2,avg_client_val_MAE,avg_client_val_MSE,avg_client_val_RMSE,avg_client_val_R2,regional_val_samples
1,9,0.01093446634869771,0.0019344877713714974,0.01093446634869771,0.0,0.0,0.01093446634869771,0.0,0.0,1.4125874042510986,0.0,0.0,353.0,0.0,0.0030441461034094227,14.415470123291016,313.46722412109375,17.70500562330026,20.35328894853592,0.6416101455688477,1.9360436730914645,6.401197142071194,2.4358061695692808,0.5545502106348673,5211
2,9,0.001596976660048238,0.0011979561473210907,0.001596976660048238,0.0,0.0,0.001596976660048238,0.0,0.0,1.263121485710144,0.0,0.0,353.0,0.0,0.0012489148737382556,5.82813835144043,70.96057891845703,8.423810237562158,7.471022009849548,0.9188701510429382,1.1502524084515042,2.5435003572040134,1.5546813547855045,0.8125963277286954,5211
3,9,0.0012297465652890977,0.0009488509464298255,0.0012297465652890977,0.0,0.0,0.0012297465652890977,0.0,0.0,1.155128002166748,0.0,0.0,353.0,0.0,0.0009967622256732596,4.726756572723389,44.31634521484375,6.65705229173121,6.145735830068588,0.9493327140808105,1.036634922027588,2.0060395267274647,1.3862180884104829,0.849103119638231,5211
4,9,0.0011025388527567085,0.0008909235577251863,0.0011025388527567085,0.0,0.0,0.0011025388527567085,0.0,0.0,1.0915205478668213,0.0,0.0,353.0,0.0,0.0009078070119805094,4.364999294281006,35.5651969909668,5.963656344137109,5.783107876777649,0.9593380093574524,1.0035444696744282,1.8213231298658583,1.3223674489941528,0.862185431851281,5211
5,9,0.0010323988489351805,0.0009081715713143306,0.0010323988489351805,0.0,0.0,0.0010323988489351805,0.0,0.0,1.0178662538528442,0.0,0.0,353.0,0.0,0.0008523230852229406,3.9145612716674805,30.314697265625,5.505878428155221,4.975747317075729,0.9653409123420715,0.9536012278662788,1.6952187485165067,1.2782464136342147,0.8690527478853861,5211
6,9,0.000984714951986738,0.0008130379145216014,0.000984714951986738,0.0,0.0,0.000984714951986738,0.0,0.0,0.9748551249504089,0.0,0.0,353.0,0.0,0.0008189029384310552,3.818880081176758,28.198806762695312,5.3102548679602295,4.9165029078722,0.9677600264549255,0.9377769099341499,1.6243693629900615,1.2521282034061294,0.8745713631312052,5211
7,9,0.0009561215415382026,0.000803199643337195,0.0009561215415382026,0.0,0.0,0.0009561215415382026,0.0,0.0,0.9492272138595581,0.0,0.0,353.0,0.0,0.0008016673976871964,3.7130985260009766,26.99802017211914,5.195961910187481,4.758511483669281,0.9691329002380371,0.9251816935009427,1.5855523082945082,1.2378821983918438,0.8770875467194451,5211
8,9,0.0009390909394639039,0.000773855635832149,0.0009390909394639039,0.0,0.0,0.0009390909394639039,0.0,0.0,0.9146775603294373,0.0,0.0,353.0,0.0,0.0007782557076489197,3.5838088989257812,24.984830856323242,4.998482855459568,4.585738852620125,0.9714345932006836,0.9131792849964566,1.5378991299205356,1.2195849540804558,0.8801705373658074,5211
9,9,0.0009168518653706162,0.0007523950104067926,0.0009168518653706162,0.0,0.0,0.0009168518653706162,0.0,0.0,0.8782484531402588,0.0,0.0,353.0,0.0,0.0007662626848891533,3.5363783836364746,24.2883358001709,4.928319774544962,4.530559107661247,0.9722309112548828,0.9041041533152262,1.5085818237728543,1.2088110248843538,0.8823366893662347,5211
10,9,0.0009052086613895717,0.0008061924962917195,0.0009052086613895717,0.0,0.0,0.0009052086613895717,0.0,0.0,0.8506686091423035,0.0,0.0,353.0,0.0,0.0007558362552278438,3.550462007522583,23.9862003326416,4.897570860400245,4.589464887976646,0.972576379776001,0.9041727317704095,1.4943486518330045,1.2021345359821676,0.8839678764343262,5211
11,9,0.0008969540449484606,0.000756430975800922,0.0008969540449484606,0.0,0.0,0.0008969540449484606,0.0,0.0,0.8224705457687378,0.0,0.0,353.0,0.0,0.0007503798450966059,3.625514268875122,24.13373374938965,4.912609667924946,4.786806553602219,0.9724076986312866,0.902135087384118,1.4798919955889385,1.1969981667214076,0.8844407200813293,5211
12,9,0.0008814528292285235,0.0007805212457421764,0.0008814528292285235,0.0,0.0,0.0008814528292285235,0.0,0.0,0.8083091974258423,0.0,0.0,353.0,0.0,0.000748041377555883,3.7560317516326904,25.115901947021484,5.011576792489714,5.027903616428375,0.9712847471237183,0.9099826415379842,1.4811873568428888,1.1966410480463818,0.8852886226442125,5211
13,9,0.0008770870769517895,0.000698322699703774,0.0008770870769517895,0.0,0.0,0.0008770870769517895,0.0,0.0,0.7776453495025635,0.0,0.0,353.0,0.0,0.0007275496469832449,3.3721232414245605,21.407419204711914,4.626815233474524,4.399160668253899,0.9755247235298157,0.8861621485816108,1.429628140396542,1.177616553278256,0.8879549900690714,5211
