client,rank,nearest_client,train_sequence_mmd_Pxy,target_gc_wasserstein_train,ramp_wasserstein_train,daily_shape_corr_full
client_1,1,client_8,0.09661999851329801,0.8785377531351877,0.07164064654147846,0.9676793270766376
client_1,2,client_6,0.09923186801036292,0.5407608214549174,0.15348507249821722,0.9630977454272132
client_1,3,client_7,0.13385195336366845,0.9100970182995025,0.17295483717613497,0.9778609845441424
client_2,1,client_5,0.0755815726387788,0.6987108250243914,0.11613161397670546,0.9532960815470038
client_2,2,client_3,0.1026027357426397,0.5747064464697904,0.11648340860470643,0.937011976061847
client_2,3,client_8,0.16230576726442536,1.2368969611879208,0.1995412883289755,0.9745614216889882
client_3,1,client_5,0.09270086580139371,0.8098613140423101,0.09246451152840506,0.9560015791211618
client_3,2,client_2,0.10260273574263754,0.5747064464697904,0.11648340860470643,0.9370119760618468
client_3,3,client_8,0.14053974831425428,0.7947714822835114,0.09601091038744945,0.970979915199806
client_4,1,client_2,0.17889771424607284,1.917894343573757,0.13143306394105062,0.97724784356459
client_4,2,client_5,0.22507182143351465,2.5910702948385405,0.23688804373662942,0.9596599622004478
client_4,3,client_3,0.250848745903501,2.3606735597172976,0.23884245305443313,0.9665757791356926
client_5,1,client_2,0.07558157263877585,0.6987108250243914,0.11613161397670546,0.9532960815470038
client_5,2,client_3,0.09270086580139371,0.8098613140423101,0.09246451152840506,0.9560015791211618
client_5,3,client_8,0.10675921760755744,0.5634837113009541,0.09111987164250061,0.9789009997024464
client_6,1,client_7,0.05641914510071594,0.3856836256335816,0.07268754456857619,0.955711012644744
client_6,2,client_1,0.09923186801036292,0.5407608214549174,0.15348507249821722,0.963097745427213
client_6,3,client_8,0.14629733268654418,1.2258888703805062,0.09354297599239364,0.9738896232810474
client_7,1,client_6,0.05641914510071594,0.3856836256335816,0.07268754456857619,0.955711012644744
client_7,2,client_1,0.13385195336366845,0.9100970182995025,0.17295483717613497,0.9778609845441424
client_7,3,client_8,0.17667378913888748,1.5958516288699047,0.14438840028523892,0.9864533930963516
client_8,1,client_1,0.09661999851329917,0.8785377531351877,0.07164064654147846,0.9676793270766374
client_8,2,client_5,0.1067592176075564,0.5634837113009541,0.09111987164250061,0.9789009997024464
client_8,3,client_3,0.14053974831425586,0.7947714822835114,0.09601091038744945,0.970979915199806
