client,rank,nearest_client,composite_distance,raw_wasserstein_kw,robust_wasserstein,daily_shape_corr
client_1,1,client_6,-2.157100462146574,0.7327031171831109,0.07301856785576,0.9630977454272132
client_1,2,client_8,-0.9241229534247172,0.8108581472220847,0.1079993391953099,0.9676793270766376
client_1,3,client_7,-0.877879513813508,0.9382196605871324,0.1254287054616484,0.9778609845441424
client_2,1,client_8,-2.9725004803598734,1.0933979054108167,0.0490106175321667,0.9745614216889882
client_2,2,client_4,-2.833991852500551,1.8940790170859931,0.0290695269850618,0.97724784356459
client_2,3,client_7,-2.648950399015698,2.670024252886546,0.0103222609744689,0.9836930492487056
client_3,1,client_4,-0.126810483546104,2.4004922282133685,0.0410244368556667,0.9665757791356926
client_3,2,client_8,-0.0557633402529491,0.6413265118886811,0.0789270770798176,0.970979915199806
client_3,3,client_2,0.1621199949534189,0.6038084608803118,0.0559615011641853,0.9370119760618468
client_4,1,client_2,-2.833991852500556,1.8940790170859931,0.0290695269850618,0.97724784356459
client_4,2,client_8,-1.360513031698035,2.987469855931881,0.0470681444428412,0.9882445692301548
client_4,3,client_3,-0.126810483546104,2.4004922282133685,0.0410244368556667,0.9665757791356926
client_5,1,client_8,-2.3045836437412897,0.6539071729957806,0.0823132714470638,0.9789009997024464
client_5,2,client_6,-1.4073843284747831,2.025026513855628,0.0541946855610222,0.9772498707257994
client_5,3,client_1,-0.5878140383402757,1.292333358899302,0.0690260095122519,0.957665831985832
client_6,1,client_8,-2.594823412032304,1.3711193408598472,0.0390273786530868,0.9738896232810474
client_6,2,client_1,-2.1571004621465693,0.7327031171831109,0.07301856785576,0.963097745427213
client_6,3,client_7,-1.5691878492160345,0.3419079712624016,0.0665128719698789,0.955711012644744
client_7,1,client_8,-2.9960348461425523,1.577125498916638,0.0562977859424925,0.9864533930963516
client_7,2,client_2,-2.648950399015703,2.670024252886546,0.0103222609744689,0.9836930492487056
client_7,3,client_6,-1.5691878492160294,0.3419079712624016,0.0665128719698789,0.955711012644744
client_8,1,client_7,-2.996034846142557,1.577125498916638,0.0562977859424925,0.9864533930963516
client_8,2,client_2,-2.9725004803598685,1.0933979054108167,0.0490106175321667,0.974561421688988
client_8,3,client_6,-2.5948234120322997,1.3711193408598472,0.0390273786530868,0.9738896232810472
