count,mean,std,min,max,range,client,date,mean_robust_z,std_robust_z,range_robust_z,max_robust_z
48,13.38575,7.280776605467537,5.202,32.224,27.022,9,2010-08-05,2.4912928462443293,4.541649735419338,4.458646708747884,4.260249599880166
48,14.177333333333332,7.400624252948757,6.657,31.232,24.575,9,2010-08-06,3.0479019051039313,4.65608492026673,3.8091075948402775,3.9964109431763886
48,16.564291666666666,8.64740281254911,4.921,31.477,26.556,9,2011-01-01,4.726313482895809,5.846557473797572,4.334950253054814,4.061572708188915
48,15.751687500000001,7.967292906751205,7.171,29.857,22.686,9,2011-01-24,4.154923432868997,5.19716214212265,3.3076856961187944,3.6307071599428244
48,23.4335,13.79442752893587,6.89,46.8,39.91,9,2011-01-26,9.556460132682789,10.761136418086918,7.879676582078999,8.136975668543752
48,16.0735,8.972276437342147,6.893,34.785,27.891999999999996,9,2011-01-31,4.381208834811418,6.156759418404445,4.689582151780012,4.941389519051917
48,24.169875,16.170854781582243,7.1690000000000005,53.876,46.706999999999994,9,2011-02-01,10.074248947148826,13.030241383001496,9.683892911147247,10.018953828660626
48,23.817020833333334,9.296317210616678,9.697,41.144,31.447,9,2011-02-02,9.82613631345304,6.466166124060254,5.633232151756124,6.632669779111724
48,25.117041666666665,13.7619996799054,9.479,52.796,43.317,9,2011-02-03,10.740257849454146,10.730173049376768,8.784041012435852,9.7317101298299
48,19.091375,7.984516099660934,8.508000000000001,33.326,24.817999999999998,9,2011-02-04,6.5032552357032065,5.2136075151083485,3.8736102530664924,4.553344559242631
48,29.848125,15.0874132515266,8.94,54.752,45.812000000000005,9,2011-02-05,14.066962355048027,11.9957293640427,9.446321392165922,10.251940384378884
48,23.2354375,11.642637269611868,7.644,47.236,39.592,9,2011-02-06,9.417190674777267,8.706523572080522,7.795265696005187,8.252937013627268
48,16.748270833333333,7.7680186491536745,8.32,36.779,28.459000000000003,9,2011-02-20,4.855680116193766,5.006887347558379,4.8400883543078494,5.4717264963375385
48,14.793270833333333,7.683139918691773,6.941,34.344,27.403000000000002,9,2011-03-01,3.481003990196683,4.925841841750335,4.55978050621368,4.824098342029372
48,13.264041666666666,6.88120453940446,6.083,27.502,21.418999999999997,9,2011-06-22,2.405712518792549,4.160122820200183,2.971369367013384,3.0043563166591563
48,13.936416666666666,6.983699159496677,5.94,33.335,27.395,9,2011-07-08,2.878499148059705,4.257988661062466,4.557656961909935,4.555738256732887
48,15.344375,7.716845396770598,5.981,31.909,25.927999999999997,9,2011-07-13,3.8685179241374423,4.958025140257921,4.168252025210932,4.176470187721205
48,15.828562499999999,6.1558564535620635,6.813,30.844,24.031000000000002,9,2011-07-15,4.208978792043433,3.46753231862122,3.664706582185706,3.893215984707572
48,14.490437499999999,6.095897106080902,5.635,31.897,26.262,9,2011-07-16,3.26806396283635,3.4102808067514445,4.256909999892232,4.17327859106753
48,13.673250000000001,6.944962673183701,5.758,29.718,23.96,9,2011-07-19,2.6934511000674304,4.221001560650182,3.6458601264899806,3.5937378320377587
48,12.561875,6.398610416382474,5.524,31.613,26.089,9,2012-07-31,1.9119776067016971,3.6993232230871897,4.210988354323774,4.097744136930562
48,13.013687500000001,6.902819760427387,6.085,28.835,22.75,9,2012-08-01,2.2296736973293485,4.180761872073633,3.324674050548744,3.3588895116048594
48,15.656291666666666,5.596502908668734,7.005,28.059,21.054000000000002,9,2012-08-10,4.087844980386678,2.933439846635547,2.8744826581550784,3.152499594667226
48,16.155541666666668,7.435801417576401,7.07,27.846,20.776,9,2012-11-30,4.438897182895142,4.689673442204154,2.8006894935999838,3.095848754064499
48,17.725875,8.30720950311977,6.965,33.36,26.395,9,2012-12-24,5.543091424936446,5.521727699775574,4.292213923941971,4.5623874164280425
48,23.72164583333333,14.713312815978368,7.236,50.144,42.908,9,2013-01-08,9.759072510119548,11.63852375013893,8.675474809906955,9.026367269367782
48,14.907645833333333,7.44886130520884,6.002,27.723,21.721,9,2013-01-11,3.561427817261091,4.702143529742073,3.0515331644797095,3.0631348883643326
48,19.77629166666667,11.623419744267109,6.35,40.848,34.498,9,2013-01-12,6.984860652564676,8.68817393309006,6.44309886059638,6.553943728321081
48,23.153625,15.215863999807516,6.591,50.137,43.546,9,2013-01-18,9.35966346733065,12.118379123401688,8.844827468130516,9.024505504653137
1,15.827,,15.827,15.827,0.0,9,2013-07-01,4.207880105881351,,-2.7141550632224285,-0.10080126097856046
